"","X1","X2","X3"
"1","recognitorum","begynneth","begynneth"
"2","diligentissime","treatyse","treatyse"
"3","sarum","termino","termino"
"4","aucta","henrici","henrici"
"5","elucidationibus","lorde","lorde"
"6","vsnm","boke","boke"
"7","hymnorum","kynge","kynge"
"8","plr","god","god"
"9","indicatiuo","henry","henry"
"10","ens","ecclesie","ecclesie"
"11","essendi","anglie","anglie"
"12","curatorum","lytell","lytell"
"13","manipulus","vsum","vsum"
"14","ordinale","incipit","incipit"
"15","totius","called","called"
"16","anni","sancte","sancte"
"17","expositio","souerayne","souerayne"
"18","carta","yere","yere"
"19","atturnatoria","edwardi","edwardi"
"20","littera","holy","holy"
"21","simplicis","regis","regis"
"22","feodi","magistri","magistri"
"23","magdalena","carta","moost"
"24","maria","moost","francie"
"25","beata","atturnatoria","trinitatis"
"26","origenis","littera","pasche"
"27","omelia","simplicis","diuina"
"28","alani","feodi","noble"
"29","parabolarum","francie","ryght"
"30","festiualis","trinitatis","uniuersis"
"31","ortus","pasche","libellus"
"32","terre","diuina","countesse"
"33","captiuorum","noble","moder"
"34","redempcionis","ryght","margarete"
"35","ordis","uniuersis","saynt"
"36","homideslowe","libellus","foloweth"
"37","minster","countesse","usum"
"38","johanes","moder","whiche"
"39","tonges","margarete","oure"
"40","euyll","saynt","quarti"
"41","trueloue","foloweth","insignis"
"42","leues","usum","statuta"
"43","deuylles","whiche","fader"
"44","parlyament","oure","commento"
"45","othonis","quarti","excellent"
"46","constitutines","insignis","history"
"47","opera","statuta","domini"
"48","incipiunt","fader","permissione"
"49","permaxima","commento","liber"
"50","cupido","excellent","crysten"
"51","latini","history","dominus"
"52","grammatico","domini","commaundementes"
"53","intepretatio","permissione","pater"
"54","equiuocorum","liber","totius"
"55","aymon","crysten","prynce"
"56","sons","dominus","michaelis"
"57","four","commaundementes","matris"
"58","missale","pater","fratris"
"59","sheweth","prynce","sermo"
"60","tytles","michaelis","presentes"
"61","dyuerse","matris","hybernie"
"62","drede","fratris","principem"
"63","contemplacyons","sermo","romanorum"
"64","hampull","presentes","gesta"
"65","hermyte","hybernie","horae"
"66","rolle","principem","vi"
"67","keruynge","romanorum","anni"
"68","infirmits","gesta","doctoris"
"69","pestelence","horae","septimum"
"70","agaynst","vi","regem"
"71","lyon","doctoris","henricum"
"72","cuer","septimum","thomas"
"73","fooles","regem","littere"
"74","shyppe","henricum","baronis"
"75","lynn","thomas","modus"
"76","kempe","littere","derby"
"77","margerie","baronis","pryncesse"
"78","taken","modus","doctor"
"79","taught","derby","compyled"
"80","contemplacyon","pryncesse","full"
"81","eliensis","doctor","named"
"82","alcok","compyled","expositio"
"83","perfeccyon","full","vniuersis"
"84","hylle","named","moste"
"85","otherwyse","vniuersis","oratio"
"86","perfectionis","moste","regni"
"87","mons","oratio","folowynge"
"88","senioris","regni","primo"
"89","barchby","folowynge","marie"
"90","prime","primo","kalender"
"91","informationis","marie","sancti"
"92","regule","kalender","archiepiscopus"
"93","january","sancti","inspecturis"
"94","westmynster","archiepiscopus","breuium"
"95","holden","inspecturis","necnon"
"96","parliament","breuium","aucta"
"97","xiiii","necnon","elucidationibus"
"98","annus","vocabulorum","vsnm"
"99","thordynary","plr","hymnorum"
"100","emperoure","indicatiuo","vocabulorum"
