"","X1","X2","X3","X4"
"1","saynt","edwardi","law","grammatices"
"2","vvhitintoni","god","legum","kyng"
"3","libellus","regni","euery","sancti"
"4","laureati","anglie","dyuers","henry"
"5","fraunce","boke","mery","conquestum"
"6","henrici","lichfeldiensis","trespas","parlyament"
"7","treatyse","yere","treason","vvhitintoni"
"8","termino","magistri","wold","libellus"
"9","oxoniensi","grammatices","m.ccccc","laureati"
"10","florentissima","kyng","edyth","fraunce"
"11","seynt","henry","wydow","henrici"
"12","present","conquestum","uryne","treatyse"
"13","grace","parlyament","parte","noble"
"14","called","saynt","hour","oxoniensi"
"15","hillarii","vvhitintoni","wyl","florentissima"
"16","daye","libellus","yf","seynt"
"17","churche","laureati","straunge","present"
"18","roberti","fraunce","mayster","grace"
"19","soule","henrici","bokis","hillarii"
"20","verborum","noble","nature","churche"
"21","xylographic","oxoniensi","libris","englysshe"
"22","interprete","florentissima","boke","thomas"
"23","maner","seynt","thre","verborum"
"24","statutes","present","mone","xylographic"
"25","certayne","grace","hospitalis","interprete"
"26","holden","called","spiritus","maner"
"27","englande","hillarii","apostolici","certayne"
"28","statuta","englysshe","sacri","holden"
"29","quarti","whiche","doctor","englande"
"30","libri","curiam","decretorum","statuta"
"31","ciuitate","tenendi","mulart","quarti"
"32","presentes","modus","philippus","libri"
"33","uniuersis","thomas","chaucer","ciuitate"
"34","people","soule","knowe","presentes"
"35","holy","verborum","iohannes","uniuersis"
"36","regis","xylographic","matter","compyled"
"37","lorde","interprete","interlude","whittintoni"
"38","loue","maner","whiche","pars"
"39","whittintoni","statutes","curiam","opusculum"
"40","pars","certayne","tenendi","liber"
"41","opusculum","holden","modus","latyn"
"42","theyr","englande","ymage","moost"
"43","liber","statuta","ghoostly","lyfe"
"44","latyn","quarti","chaunge","pasche"
"45","moost","libri","knowen","pope"
"46","lyfe","ciuitate","man","ordynaunces"
"47","pasche","presentes","recordo","enacted"
"48","pope","uniuersis","hundredum","assembled"
"49","ordynaunces","compyled","vnum","temporall"
"50","enacted","loue","solitndinem","lordes"
"51","assembled","whittintoni","goynge","conquest"
"52","temporall","pars","franci","kynge"
"53","lordes","opusculum","apperyth","iohan"
"54","conquest","theyr","thynges","ioannis"
"55","kynge","liber","nocumentis","rome"
"56","iohan","latyn","pacem","ordinis"
"57","ioannis","moost","appeles","quadragesimo"
"58","rome","lyfe","felonyes","tertii"
"59","ordinis","pasche","petyt","lord"
"60","quadragesimo","pope","haute","mone"
"61","tertii","ordynaunces","endytementes","frater"
"62","foloweth","enacted","justyce","hospitalis"
"63","true","assembled","toany","termino"
"64","lord","temporall","longeth","helthe"
"65","mone","lordes","supersedias","distichon"
"66","frater","conquest","warrantes","libello"
"67","helthe","kynge","cessyons","pardon"
"68","distichon","iohan","processe","places"
"69","libello","ioannis","charge","galeni"
"70","pardon","rome","peas","lucubrationes"
"71","places","ordinis","iustyces","achademia"
"72","galeni","quadragesimo","jacob","prothouatis"
"73","lucubrationes","tertii","shewed","whitintoni"
"74","achademia","euery","power","father"
"75","prothouatis","mater","hartes","graunted"
"76","whitintoni","helthe","ioyeth","folowynge"
"77","father","distichon","crysten","assent"
"78","graunted","libello","belles","irlande"
"79","folowynge","pardon","full","london"
"80","assent","places","hoode","sexti"
"81","irlande","galeni","praty","syr"
"82","london","lucubrationes","whether","christifidelibus"
"83","sexti","achademia","berdes","ryght"
"84","syr","prothouatis","kockoldes","sancte"
"85","christifidelibus","whitintoni","husbandes","newly"
"86","ryght","father","emlyn","lytell"
"87","sancte","graunted","mayd","great"
"88","newly","folowynge","brm","corrected"
"89","lytell","assent","englishe","magister"
"90","great","irlande","frenshe","knyght"
"91","corrected","london","women","spirituall"
"92","edwardi","sexti","almanacke","roberti"
"93","named","syr","passyon","lorde"
"94","academia","christifidelibus","crystes","named"
"95","commento","ryght","ihesus","academia"
"96","goostly","sancte","medytacyon","commento"
"97","ymage","magister","gloryous","ghostly"
"98","ghoostly","knyght","pylgrymage","carmen"
"99","ghostly","spirituall","booke","prima"
"100","carmen","thre","king","digestum"
