"","X1","X2","X3","X4"
"1","legum","m.ccccc","termino","boke"
"2","law","mone","roberti","wold"
"3","mery","philippus","edwardi","treason"
"4","libris","mulart","regni","trespas"
"5","nature","decretorum","anglie","ghoostly"
"6","bokis","doctor","yere","ymage"
"7","mayster","sacri","lichfeldiensis","thre"
"8","straunge","apostolici","kyng","theyr"
"9","yf","spiritus","grammatices","loue"
"10","wyl","chaunge","inspecturis","brm"
"11","hour","hospitalis","prior","mayd"
"12","parte","frater","frutefull","emlyn"
"13","uryne","ther","singulis","husbandes"
"14","wydow","porche","michaelis","kockoldes"
"15","edyth","cathedrall","verses","berdes"
"16","euery","hareforde","fratrum","whether"
"17","interlude","romance","westmester","praty"
"18","matter","king","reygne","hoode"
"19","iohannes","booke","profyte","full"
"20","chaucer","pylgrymage","royalme","belles"
"21","dyuers","gloryous","auctorite","crysten"
"22","exposiciones","medytacyon","ordeyned","ioyeth"
"23","terminorum","ihesus","forme","hartes"
"24","diuersibus","crystes","opus","power"
"25","casubus","passyon","angliæ","shewed"
"26","regulis","almanacke","regem","jacob"
"27","fundamentis","women","epistola","iustyces"
"28","litteltoni","frenshe","souerayne","peas"
"29","collectis","englishe","honour","charge"
"30","breuiter","sancti","pergameni","processe"
"31","compilatis","saxia","indulgence","cessyons"
"32","iuuinibus","scycle","commaundement","warrantes"
"33","valde","coniuncyon","rule","supersedias"
"34","necessariis","houre","linacro","longeth"
"35","exposicions","mynute","excellent","toany"
"36","termys","sygne","m.d.xx","justyce"
"37","writts","degre","quattuor","endytementes"
"38","rulys","maye","heteroclitis","haute"
"39","principalles","eclypse","nominibus","petyt"
"40","littelton","sonne","vulgaria","felonyes"
"41","gaderyd","oure","institutione","appeles"
"42","breuely","truely","grammaticulorum","pacem"
"43","yong","copye","concinnitate","nocumentis"
"44","necessarye","dylygence","partes","thynges"
"45","magnificence","beaute","digestum","apperyth"
"46","deuysed","syluestri","prima","franci"
"47","skelton","darii","carmen","goynge"
"48","poete","luca","ghostly","solitndinem"
"49","laureate","iurisutrius","commento","modus"
"50","deceasyd","doctoris","academia","tenendi"
"51","iuterlude","repetitio","named","curiam"
"52","element","prime","lorde","whiche"
"53","declarynge","ff","regis","thystory"
"54","proper","verbo","conquestum","sones"
"55","poynt","obligat","henry","returna"
"56","phylosophy","knowe","octauo","entytuled"
"57","naturall","vrbe","secundo","next"
"58","landys","romana","ecclesie","heuen"
"59","effects","yeres","litteras","walkynge"
"60","hole","sheweth","salutem","dayes"
"61","playd","man","eborum","journey"
"62","conteyne","knowen","within","go"
"63","halfe","cristen","domini","walke"
"64","lyst","alexander","lutherum","myles"
"65","leue","corrected","soueraygne","wytnesseth"
"66","muche","great","moste","moyses"
"67","sad","lytell","commons","sayeth"
"68","messengers","newly","parliament","ibimus"
"69","experyens","lord","inuictissimum","viam"
"70","depend","true","oratio","trium"
"71","conuenyently","foloweth","londini","dierum"
"72","wyll","people","guil","exodi"
"73","paste","churche","hormani","gyue"
"74","quarters","daye","westmynster","precyous"
"75","length","lorde","sayd","confesseth"
"76","social","treatyse","realme","deedly"
"77","benefits","begynneth","folowyng","synnes"
"78","dec","regis","leo","cyrcumstaunce"
"79","1518","holy","iesu","belongeth"
"80","identifying","roberti","vnder","pamphlete"
"81","skeuigton","termino","plenary","compendyously"
"82","beynge","exposiciones","cronycle","extract"
"83","master","terminorum","duke","scrypture"
"84","caualari","diuersibus","indulgentiarum","doctours"
"85","bethleem","casubus","maister","vertuous"
"86","seynge","regulis","peruenerint","persones"
"87","urynes","fundamentis","kynges","loke"
"88","colours","litteltoni","anglo","body"
"89","uryns","collectis","libellum","lande"
"90","medycynes","breuiter","towne","mirroure"
"91","annexed","compilatis","accommodatum","golde"
"92","urynall","iuuinibus","quatuor","synfull"
"93","imprynted","valde","whome","nycholas"
"94","moche","necessariis","recognita","tollentyne"
"95","profytable","exposicions","vsum","carta"
"96","tennris","termys","editione","feodi"
"97","fowles","writts","pleasure","simplicis"
"98","rethorycyen","rulys","nuperrime","littera"
"99","geffray","principalles","recensita","atturnatoria"
"100","rastell","littelton","quintus","kalender"
