"","X1","X2","X3"
"1","dyaloge","begynneth","lerned"
"2","regni","vvhitintoni","wysdome"
"3","law","roberti","boccus"
"4","good","verborum","sydracke"
"5","regis","treatyse","confoundyd"
"6","purgatory","noble","syght"
"7","termino","body","dronke"
"8","treateth","named","stronge"
"9","purgatorye","quarti","venym"
"10","vicesimo","nominum","trinite"
"11","hys","liber","dyd"
"12","lerne","ioannis","hurt"
"13","uryne","fraunce","diuynyte"
"14","laten","presentes","noe"
"15","famous","libri","profycyes"
"16","new","saynt","aungell"
"17","honorable","sancte","answeris"
"18","michaelis","angliæ","questions"
"19","proclamation","englande","natural"
"20","dysputacyon","interprete","worldly"
"21","comyngo","lytell","contayned"
"22","gyngemyn","vryn","noumber"
"23","turke","signifye","ccc.lxv"
"24","dysputynge","called","caumpeden"
"25","naturall","uniuersis","wyth"
"26","reason","inspecturis","history"
"27","philosophye","nuperrime","morall"
"28","deuyded","literarum","hugo"
"29","dyalogys","galeni","reuelacyon"
"30","seconde","hye","name"
"31","immortalyte","come","moche"
"32","mannys","xylographic","hym"
"33","legum","humiliabit","translatyd"
"34","urynes","calumniatorem","frenche"
"35","quarto","interliniari","kyng"
"36","decimo","dictionum","englysshe"
"37","shal","kyng","boke"
"38","diuysed","henry","termino"
"39","highnes","ecclesie","machomettes"
"40","aduise","litteras","fyrste"
"41","heresies","generibus","meruelous"
"42","englisshe","grammatices","existens"
"43","englishe","soueraygne","exposiciones"
"44","priuilegio","verses","terminorum"
"45","whiche","frater","anglorum"
"46","dyuers","lutheri","diuersibus"
"47","sheweth","honour","casubus"
"48","breuium","pergameni","regulis"
"49","primo","loue","fundamentis"
"50","boke","alexander","litteltoni"
"51","almayne","commaundement","collectis"
"52","whether","linacro","breuiter"
"53","die","erasmo","compilatis"
"54","mayster","vsum","iuuinibus"
"55","luther","distichon","necessariis"
"56","indulto","rule","exposicions"
"57","translatyd","prima","termys"
"58","e.iiii","vt","writts"
"59","hillarii","præteritis","rulys"
"60","sermon","supinis","principalles"
"61","doctour","florentissima","littelton"
"62","great","oxoniensi","gaderyd"
"63","henrici","mediarum","necessarye"
"64","margaret","syllabarum","eglamoure"
"65","merueylous","worke","artayes"
"66","exystens","sekenesses","magnum"
"67","machoinett","gyueth","abbreuiamentum"
"68","libris","maysters","statutorum"
"69","valde","surgery","vsque"
"70","bokis","wherof","annum"
"71","breuely","maner","inclusiue"
"72","medecines","robertus","medecynes"
"73","appere","haruy","intytulyd"
"74","metuendissimi","prioratus","treasure"
"75","octaui","sepulcri","pore"
"76","plegii","dominici","certayn"
"77","chauncellour","warwyke","dysseases"
"78","duchy","wigorniensis","table"
"79","lancaster","dyocesis","parliamento"
"80","wherin","augustini","westmonasterium"
"81","englond","salutem","francie"
"82","englysh","lytyll","tento"
"83","seynge","intytuled","bonum"
"84","medycynes","drunkardes","concernentia"
"85","annexed","whyche","knyghte"
"86","urynall","tratythe","counsayll"
"87","compylyd","storyes","treated"
"88","greke","plesaunte","maters"
"89","owt","parsones","veneration"
"90","skelton","thomae","worshyp"
"91","agaynste","britanni","ymages"
"92","diligentia","emendata","relyques"
"93","tertii","structura","prayng"
"94","secundo","latini","sayntys"
"95","mense","sermonis","goyng"
"96","kyngis","quinti","pylgrymage"
"97","counsaile","universis","othere"
"98","beggars","singulis","thyngys"
"99","paulis","xp̄ifidelibus","pestylent"
"100","commandment","aldermānus","sect"
