"","X1","X2","X3","X4","X5"
"1","maiestie","termino","maiestie","maiestie","god"
"2","yere","henrici","termino","quene","quenes"
"3","termino","regis","quenes","quenes","quene"
"4","henrici","regni","quene","proclamation","maiestie"
"5","regis","edwardi","henrici","foloweth","yere"
"6","england","michaelis","regis","good","lorde"
"7","regni","quarti","regni","elizabeth","termino"
"8","edwardi","pasche","edwardi","aswell","set"
"9","holden","called","holden","queenes","henrici"
"10","almanacke","profitable","westminster","queene","regis"
"11","kepte","octaui","certayne","enacted","realme"
"12","read","whole","michaelis","certayne","england"
"13","session","newly","present","raigne","maiesties"
"14","dayes","iohn","realme","articles","newly"
"15","geuen","lord","continued","elizabethe","regni"
"16","prayer","lorde","quarti","spayne","london"
"17","declared","booke","daye","fraunce","edwardi"
"18","westminster","whiche","reigne","subiectes","fraunce"
"19","lorde","man","parliament","geuen","holden"
"20","grace","moste","statutes","dissolution","booke"
"21","prognostication","english","pasche","moneth","iohn"
"22","imprinted","tertii","eyght","vnderstandyng","englishe"
"23","beyng","treatise","boke","persons","moste"
"24","citie","wyth","england","ihon","westminster"
"25","parliament","collected","foloweth","lady","good"
"26","church","almanacke","grace","beyng","grace"
"27","soueraigne","yeres","octaui","oure","parliament"
"28","certayne","prognostication","sexti","counties","church"
"29","begynneth","women","domini","faith","soueraigne"
"30","playe","begynneth","kyng","peace","certayne"
"31","kept","playe","primo","soueraigne","statutes"
"32","tyll","names","kynge","fayth","michaelis"
"33","fourme","hys","certaine","churches","actes"
"34","instruction","sexti","next","fyrst","iniunctions"
"35","fayth","learned","subiectes","westmynster","henry"
"36","auncient","daie","vi","rates","euery"
"37","practise","englished","enacted","base","forth"
"38","churches","come","tertii","maiesties","called"
"39","others","death","king","begon","englande"
"40","lordes","lyfe","priuilegio","ben","present"
"41","augmented","corrected","excellent","commaundement","common"
"42","michaelis","gathered","honour","declaration","added"
"43","actes","sonettes","soueraigne","realme","godly"
"44","daie","added","necessary","mariæ","kyng"
"45","englished","table","read","philippi","order"
"46","defence","notable","session","flaunders","holy"
"47","prorogacion","allowed","geuen","proroged","man"
"48","supreme","neuer","lawes","apparell","continued"
"49","drad","forme","englysh","brother","tyme"
"50","die","faithfully","yere","proclamacion","quarti"
"51","bothe","pouerte","lorde","acte","corrected"
"52","bene","yeares","actes","execution","gathered"
"53","ladye","herbes","henry","vntyll","certaine"
"54","aswell","doctour","imprinted","wyse","daye"
"55","history","right","beyng","reginæ","people"
"56","christes","boke","vse","appoynted","maner"
"57","foure","1562","begynneth","vsed","newe"
"58","peter","surrey","kept","englyshe","true"
"59","henry","earle","tyll","tyme","profitable"
"60","euery","songes","fourme","january","according"
"61","earth","annus","churches","fyrste","reigne"
"62","secundo","anni","articles","publique","elizabeth"
"63","doctrine","hillarii","hys","seconde","great"
"64","honorable","trinitatis","bishop","maiestatis","necessary"
"65","lately","octavi","queene","regiæ","englyshe"
"66","begon","vvith","irelande","executed","lady"
"67","compendious","mans","daie","greate","christ"
"68","elizabethe","worke","prorogacion","haspurge","whiche"
"69","quinto","named","drad","burgondie","thomas"
"70","ben","wherin","ladye","dukes","ireland"
"71","spayne","health","father","austria","vse"
"72","commaundement","veron","weale","october","wyth"
"73","appointed","hundred","perused","wages","pasche"
"74","last","imprinted","theyr","seuerall","table"
"75","sundry","new","howe","countreys","eyght"
"76","ianuary","pleasaunt","secundo","reformation","matters"
"77","sundrye","practise","honorable","curates","queene"
"78","partes","gods","begon","agreed","lord"
"79","bee","haward","elizabethe","monies","yeres"
"80","together","richardi","quinto","iesu","raigne"
"81","psalmes","magna","ben","kinge","churche"
"82","englande","syr","spayne","statute","diuers"
"83","present","quarters","commaundement","mother","irelande"
"84","neuer","chaunge","ianuary","christ","boke"
"85","forme","arthur","sundrye","parliament","oure"
"86","faithfully","pleasant","fourth","lawes","1562"
"87","pouerte","phisicke","vertue","agaynst","foloweth"
"88","yeares","compiled","sonettes","quinto","weale"
"89","herbes","profit","fraunce","sundry","perused"
"90","doctour","vertues","reygne","sundrye","theyr"
"91","reygne","chronicles","xiiii","partes","queenes"
"92","xiiii","enterlude","thinges","within","famous"
"93","treatyse","full","dissolution","ladye","fyrst"
"94","dyuers","playne","reginæ","iniunctions","howe"
"95","principall","yere","vnderstandyng","begonne","octaui"
"96","thinges","englishe","testament","fleshe","sexti"
"97","1565","kynge","prayers","sauiour","domini"
"98","dissolution","necessarye","right","former","persons"
"99","moneth","true","knaues","vntill","learned"
"100","1559","holy","constitutiones","great","whole"
