"","X1","X2","X3","X4","X5","X6"
"1","termino","yere","maiestie","termino","termino","termino"
"2","henrici","termino","queenes","maiestie","henrici","henrici"
"3","regis","henrici","quene","quene","regis","regis"
"4","iohn","maiestie","certaine","michaelis","maiestie","maiestie"
"5","regni","regis","seene","edwardi","queenes","quene"
"6","english","god","realme","regis","maiesties","regni"
"7","michaelis","queene","set","regni","allowed","quenes"
"8","allowed","regni","quenes","queene","queene","michaelis"
"9","lorde","soueraigne","forth","seene","regni","certayne"
"10","table","queenes","subiectes","proclamation","soueraigne","edwardi"
"11","newly","realme","london","good","order","soueraigne"
"12","sexti","michaelis","proclamation","matters","according","kyng"
"13","edwardi","booke","queene","subiectes","realme","queene"
"14","lord","parliament","englishe","raigne","michaelis","realme"
"15","called","englande","man","sexti","fraunce","sexti"
"16","englishe","holden","learned","quenes","parliament","actes"
"17","thomas","churche","according","queenes","englande","statutes"
"18","new","edwardi","maiesties","quarti","holden","westminster"
"19","moste","pleasaunt","places","prayer","iniunctions","quarti"
"20","profitable","quene","prayer","howe","edwardi","parliament"
"21","true","statutes","persons","boke","westminster","englande"
"22","quarti","westminster","common","theyr","subiectes","lawes"
"23","englished","grace","french","pasche","grace","henry"
"24","gathered","raigne","certayne","verse","raigne","continued"
"25","religion","proclamation","newly","english","proclamation","maner"
"26","octaui","lady","sundry","sermon","table","octaui"
"27","prognostication","lawes","agaynst","prince","lady","subiectes"
"28","holy","continued","order","read","quenes","grace"
"29","french","maner","die","elizabeth","appointed","read"
"30","learned","sexti","1570","tertii","set","yere"
"31","seene","elizabeth","iniunctions","preached","lawes","lorde"
"32","pasche","reigne","allowed","vi","continued","newe"
"33","verse","sayde","appointed","peace","sexti","added"
"34","1570","euery","pleasant","seuerall","perused","weale"
"35","pleasant","quarti","sermon","treatise","read","eyght"
"36","imprinted","englished","suche","foloweth","domini","proclamation"
"37","sermon","fraunce","declaration","commaundement","elizabeth","england"
"38","according","octaui","minister","others","vsed","theyr"
"39","pleasaunt","king","psalmes","collected","reigne","pasche"
"40","tertii","irelande","within","aswell","sayde","holden"
"41","almanacke","howe","preached","north","quarti","psalmes"
"42","preached","weale","past","hys","faith","tertii"
"43","accordyng","pleasure","rebellion","right","octaui","fourme"
"44","gods","eyght","churches","truely","time","vi"
"45","famous","1562","wherin","brother","persons","geuen"
"46","whole","daye","entituled","spayne","irelande","honour"
"47","worke","seene","partes","rates","quene","common"
"48","taken","moste","peace","orders","prognostication","irelande"
"49","wherin","pasche","life","1561","briefe","raigne"
"50","death","verse","prayers","ministers","howe","domini"
"51","worthy","articles","onely","epistle","god","elizabeth"
"52","yeares","publique","godly","forth","churche","ireland"
"53","church","rules","holy","last","profitable","reigne"
"54","order","minister","english","annexed","defence","whiche"
"55","william","newe","christ","doctor","weale","primo"
"56","daie","tertii","worthy","wel","pleasure","foloweth"
"57","hys","since","doctour","dayes","matters","enacted"
"58","sette","vi","enacted","homelyes","die","kynge"
"59","exposition","compiled","commaundement","former","statutes","faith"
"60","right","defendour","ben","countreys","pasche","present"
"61","neuer","notable","north","executed","articles","daie"
"62","die","honour","god","put","italian","session"
"63","historie","olde","good","sayd","good","end"
"64","playe","good","sette","seconde","principall","spayne"
"65","enterlude","lotterie","neuer","sundry","publique","rates"
"66","mery","poet","ianuary","1569","next","orders"
"67","vertue","hystorie","brother","tyme","minister","euery"
"68","forthe","wherevnto","spayne","auncient","psalmes","lady"
"69","sonday","seneca","touching","testament","yere","homelyes"
"70","iesus","tragedie","rates","robert","forth","former"
"71","vnder","partridge","orders","trinitatis","tertii","lowe"
"72","diuinitie","women","ministers","hillarii","almanacke","kynges"
"73","annexed","pretie","whereby","decimus","sermons","seconde"
"74","seen","hundred","scripture","discourse","since","lately"
"75","doctor","drad","thomas","rome","vi","articles"
"76","wel","discription","death","reginæ","geuen","trinitatis"
"77","godly","hereof","historie","george","citie","hillarii"
"78","iniunctions","vertuous","playe","tome","doctrine","decimus"
"79","man","sarisburie","mery","priuilegio","defendour","xxiiii"
"80","robert","nicholas","forthe","elizabethe","churches","hygh"
"81","drawen","easily","iesus","history","honour","therof"
"82","apologie","byrth","diuinitie","french","excellent","tome"
"83","trinitatis","w.f","doctor","certayne","ireland","beyng"
"84","hillarii","inuented","appoynted","generall","yeres","elizabethe"
"85","decimus","appere","homelyes","princes","partes","thinges"
"86","xxiiii","seuenth","former","learned","seuerall","persons"
"87","furth","clarke","countreys","domini","fayth","octavi"
"88","discourse","beautified","lowe","frenche","englyshe","prorogacion"
"89","comfortable","quinti","executed","annus","prayers","annus"
"90","rome","beginning","foure","anni","onely","anni"
"91","see","baker","questions","concerning","tyme","richardi"
"92","exhortation","rule","peter","faithfully","primo","supreme"
"93","whereunto","easely","estates","het","foloweth","notes"
"94","principall","vvittie","lordes","richardi","enacted","partly"
"95","wyth","vvorlde","seconde","ladye","practise","ladye"
"96","actes","defense","kyng","fourth","aswell","fifth"
"97","frenche","groundes","defence","aucthoritie","lorde","fourth"
"98","octavi","founde","eyght","vp","least","aucthoritie"
"99","confession","seruing","bene","wages","wicked","wages"
"100","prorogacion","appeareth","boke","collection","till","iune"
