"","X1","X2","X3","X4","X5","X6"
"1","maiestie","fruitfull","termino","moste","begynneth","seene"
"2","quene","hys","regis","octavi","women","allowed"
"3","queene","boner","regni","lorde","syr","according"
"4","proclamation","sermon","michaelis","honour","chyldren","hir"
"5","quenes","psalmen","henrici","kynge","proper","learned"
"6","subiectes","edmund","edwardi","henrie","drawen","doctor"
"7","realme","end","sexti","diem","enterlude","order"
"8","queenes","foxe","quarti","prorogacion","new","poet"
"9","raigne","becon","pasche","yeres","discription","lotterie"
"10","elizabeth","ian","tertii","daie","hampton","discourse"
"11","certayne","heauy","vi","englande","pouerte","iniunctions"
"12","rates","libell","decimus","apologie","knaues","verse"
"13","seconde","practises","hillarii","reigne","borne","french"
"14","former","specially","trinitatis","drad","wonderful","englishe"
"15","homelyes","sermons","anni","hundred","names","english"
"16","lady","bull","annus","defender","boke","least"
"17","elizabethe","epitaphe","octaui","die","gospels","pleasant"
"18","tome","roger","conquestum","religion","players","aswel"
"19","spayne","psalmes","nunquam","partly","straunge","onely"
"20","wages","ende","richardi","yere","cursed","george"
"21","aucthoritie","het","quinti","westminster","death","gods"
"22","good","faithfully","primo","iewel","wyth","van"
"23","lowe","clerum","secundo","dorman","neuer","epistles"
"24","countreys","monuments","collatione","forthe","iohn","gentleman"
"25","enacted","copies","primus","sarisburie","man","met"
"26","foloweth","cathedrall","secundus","common","true","nicholas"
"27","kyng","fruitful","corone","maie","monsterous","hereof"
"28","taxations","dauidis","decimo","aduertisments","m.ccccc.lxv","gladnesse"
"29","paryshe","nederlandischer","roy","vsinge","chapter","velam"
"30","agreablye","sangs-ryme","salisbury","apparrell","studley","cc"
"31","hygh","wtenhoue","turkes","commaunding","trinitie","confessed"
"32","peace","pius","magna","elyzabeth","ballad","printers"
"33","orders","commodious","septimi","bulleyn","waye","crowley"
"34","brother","greatly","accesserunt","verie","marques","orations"
"35","soueraigne","professor","noua","dooe","balad","plutarch"
"36","lawes","profitably","valde","doen","marueilous","clerke"
"37","euyll","inquisition","bona","kepte","length","heroycall"
"38","execution","translator","vndecimus","conteininge","astronomye","publius"
"39","aucthorised","een","tertius","reproufe","hooper","ouidius"
"40","regiæ","gheloofs","sextus","proufe","gloceter","naso"
"41","maiestatis","slaunderous","vigesimus","nowell","worceter","turberuile"
"42","homilies","abroad","æditi","ansvveare","tryamoure","aulus"
"43","promised","reply","volumine","beene","enterlued","sabinus"
"44","plague","lying","continentur","bishoppe","iacke","aunsweres"
"45","amongst","hopkins","impressi","victorious","dame","teaching"
"46","defendour","apt","edvvardi","authour","impacient","supper"
"47","geuen","tenor","collection","almanack","nother","towardes"
"48","bible","mens","securis","tres","studentes","rich"
"49","persons","ballades","statutes","parlyamente","hutten","winchester"
"50","seuerall","scholemaster","whereunto","actes","fraunces","liber"
"51","parliament","ascham","englyshe","holden","papisticall","vnus"
"52","sundrye","zacharie","drant","irelande","throughoute","minister"
"53","vnderstandyng","heeren","pointes","table","mercyful","appointed"
"54","maintenaunce","mit","earle","continued","humbly","greeke"
"55","infourmed","tghesangk","use","henry","thee","appoynted"
"56","1559","door","dyuers","session","pray","historie"
"57","dissolution","commentaries","almanacke","sette","papists","set"
"58","reginæ","scriptures","arithmetica","faith","defend","truely"
"59","iustices","comfort","lucem","grace","alway","exposition"
"60","churches","perused","halle","weale","rule","thomas"
"61","citie","accordyng","termes","god","pretie","vt"
"62","howe","preached","folowed","vsque","partridge","warres"
"63","euery","peter","exactly","ecclesiasticall","tragedie","game"
"64","intituled","papistes","mounted","parliament","seneca","gent"
"65","testament","diligently","petri","see","history","ioanne"
"66","theyr","pope","carteri","churche","robert","wonders"
"67","put","warning","setoni","profite","newly","euerye"
"68","maner","metre","m.d.lxix","administration","english","since"
"69","publique","places","myles","sacramentes","newes","time"
"70","grace","forth","plaie","eight","wel","forth"
"71","belongyng","thorder","almanackes","high","sonday","exhortation"
"72","whereas","dauids","romish","februarie","mery","robert"
"73","privy","selues","ephemerides","reygne","playe","i.h"
"74","council","m.d.lxii","carpenters","tyll","colledge","hall"
"75","lidd","germany","carta","replie","monstrous","archiepiscopi"
"76","fleshe","lacke","1557","authoritie","yong","meanes"
"77","countie","print","1555","woorkes","philosophers","aboue"
"78","vnlawfull","martir","liuer","bee","whole","sorts"
"79","hen","easter","assises","soueraigne","cambridge","predestination"
"80","games","marie","plees","aprill","1570","example"
"81","statute","diuerse","moues","folowyng","verse","fenton"
"82","geueth","noot","dependantz","welth","age","iurisdiction"
"83","commissioners","mathematicall","deuaunt","holy","go","vvhich"
"84","entercourse","matter","iusticez","shepardes","robin","manuell"
"85","considerations","dangerous","sybien","willyam","diuinity","treasure"
"86","shalbe","parteners","lour","dates","shape","bene"
"87","obseruation","speche","circuitz","writynges","epistels","called"
"88","moneys","whych","aylours","caluin","child","frenche"
"89","quinto","cast","tempz","hereunto","fishe","iohn"
"90","counties","crosse","iadis","regimente","m.d.lxi","yn"
"91","horses","youth","dengleterre","rhetorike","conteining","semeth"
"92","apparell","speake","ouesque","seruyng","lamentable","beeing"
"93","octauo","read","dez","windes","trees","honored"
"94","act","meditations","pleez","plante","mayster","coppy"
"95","sundry","short","sancti","grafte","herbes","preserued"
"96","articles","betwene","tricesimo","gelde","wonderfull","sicknesse"
"97","ministers","yeares","paschæ","faires","named","pervsed"
"98","vsed","prayers","institutions","salutis","welth","duetie"
"99","read","appointed","sortes","moore","daye","christs"
"100","holden","tyme","decimum","bulwarke","1566","sacrifice"
