"","X1","X2","X3","X4","X5"
"1","queene","concernyng","termino","moste","guilielmum"
"2","maiestie","easter","michaelis","daye","ouranomachia"
"3","foloweth","saxons","regis","new","astrologorum"
"4","lady","discipline","regni","noble","ludus"
"5","raigne","boner","quarti","intituled","astrologiæ"
"6","soueraigne","catechismus","sexti","honour","primis"
"7","enacted","metre","pasche","kynge","relaxationem"
"8","reginæ","moreouer","edwardi","diem","comparatus"
"9","elizabethe","edmund","henrici","vsque","illustratus"
"10","elizabeth","hopkins","vi","profitable","æditus"
"11","proclamation","ane","trinitatis","iohn","fulconem"
"12","queenes","friday","conquestum","die","cantabrigiensem"
"13","dissolution","goodfryday","according","henry","abacus"
"14","vntyll","heauy","life","confession","calculi"
"15","publique","indice","decimus","bathes","væneunt"
"16","fayth","locupletissimo","imprinted","viij","longa"
"17","parliament","specially","little","historie","officina"
"18","hygh","betwene","octaui","arte","occidentalem"
"19","continued","crosse","treatise","minister","paulini"
"20","grace","songes","eduardi","entituled","templi"
"21","begunne","certaine","hyll","pleasaunt","portam"
"22","westminster","comfort","better","almanacke","bonarum"
"23","xiij","sermon","collection","common","studiosorum"
"24","holden","angli","diocesse","parliamente","lucem"
"25","gratious","bull","statutes","nicholas","iones"
"26","pleasure","sermons","learned","downe","artium"
"27","weale","institutio","seene","low","recueil"
"28","yere","latinè","necessary","since","mellange"
"29","englande","libell","death","princes","dorlande"
"30","fraunce","crucified","annus","containing","lassus"
"31","subiectes","laden","decimo","magistrates","contenant"
"32","priuilegio","foxe","tertii","varietie","chansons"
"33","realme","roger","cc","gospell","tant"
"34","defendour","notes","iniunctions","cambridge","latins"
"35","regiæ","practises","corrected","straunge","quen"
"36","maiestatis","psalmen","appeareth","vvorlde","ryme"
"37","almightie","nederlandischer","1563","securis","francoyse"
"38","almyghtie","sangs-ryme","gladnesse","englished","quatre"
"39","xiiij","ian","velam","excellent","cinq"
"40","mariæ","sclaunders","women","kepte","parties"
"41","kyng","wherewith","thomas","henrye","superius"
"42","god","inuentions","called","reygne","linguae"
"43","ireland","commodious","gods","commons","latinae"
"44","vvestminster","profitably","secundo","firste","aldo"
"45","folowyng","inquisition","bee","tragicall","manutio"
"46","flaunders","margent","edward","prorogati","abecedarium"
"47","begun","ezechias","maister","tres","adductae"
"48","fyrst","byshops","1574","dauid","anglicum"
"49","irelande","psalms","onely","lotterie","sermonem"
"50","orders","slaunderous","neuer","comedie","conuersae"
"51","bible","reply","supper","nowe","dictionum"
"52","plague","sternhold","copie","mery","anglicarum"
"53","hierusalem","scanderbeg","past","vvhich","ope"
"54","spaine","maries","verse","true","libello"
"55","austria","spittle","treasure","taken","commodissimè"
"56","dukes","solace","manuell","gentleman","vti"
"57","millaine","laying","preserued","vvith","bastard"
"58","brabant","apart","charta","till","chancery"
"59","counties","vngodly","armorie","temporall","vnskilfull"
"60","tyrol","balades","honor","best","commentarie"
"61","spayne","tend","anni","confutation","excellently"
"62","octauo","corrupting","nunquam","profite","riches"
"63","kept","select","sancti","xxiiii","grammer"
"64","hands","augustines","addicions","sette","scipio"
"65","brother","calleth","armes","lesse","lentulo"
"66","philippi","talke","mete","assembled","neapolitane"
"67","braunches","lordis","hillarii","diuers","chancelry"
"68","maintenaunce","kingis","abridgement","fidei","just"
"69","vnlawfull","tenor","surrey","presente","propotionn"
"70","considerations","scholemaster","roigne","doo","capitall"
"71","infourmed","speake","euerye","drad","romae"
"72","commissioners","ascham","trees","conteininge","beav"
"73","commission","disciplinaque","heroycall","victorious","chesne"
"74","defenders","matthæi","publius","phisition","baildon"
"75","archdukes","monachi","ouidius","xxviij","coniunctionibus"
"76","beyng","albanensis","naso","i.s","magnis"
"77","defender","conquæstore","aulus","vices","insignioribus"
"78","eyght","tertij","sabinus","science","superiorum"
"79","lowe","cantebrigiensis","aunsweres","daie","solis"
"80","prorogation","iohanne","easely","touchinge","defectionibus"
"81","persons","caio","semeth","postill","cometis"
"82","last","houses","iniunction","golding","quarta"
"83","accessit","prima","oxenforde","students","effectuum"
"84","amongst","pietatis","housholders","sacred","historica"
"85","countreys","explicata","families","originall","cypriano"
"86","geuen","epitaphe","offices","lute","leouitio"
"87","statute","song","magna","experience","leonicia"
"88","seconde","youth","siluer","balad","boemo"
"89","secretarie","dedicated","golde","tongue","hradecense"
"90","hauyng","labour","exactly","colledge","mathematico"
"91","games","prayer","points","newe","authoris"
"92","geueth","whole","confessed","necessarie","viginti"
"93","1559","preached","howe","french","annos"
"94","enfourmed","defence","robert","annexed","sequentes"
"95","homilie","prayers","truely","time","prognosticon"
"96","disobedience","england","writers","lorde","planetæ"
"97","wines","1571","reade","tyll","orbis"
"98","growen","ende","olde","sauiour","interitu"
"99","taxations","agaynst","briefe","arthur","portendant"
"100","wages","canons","1570","faithfull","apertè"
