"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","queene","gen","pleasant","plantes","horse","daryus","guilielmum","libri","euphues","termino","commyng","laste"
"2","foloweth","langue","epytaphe","nievve","foundered","stipator","ouranomachia","magistrates","offence","regis","questions","necessarie"
"3","lady","preceptes","dutch","herball","woolton","thyrde","astrologorum","henry","wyt","regni","vp","bathes"
"4","enacted","deuises","deceased","shapes","howres","romaynes","ludus","accessit","master","quarti","iohn","dooen"
"5","fayth","inuentions","antwerpe","growyng","edmund","entiteled","astrologiæ","viij","worst","michaelis","miserable","lute"
"6","reginæ","paradyse","cyuile","forrayne","langue","wryter","primis","charles","myxed","edwardi","knewstub","drawen"
"7","elizabethe","daynty","vncyuile","doutche","iourney","hugo","relaxationem","diem","isle","pasche","whether","ihon"
"8","soueraigne","edwards","dialoge","almaigne","preceptes","coortesse","comparatus","fall","hurtfull","sexti","poets","sort"
"9","parliament","sometimes","beseemeth","rembert","diui","docter","illustratus","honour","regarded","cases","pipers","maie"
"10","publique","woorshippe","education","dodoens","gen","preaty","æditus","viri","lightnesse","henrici","gosson","robinson"
"11","holden","viz","parson","physition","knight","esdras","fulconem","sonne","proffered","prognostication","stud","simple"
"12","elizabeth","barnarde","quiet","lyte","condition","prolocutor","cantabrigiensem","illustrati","lyly","breuium","benefite","declaryng"
"13","raigne","e.o","cumlynesse","natures","body","importunitie","abacus","till","commend","hyll","confirming","beneficiall"
"14","westminster","vaux","callinge","operations","vvhole","parcialitie","calculi","die","sandwich","almanack","tending","preseruation"
"15","vntyll","d.s","fragrant","realmes","theologicus","equitie","væneunt","psalmi","anatomy","booke","curse","richard"
"16","begunne","heyvvood","middleborovv","esquyer","apostoli","agreeable","longa","methodus","iohn","according","answeares","priuie"
"17","continued","f.k","lightie","herbes","explanatur","perplexitie","officina","henrye","brooke","psalter","ghaunt","vvith"
"18","grace","bevve","merye","kindes","praelectionibus","preparatus","occidentalem","accesserunt","vulgar","trinitatis","caluin","gerileon"
"19","dissolution","yloop","garrat","fashions","antonij","curyositie","paulini","princes","tongue","corrigee","sermons","popishe"
"20","maiestie","myracle","britayne","physicke","corrani","juda","templi","latinum","compendiously","nouelment","frampton","sclaunderous"
"21","weale","gally","daniels","countrie","hispalensis","medey","portam","kynge","epistle","imprimee","receiue","libelle"
"22","gratious","mayde","siftyng","figures","collectus","aethyopia","bonarum","teaching","nothing","plees","summe","spread"
"23","fraunce","aboute","gent","vvhole","concinnatus","constancie","lucem","auctore","hyperius","roigne","sermon","abrode"
"24","testament","possessed","vertuous","straunge","origine","optimates","studiosorum","lords","delightful","imprimendum","seconde","felowe"
"25","pleasure","legions","honorable","emperour","powers","anagnostes","artium","vvherin","small","presidents","number","ihons"
"26","realme","deuylls","lyfe","commonly","conioyned","prymus","iones","dauidis","neuer","writing","english","arraigned"
"27","xiij","ij","flowers","contayned","feete","secūdus","adjourning","theodoro","spanish","orthographie","discourse","mirrhor"
"28","proclamation","child","prince","nowe","instaunt","zorobabell","michaelmas","breues","wonderfull","housholders","oxon","tunes"
"29","ireland","abyde","bee","historie","foundering","syx","term","mirour","wise","almanacke","prouerbes","housebandrie"
"30","whereas","hopyng","alderman","vsed","curre","cleomines","friderich","parliamente","english","necessary","prophane","frankes"
"31","queenes","reioycing","recreate","vertues","malbie","iuliet","count","kepte","peter","imprinted","testimonie","poundes"
"32","englande","shordiche","ages","onely","exon","begynneth","electours","contayninge","alowed","tables","christianitie","congregation"
"33","folowyng","taylors","gyft","whiche","defendresse","ieste","bauire","temporall","pathway","copie","wee","arch"
"34","hygh","heralde","garnished","sortes","courtier","shrewde","constantlie","commons","castilian","manuell","kingdome","galens"
"35","defender","pegaso","i.c","names","scottish","curste","meekelie","victorious","wanton","dictionarie","intreated","acceptable"
"36","statute","yeares","younge","description","lindsey","wyfe","lantgraue","chronicle","manners","exactly","meta","deliueraunce"
"37","xiiij","exelent","estimation","wherin","inuented","lapped","moued","oure","spaniard","eduardi","incognita","novve"
"38","almyghtie","mercury","chastitie","perfect","corruption","morrelles","breed","prorogati","clements","charta","propositions","armies"
"39","defendour","mars","freendes","henry","glorification","skin","iesuite","admonition","wayes","metropoliticall","vezelian","dutche"
"40","god","bevvtified","worthy","tongue","forrest","behauyour","charke","gabrielis","amend","rogers","follow","theodorus"
"41","yere","politike","priuate","others","fancy","merry","diligentlie","rhetorica","tounge","amendment","priest","vile"
"42","almightie","maistre","september","foorth","epigrams","persia","declaringe","appian","compiled","wrath","sheweth","drewrie"
"43","kept","descole","intituled","sundry","pithye","wysdome","thend","ecclesia","lyfe","gladnesse","vvorde","margarit"
"44","next","anglois","passe","englande","contruersies","flower","parliaments","quàm","desire","velam","world","monethe"
