"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","termino","god","christian","booke","english","queene","queenes","god","queene","libri"
"2","regis","iohn","profitable","set","true","christian","necessarie","queene","termino","treatise"
"3","edwardi","true","regis","necessarie","christian","allowed","diuers","queenes","regis","conteining"
"4","henrici","christian","vvith","iohn","church","god","termino","termino","statutes","together"
"5","quarti","booke","generall","sermon","godly","maiestie","comfortable","maiestie","libri","epistle"
"6","bee","profitable","last","treatise","right","seene","verie","lord","edwardi","doctrine"
"7","regni","church","together","christ","treatise","queenes","englande","life","parliament","large"
"8","worthy","godly","noble","church","excellent","termino","lorde","london","realme","description"
"9","1579","right","fraunce","englishe","queene","articles","preacher","1579","regni","french"
"10","iohn","treatise","church","queene","order","true","briefe","edwardi","authore","william"
"11","george","excellent","libri","short","maiesties","according","maiestie","regni","king","christ"
"12","loue","christ","read","touching","allowed","regis","betweene","lady","henrici","master"
"13","prognostication","sermon","death","termino","gentleman","fraunce","seuerall","betweene","francisco","frenche"
"14","knight","great","prince","minister","called","godly","pleasant","father","testament","authore"
"15","seene","london","englished","faith","briefe","libri","discourse","ireland","1576","famous"
"16","michaelis","queene","citie","regis","psalme","citie","excellent","statutes","read","word"
"17","vp","gathered","elizabeth","maiesties","vppon","elizabeth","conteyning","common","quarti","persons"
"18","deuided","preached","gent","certaine","wherevnto","lord","notable","englande","proclamation","reader"
"19","francisco","thomas","betweene","libri","executed","christ","statutes","regis","gentlemen","englished"
"20","academia","order","loue","persons","plague","realme","bishop","present","westminster","citie"
"21","lorde","queenes","matters","necessary","1583","statutes","letters","holden","best","quæ"
"22","executed","maiesties","seuerall","vse","inne","gods","large","moste","letter","questions"
"23","vertues","allowed","table","tongue","raigne","bishop","seene","whole","reginæ","briefe"
"24","honest","according","pleasant","loue","supper","maner","holden","1585","nouember","francisco"
"25","di","necessary","knight","annexed","dayes","doctrine","added","gods","names","commentarie"
"26","tyme","gentleman","comfort","comfort","vvritten","letters","great","citie","containing","diuinitie"
"27","martiall","necessarie","epistle","statutes","vertues","peace","vse","elizabeth","collected","places"
"28","examples","called","conteyning","exposition","holie","holden","beza","soueraigne","tremellio","confutation"
"29","howe","time","realme","doctrine","pleasaunt","vse","faithfully","booke","michaelis","princes"
"30","cambridge","briefe","statutes","large","otherwise","whole","queene","places","force","testament"
"31","cases","maiestie","compiled","english","next","1581","containing","holy","psalmes","proclamation"
"32","ailgna","lord","arte","holden","crosse","beza","edwardi","executed","grace","bishop"
"33","whiche","certaine","discourse","william","reader","iesus","regni","parliament","lady","certaine"
"34","quædam","gods","peace","holy","authoritie","1579","parliament","euerie","concerning","english"
"35","tremellio","seene","large","bookes","cambridge","names","newe","george","1583","prognostication"
"36","frenche","religion","scriptures","beza","vsed","soueraigne","euerie","maiesties","accesserunt","chronicles"
"37","aswell","added","pleasure","downe","quæ","edwardi","sundrie","maner","testamenti","lordes"
"38","honorable","common","declaration","forth","1577","regni","englishe","corrected","gratious","children"
"39","paschæ","maister","lately","word","partes","within","instruction","reigne","life","psalmes"
"40","young","england","whole","edwardi","high","parliament","greeke","godly","letters","caluin"
