"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1","french","proclamation","queenes","english","queene","england","queenes","true","queene"
"2","gentleman","french","discourse","god","proclamation","great","queene","king","life"
"3","death","france","god","french","statutes","lord","seene","england","proclamation"
"4","honorable","queene","england","true","reigne","maiesties","maiestie","great","famous"
"5","christian","statutes","great","king","di","right","duke","set","reigne"
"6","english","lords","set","england","almanacke","diuers","proclamation","lord","pleasant"
"7","true","maiesties","holy","great","prognostication","last","allowed","iohn","prognostication"
"8","pleasant","reigne","true","set","1594","church","maiesties","maiesties","god"
"9","newly","declaration","seene","lord","holden","christian","last","queene","elizabeth"
"10","containing","parliament","word","iohn","ladie","good","king","right","excellent"
"11","short","di","spanish","maiesties","realme","london","sent","diuers","maiestie"
"12","word","holden","allowed","queene","translations","profitable","parliament","last","henry"
"13","thomas","grace","vnder","right","conferred","discourse","paris","certaine","holden"
"14","gentlemen","aswell","loue","diuers","bible","death","realme","maiestie","smith"
"15","gods","faith","lately","last","iustices","sermon","earle","church","almanacke"
"16","last","paris","parma","certaine","collected","according","people","booke","scripture"
"17","vvith","officers","especially","maiestie","greeke","concerning","newes","christian","soueraigne"
"18","discourse","vntill","mans","church","beginning","containing","bee","treatise","serue"
"19","gent","master","trueth","booke","ireland","english","times","queenes","bible"
"20","seene","together","edward","christian","orders","better","past","good","towne"
"21","sermons","parma","coppie","treatise","generally","principall","death","london","knight"
"22","sundrie","since","league","queenes","testament","contained","honorable","profitable","put"
"23","annexed","peace","cause","good","meridian","notes","euery","discourse","london"
"24","knight","iustices","iames","london","tho","1586","prognostication","time","domini"
"25","strange","faithfully","august","profitable","sortes","learned","armes","gentleman","ireland"
"26","verie","preached","essex","discourse","gratious","christ","epistle","death","loue"
"27","smith","togither","reasons","time","defender","vvritten","lately","honorable","death"
"28","briefe","gouernment","making","gentleman","serue","verses","betweene","sir","strange"
"29","minister","certaine","himselfe","death","kept","sea","cittie","sermon","manner"
"30","duke","e.a","chamber","honorable","libri","olde","fraunce","excellent","fortune"
"31","notable","languages","march","sir","diuinitie","maner","declaration","according","testament"
"32","paris","court","soueraigne","sermon","regni","greeke","execution","concerning","best"
"33","delight","diuerse","newe","excellent","liberties","iesus","foure","containing","englande"
