"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1","queene","prognostication","hunnis","gores","neere","termino","su","alberici","di"
"2","proclamation","almanacke","iosuah","terrestrial","death","michaelis","dei","gentilis","psalmes"
"3","reigne","meridian","sinners","designed","king","sexti","libri","professoris","e.a"
"4","queenes","leape","chapell","molyneux","1586","henrici","el","iuris","duke"
"5","statutes","frende","raab","engr","true","collect","diuinitie","lege","french"
"6","translations","generally","yvry","hondius","receiue","cases","sacræ","prima","togither"
"7","bible","practitioner","salustius","globe","sundrie","regis","iusti","colvthi","hopkins"
"8","realme","gray","siluester","higham","betweene","symbolæography","lipsi","thebani","auec"
"9","holden","worlde","hunnies","ferrers","praise","image","hands","lycopolitani","wright"
"10","liberties","creation","recreations","riding","delight","paterne","grammar","poetæ","bread"
"11","iustices","kalender","adams","clarke","damnation","præsidents","arithmeticall","helenæ","collected"
"12","greeke","worldes","crib","buckeridge","fire","notarie","petruccio","raptus","paris"
"13","maiesties","specially","sheepe","plimmouth","greene","scriuener","vbaldino","paraphraste","kept"
"14","continued","englande","banishment","portes","found","ley","scripturæ","watsono","departure"
"15","reginæ","eleuation","hir","xij","knowne","pur","locorum","rerij","letters"
"16","parliament","pleasant","è","possession","rare","west","sacred","commentatio","catholike"
"17","westminster","strange","christ","customed","iuly","vn","speake","luranie","sing"
"18","dissolution","serue","holdernesse","restore","whether","violences","antonio","muse","tunes"
"19","weale","pierce","lost","felons","towne","fitzherbert","perez","celeste","leonard"
"20","elizabeth","branch","hierusalem","pirates","taking","compose","rey","urania","pence"
"21","languages","vvalter","rogers","trustie","vvherein","couenants","iustiçia","musa","wheate"
"22","elizabethæ","dorchester","godlie","welbeloued","foundation","contracts","alcune","coelestis","ch"
"23","ebrew","buckminster","pithie","counsellor","frier","obligations","arithmeticke","ashelei","faithfully"
"24","enacted","dade","bartas","treasorer","inuectiue","feffements","operations","salustij","france"
"25","maiestie","astrologie","imitation","doings","colours","graunts","proportion","bartasij","sayd"
"26","execution","braue","sylburgio","moderne","companie","wills","dialogues","delibata","hebrue"
"27","annotations","seruing","verborum","præcedents","conceites","cy","ciuili","condicionum","whatsoeuer"
"28","conferred","fyrst","soule","psalmau","voiage","cest","pagella","disputationum","kinges"
"29","orders","aptly","confession","dafydd","coosenage","termed","libros","decas","ordinances"
"30","importance","1595","monster","cyfieithiad","gentlemen","regni","hiz","londinensi","twentieth"
"31","rates","sometime","intreating","cyffredin","supper","instruments","enuy","regii","needful"
"32","session","theyr","conuersion","wilts","doctrine","inner","epistolarum","roberti","army"
"33","restraint","nashe","william","euil","artibus","temple","vse","palma","noue"
"34","places","astronomie","since","abstinence","robin","conditions","fide","speculum","testaments"
"35","testament","partes","newlie","ansvvered","vray","tout","familiar","veri","voyces"
"36","soueraigne","ovvne","societie","vntruethes","ballad","miraculously","religion","status","till"
"37","ireland","rich","inne","reprochfully","byrd","conserued","theodori","ecclesiastici","mendozza"
"38","thing","m.d.xcv","sobs","libeller","voices","nouel","bezæ","naturæ","maurice"
"39","eating","rectified","commonlie","broode","leaguers","corrigee","spirit","mosis","hand"
"40","flesh","incarnation","poenitentiall","deface","magister","nouelment","fleete","institutione","together"
