"","X1","X2","X3","X4","X5","X6","X7"
"1","word","proclamation","king","prognostication","king","preached","church"
"2","gods","translations","god","almanacke","almanacke","prince","christian"
"3","thomas","diligently","preached","meridian","lord","life","thomas"
"4","christian","testament","great","proclamation","proclamation","last","english"
"5","preacher","compared","lord","leape","prognostication","sermon","gods"
"6","minister","prognostication","true","bible","new","proclamation","together"
"7","death","king","sermon","serue","composed","sermons","kings"
"8","prince","neue","church","new","lute","royall","containing"
"9","william","blank","word","lord","meridian","holy","diuinitie"
"10","prognostication","statutes","christian","rectified","statutes","maiesties","set"
"11","almanacke","speciall","last","king","leape","christian","sermons"
"12","life","popish","thomas","england","orders","george","prince"
"13","meridian","grammar","new","latitude","brittaine","tvvo","minister"
"14","1612","meridian","english","phisicke","calculated","meditations","diuers"
"15","true","leape","england","blank","blank","acted","holy"
"16","sermons","prayer","gods","translations","parts","word","christ"
"17","acted","differences","maiesties","seruing","testament","preacher","french"
"18","leape","hieron","together","london","serue","reuised","whole"
"19","iohn","reuised","london","statutes","musicke","compared","vse"
"20","man","rectified","kings","woodhouse","latitude","seruants","present"
"21","master","generally","containing","generally","phisicke","true","famous"
"22","crosse","booke","diuinitie","bissextile","read","either","certaine"
"23","shewing","almanacke","set","sauiour","viz","wife","treatise"
"24","times","old","sermons","almanack","translations","nouember","good"
"25","preached","serue","life","townes","best","king","robert"
"26","1615","commandement","death","pole","women","heauen","generall"
"27","serue","vntill","prince","whereas","kingdome","taken","right"
"28","whole","tongues","preacher","parliament","speciall","crosse","according"
"29","sermon","churches","minister","dade","hall","committed","concerning"
"30","church","maiesties","diuers","ireland","citty","paules","doctor"
"31","godly","learned","holy","neue","dade","right","lords"
"32","1613","holden","booke","1614","notes","queene","foure"
"33","famous","execution","christ","maiesties","generally","diseases","maiestie"
"34","seuerall","former","french","whole","famous","repentance","excellent"
"35","mans","ordinary","whole","supputated","sung","august","parts"
"36","together","point","vse","britaine","greeke","iuly","almanacke"
"37","added","hereunto","present","norfolke","bible","translations","1613"
"38","saint","venice","certaine","diligently","1607","full","newly"
"39","children","lancashire","treatise","computation","iustices","gods","annexed"
"40","nature","especially","seuerall","regis","christ","minister","third"
"41","generall","beginning","crosse","calculated","within","high","man"
"42","towne","points","good","speciall","christendome","death","master"
"43","right","forraine","robert","originall","songs","taking","1612"
"44","henry","maiestie","generall","state","hopton","diligently","betweene"
"45","forth","iustices","right","tongues","newly","kings","bookes"
"46","gathered","realme","according","rules","visitation","france","time"
"47","foure","session","concerning","testament","alone","course","faith"
"48","1614","restraint","prognostication","lawes","thomas","letter","iames"
"49","arts","theologicall","doctor","within","bretnor","march","1609"
"50","called","pole","times","redemption","april","dayes","profitable"
"51","brittaine","resolution","lords","counsell","leap","palatine","euery"
"52","doctrine","lords","religion","iacobi","hauing","countie","forth"
"53","dialogue","iacobi","foure","1609","ayres","counsell","sundry"
"54","prayers","deliuerance","sir","virginea","numbers","commanded","gentleman"
"55","pauls","reigate","maiestie","practitioner","aswell","dedicated","france"
"56","noble","poeme","excellent","musicke","computation","originall","called"
"57","repentance","scotiæ","parts","grace","regis","themselues","citie"
"58","short","effect","almanacke","place","viole","children","relation"
"59","scripture","opinion","1613","wonderfull","officers","lady","1607"
"60","iune","hebrew","newly","student","tongues","christians","short"
"61","comfortable","continued","annexed","realme","obseruations","hieron","godly"
"62","good","estates","third","perused","set","direction","proclamation"
"63","wife","rome","man","south","arthur","former","world"
"64","composed","deliuered","meridian","bretnor","bishop","christs","touching"
"65","heauen","seruing","master","leap","student","bible","composed"
"66","loue","psalmes","1612","god","viols","hee","leape"
"67","latitude","augmented","betweene","people","acres","church","honourable"
"68","1611","regis","bookes","towne","epistles","samuel","parliament"
"69","diuine","reigne","time","newly","kinges","authors","mans"
"70","corrected","proceedings","faith","vnder","maske","funerall","court"
"71","neere","samuel","iames","according","practitioner","ierusalem","added"
"72","worthy","characters","1609","citie","woodhouse","commandement","saint"
"73","whereunto","leap","profitable","acres","maner","called","children"
"74","funerall","priuie","euery","places","table","teares","george"
"75","diuinitie","appointed","forth","table","excellent","testament","briefe"
"76","essex","collected","sundry","high","tables","old","knight"
"77","teares","bellarmine","lately","reuised","yeares","virginea","worthy"
"78","full","greeke","gentleman","subiects","contayning","munday","whereunto"
"79","seruants","creation","discourse","compared","making","februarie","princes"
"80","cambridge","bene","france","yere","ecclesiæ","countrey","within"
"81","rectified","yarmouth","called","teacher","iesus","iune","vvith"
"82","gentleman","colchester","citie","appeare","pleasant","execution","henry"
"83","discourse","decads","relation","1615","cathedrall","viz","grace"
"84","comfort","roy","1607","defender","vvhich","white-hall","generally"
"85","spirituall","⁰","short","1612","towards","executed","ireland"
"86","presented","flesh","godly","next","1615","little","richard"
"87","rome","conteyning","kingdome","commandement","1610","iesuits","deliuered"
"88","daughter","new","acted","eleuation","sauiour","wicked","shewing"
"89","generally","viole","proclamation","custome","south","ouer","1614"
"90","paules","lent","world","monsieur","cittie","examined","gent"
"91","student","officers","touching","great","violl","sixe","manner"
"92","newes","artes","leape","additions","apt","mans","direction"
"93","dutch","whereas","honourable","plantation","bread","court","former"
"94","manner","next","parliament","inne","drowning","seene","1608"
"95","maister","papist","mans","oath","cause","daughter","high"
"96","vp","abridgement","court","euery","naturall","copie","doctrine"
"97","benefit","collection","added","leape-yeare","protestants","diuinitie","1615"
"98","tongue","barnabe","saint","husbandmen","soueraigne","master","serue"
"99","soule","sermon","children","city","murther","saint","1610"
"100","practitioner","artick","george","conferred","sundry","night","nature"
