"","X1","X2","X3","X4","X5","X6","X7"
"1","iosuah","nundinis","parthenia","acres","preached","prognostication","proclamation"
"2","genealogies","francofurtensibus","maydenhead","pleasant","sermon","almanacke","translations"
"3","politicall","vernalibus","virginalls","seruants","sermons","meridian","compared"
"4","syluester","librorum","gentilmen","women","preacher","serue","testament"
"5","hieron","emendatiores","ma:ties","garden","diuinitie","leape","diligently"
"6","panaretus","catalogus","dorethie","merry","word","calculated","speciall"
"7","bartram","designatio","euans","dutch","pastor","bissextile","king"
"8","country","noui","byrd","taking","characters","generally","maiesties"
"9","virginea","auctiores","ingrauen","seauen","doctor","latitude","commandement"
"10","lachrimarum","prodierunt","hole","burning","death","lord","reuised"
"11","temerandis","autumnalibus","orlando","true","virginia","leape-yeare","bible"
"12","appropriat","universalis","gibbons","millions","note","pole","queene"
"13","parsonage","commissioners","musick","ground","suffolke","brittaine","former"
"14","vncertainly","copyhold","maisters","wales","christs","leap","maiestie"
"15","spelman","countie","louers","lute","crosse","neue","realme"
"16","tribe","dc","bull","sonne","bachelour","south","tongues"
"17","harcourt","catholikes","masters","heauenly","samuel","1620","restraint"
"18","forme","principis","priuilegio","murder","warres","1619","originall"
"19","prouided","rob","musicke","acted","novv","statutes","whereas"
"20","anatomy","tennants","william","night","himselfe","1618","queenes"
"21","blank","mannors","illustrious","loue","since","almanack","newly"
"22","diuine","composition","chappell","fire-wood","minister","god","old"
"23","plantation","edouardo","dedicated","wise","iland","seruing","priuie"
"24","dominions","lucius","euer","viols","saint","dade","aswell"
"25","romanes","muld","composed","truely","christians","new","eating"
"26","lachrimæ","sacke","famous","lamentable","happinesse","computation","prices"
"27","attersoll","spalatensis","iohn","minde","whereunto","woodhouse","appointed"
"28","wilson","magnæ","atheism","anne","conuersion","student","within"
"29","georges","oxford","hatred","scripture","pauls","colchester","conteyning"
"30","dominum","free","goodwill","delectable","learned","gilden","conteining"
"31","rights","hiberniæ","avenar","mans","choise","ranger","quenes"
"32","respect","oxoniensi","mnemonica","sinne","sea","rectified","liberties"
"33","di","granting","reminiscendi","taylor","diuinity","white","greeke"
"34","annexed","libri","ars","aduancement","sort","great","seas"
"35","short","britanniæ","puris","ouerbury","action","bretnor","killing"
"36","knight","serenissimi","artis","dogge","treatise","mathematicks","olde"
"37","schollars","opera","naturæque","iests","ouerburie","citty","wards"
"38","origens","dei","fontibus","hurtfull","t.p","eleuation","suburbs"
"39","containeth","liber","hausta","heauen","preacht","london","orders"
"40","golden","alphabeticall","digesta","life","paire","keene","highnesse"
"41","successe","sampson","naturali","called","whately","articke","officers"
"42","atheisme","episcopo","fovenda","confession","romish","browne","blank"
"43","shede","reuter","collectus","sweet","chaplaine","composed","new"
"44","vntymely","hungaria","primùm","euery","assises","monarchie","holy"
"45","high-hopefull","band","willisso","christian","likewise","redemption","seale"
"46","extreames","vniversalis","bacchalaureo","wicked","gataker","priuilegio","forasmuch"
"47","darts","archiepiscopi","ashall","receiuing","rotherhith","practitioner","counties"
"48","lieutenaunt","studio","niobe","maiesty","newes","parts","plague"
"49","edm","academia","visard","neere","paradise","towne","original"
"50","handling","devon","pulled","mighty","particular","britaine","wines"
"51","new-castle","commentarie","else","losse","sam","referred","infection"
"52","raphe","comedie","deceassed","heaven","meditation","rudston","quene"
"53","readings","vniuersitie","hardning","alone","last","mounted","prohibiting"
"54","astrologicall","castle","vvinchcomb","henry","nation","sensible","england"
"55","pedro","religion","iack","worthy","gibson","behold","places"
"56","francesco","colledge","newberie","questions","latter","burton","flesh"
"57","sansouino","parents","clothier","woods","friends","1615","bearing"
"58","verdier","franciæ","hospitality","thousand","dauids","city","lent"
"59","vaupriuaz","purchas","continually","flowers","singular","creation","execution"
"60","loys","perswasion","regarded","i.m","master","degrees","commanded"
"61","guyon","licensed","piëtie","best","desire","1614","liueries"
"62","nauche","common-ale-house","luxurie","store","reasons","famous","darke"
"63","claudius","recommending","thoriginall","ioyfull","nature","properly","imported"
"64","gruget","23201","inscribed","solemnity","faithfully","error","exported"
"65","parisian","giving","poly-olbion","albion","ouer","yarmouth","bottomes"
"66","tomes","dn","drayton","sathan","hieron","worlds","ireland"
"67","counsellor","grieuances","esqr","ballad","poem","forraigne","granted"
"68","hypostasis","grieuance","armour","ile","blessings","norfolke","raigne"
"69","spaw","dearth","fast","poysoned","oxfordshire","tables","raleigh"
"70","humanity","fruit-trees","quench","froward","falles","honorable","statute"
"71","perpetuam","pullen","andrewe","vnconstant","leigh","1617","beyond"
"72","memoriam","abundance","virtue","yeelding","gentlemen","rudstone","expositions"
"73","alehouse-keeper","deuoured","siluester","smelling","reade","mathematickes","buildings"
"74","alehouse","pidgeons","vn-tymely","sauour","maries","horizon","coynes"
"75","dengleterre","lusatia","moral","violl","richard","1616","lieutenants"
"76","magnae","magnum","century","botterwike","ios","monarchy","adiourne"
"77","britanniae","consilium","bettering","discourses","vnfortunate","hopkins","progenitors"
"78","hiberniae","dignitate","stafford","daily","chiefly","sofford","enfourmed"
"79","guests","florus","iustus","seene","martins","errour","elie"
"80","vvitnesses","encomium","lipsius","dayes","prepared","gre","almoner"
