"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","crums","saluedoe","proclamation","prognostication","church","newes","newes","querimonia","pleasant","donne"
"2","vvherein","church-schismes","king","almanacke","harris","continuation","continuation","diuisa","new","ward"
"3","husbandman","vnity","maiesties","meridian","edification","numb","count","exit","ballad","ipswich"
"4","ezekel","j.d","diligently","bissextile","holbrooke","particulars","forces","primus","ditty","deane"
"5","dancing","commin","translations","calculated","preached","count","prince","europæ","song","isle"
"6","money-master","beleaguering","compared","serue","learned","nundinis","pastor","libros","taylor","adams"
"7","lenders","mouing","testament","leape","stephen","forces","relation","duos","lasse","barons"
"8","coronell","eare-witnesse","commandement","pole","word","states","ios","demosthenes","daintie","ree"
"9","grocer","weather","reuised","latitude","wearing","low-countries","duke","macedon","loue","foote"
"10","goldsmith","kinki","restraint","referred","minister","duke","denmarke","athens","louers","dignities"
"11","artificer","abenezrah","tongues","lord","denison","diuers","health","faithfvlly","fryer","arithmatick"
"12","tradesman","fuell","speciall","leape-yeare","faction","warlike","diuers","sidemen","betweene","ranges"
"13","nobleman","ben","bible","longitude","mayor","taking","besides","starre","construed","knights"
"14","fishmonger","euerlasting","originall","horizon","randall","faction","iackson","conjunction","theorems","buckingham"
"15","clothier","wandring","former","creation","robert","emperour","willoughby","narne","dulcina","pauls"
"16","syllogismo","iew","appointed","god","barnes","preparations","low-countries","dysert","shee","trauell"
"17","demonstrated","offer","pleasure","britaine","vrines","proceedings","numb","commissariship","maidens","motions"
"18","profit","armado","prohibiting","degrees","iustly","denmarke","gataker","presentments","merry","occasions"
"19","essayes","base","realme","properly","gods","weekely","christendome","peculiar","excellent","dyed"
"20","micro-cosmographie","change","dressing","leap-yeare","master","lately","cities","plurisie","delicate","horse"
"21","mathews","brasile","eating","minutes","meetings","francofurtensibus","pretty","sorrovv","collections","healthes"
"22","weakest","professors","killing","articke","concordance","prince","rotherhith","eye-veine","sitting","curious"
"23","borrowers","eye","whereas","ranger","senhouse","germany","weekly","hogson","speidell","emergent"
"24","scriuener","mysteries","newly","almanack","largely","weekly","warlike","mag","robin","debatements"
"25","vsurer","eleuenth","strictly","aboue","safetie","last","palatinate","discussion","tell","verse"
"26","lender","cheape","subiects","composed","malice","librorum","sweden","transubstantiation","disloyall","attendances"
"27","borrower","orthodox","hereafter","woodhouse","communion","vernalibus","discourse","auncients","delightfull","acted"
"28","prayers","publishing","flesh","dade","wansted","noui","exposition","iethro","wonderfull","citizens"
"29","corrected","deare","defender","allestree","pemble","mansfield","breda","freemen","come","fathers"
"30","gospel","deliuery","commanding","generally","sermon","continvation","andrews","soliloquie","gabor","meditations"
"31","characters","coast","repaire","browne","doctrine","bethlem","elsewhere","acquittance","countries","happinesse"
"32","applied","i.b","hiberniæ","vaux","faithfull","imperialists","spaine","checke","number","sicknes"
"33","gaine","authour","scotiæ","citie","gospell","orange","gabor","curiositie","fortune","boroughs"
"34","prynne","inuention","lent","1630","vvhite","sauoy","mansfield","safest","iigge","tho"
"35","buyer","compiled","obserued","white","growne","designatio","thomas","isacc","beloued","ports"
"36","vses","times","greeke","deg","preacher","emendatiores","last","bargraue","wonders","chiefest"
"37","beasts","falling","better","1628","chapter","breda","divers","dering","irlande","15th"
"38","hospitij","profit","suppressing","computation","penned","grisons","giuen","heertofore","noblesse","drayton"
"39","seller","kind","preuenting","london","popish","terrible","spinola","conceiued","citoyen","scholers"
"40","rector","fitted","mariners","south","shelford","shertogenbosh","conceited","all-honourable","news","wrought"
"41","questions","subiect","corne","city","gee","ouerthrow","proceedings","all-noble","hood","reduction"
"42","arithmetique","fleete","franciæ","brittaine","magdalen","armies","germany","wormleighton","stories","expostulations"
"43","faith","going","ireland","seruing","oxford-shire","gabor","princes","receite","tester","directing"
"44","h.b","fire","almighty","1629","vincent","sonday","preparations","expurgatorii","beggery","formerly"
"45","merchant","continuance","reigne","1625","sture","universalis","marquesse","parchments","dano","knight"
"46","gaule","motiues","maiestie","1621","knight-hood","consumed","lately","noteth","sphæricall","loue"
"47","douer","chiefe","importation","new","successions","sweden","brought","expurgatorij","triangle","dedicated"
"48","stratagems","nouember","fish-dayes","notes","apparell","catalogus","continvation","manuscripts","thiefe","seconded"
"49","plainly","holland","furnishing","gilden","lotts","banbury","madrid","albertus","wherewith","preached"
"50","1630","therein","graine","well-willer","sheriffes","carried","emperour","magnus","harcourt","englands"
"51","diuinity","plaine","old","indifferently","tantùm","burne","rome","natiuities","mannour","house"
"52","deliuered","nevv","louing","famous","versiculorum","kilnehouses","siege","romanae","darley","prayers"
"53","kent","hollanders","repayre","sofford","magistri","out-houses","gone","historiae","wickednesse","vvritten"
"54","16blank","occurrences","transportation","eleuated","throne","660","proue","dog","pauin","burgesses"
"55","indices","lastly","disorderly","sensible","inquirie","bayes","crashaw","vvar","forests","description"
"56","pointing","reasons","victuals","neue","twentith","malt","mayde","trauels","chases","iohn"
"57","s.s","common","bee","psalmes","affliction","amounted","empire","curre","robbin","iovrnall"
"58","iesuiticall","countrey","parliament","forraigne","pelagius","towne","illustrious","round-woolstaple","good-fellow","drowned"
"59","rope","diuine","priuie","reckoned","psalme","happened","moment","slippery","offence","releeue"
"60","girle","especially","holy","aspects","peter","relating","holland","youthfull","young-man","knife"
"61","chapplaine","vp","execution","rudston","memoriall","exhibited","henry","spent","medley","murdered"
"62","cozens","taking","shipping","third","richard","savoy","parson","rogue","meddow","echlini"
"63","markhams","necessary","exportation","honorable","iohnson","vnmasked","wounded","guzman","brow","carolum"
"64","gervas","forth","recusants","mounted","penitent","auctiores","bloody","alfarache","all-alone","dolor"
"65","friderici","spanish","grace","worlds","catholique","prodierunt","study","matheo","louer","drinking"
"66","abbott","1623","angliæ","1627","feb","permit","conteined","aleman","departed","pledging"
"67","moneys","excellent","lo","great-britaine","christ","mansfields","letter","sevill","complaint","historians"
"68","husbanding","collected","law","erasmi","aldermen","christendome","directed","dorothy","west","imbattailing"
"69","moralitie","oxford","orders","priuilegio","vvolfe","siege","record","leigh","prague","forming"
"70","thankefull","towne","scotland","sternhold","hillarie","spanish","rod","glorying","bethelem","plantarum"
"71","1605","vse","aswell","1623","deliuer","space","bethlem","villifie","dutch","strelley"
"72","10.8.7.6","prognostication","regni","perkins","taxed","autumnalibus","betwixt","disgrace","fearefull","guildhall"
"73","helpefull","certaine","followeth","eclipses","hetheringtonian","vvolfe","particular","pretend","vienna","barren"
"74","maries","time","munition","einer","reuerend","hillarie","italy","greateste","thee","tree"
"75","sermon","sermons","bottomes","yere","weake","deliuer","sent","reuerence","strange","vvoe"
"76","vse","relation","saltpeter","philomath","secrets","taxed","fight","guilty","john","tillage"
"77","piety","good","ordering","meeter","priests","hetheringtonian","hall","vpbraide","spare","sylua"
"78","originally","true","touching","southerne","spirit","proceeding","grisons","hecatontades","cuckold","syluarum"
"79","servants","preached","buildings","euening","vvorthy","spaine","affaires","medulla","feet","samvel"
"80","principis","new","souereigne","directions","practices","sent","particulars","sacris","langhorne","dedication"
"81","treasurers","demosthenes","declare","parts","margretts","brunswicke","vp","literis","swaine","pharisies"
"82","coine","macedon","declaring","redemption","new-fish-streete","fury","chamber","interpretibus","incouraging","blazing"
"83","measure","athens","original","1626","sancti","pounds","strange","extracta","simon","torch"
"84","commander","faithfvlly","regis","mathematickes","albani","sector","happened","amesium","flying","tassos"
"85","mercer","sidemen","infected","errour","holy","studious","brunswicke","illustri","earle","aminta"
"86","grounds","starre","fish","rectified","sonday","103","mansfields","frisiorum","evrope","infortunate"
"87","heauenly","conjunction","nauie","artick","tearme","saints","reade","franekeræ","affaires","mahomet"
"88","excellencie","narne","weale","hopkins","katherine","italy","imperialists","veritate","betwixt","arabicke"
"89","friday-street","dysert","people","vice","oxford","meeting","supper","seauenteenth","emperours","red-crosse"
"90","peece","commissariship","throughout","sublimity","fathers","gouge","nevves","pentioners","married","re-married"
"91","else","presentments","gunpowder","1622","essex","tilly","full","fugitiues","ilands","reynolds"
"92","synagogue","peculiar","erle","monarchie","sermons","besides","occurrents","iesuitrices","murther","iohnsons"
"93","outward","plurisie","viij","auncient","carlile","venice","courts","emanuell","indies","trienniall"
"94","sauing","sorrovv","administration","eleuation","mountagu","marquis","accidents","donia","bonny","nero"
"95","william","eye-veine","remedying","mathematicks","permit","france","seuerall","drayning","delectable","peeres"
"96","profitable","hogson","inmates","almost","dedham","ovr","manner","fennes","brief","blacke-friers"
"97","word","mag","westminster","honourable","sedan","tou","april","surrounded","griefe","vvard"
"98","yn","discussion","vvhite-hall","apart","sections","lyons","warre","huntington","gentlewoman","vvas"
"99","preacher","transubstantiation","commission","tend","stiled","calebo","application","lacked","high","authority"
"100","gods","auncients","gracious","corrupting","vniust","dalechampio","genesis","raleigh","mansfield","manifestly"
