"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","sweden","king","king","king","proclamation","king","proclamation","new"
"2","iohn","proclamation","new","proclamation","maiesties","new","maiesties","great"
"3","prognostication","sweden","great","sweden","prognostication","great","new","god"
"4","numb","numb","god","numb","diligently","god","bible","iohn"
"5","almanacke","continuation","iohn","continuation","compared","iohn","compared","lord"
"6","continuation","duke","lord","almanacke","almanacke","lord","diligently","preached"
"7","famous","avisoes","preached","newes","translations","preached","translations","proclamation"
"8","meridian","maiesties","proclamation","prognostication","meridian","proclamation","prognostication","church"
"9","since","taking","church","leape","tongues","church","testament","london"
"10","duke","divers","sermon","meridian","bible","london","reuised","sermon"
"11","particulars","passages","together","avisoes","commandement","sermon","originall","together"
"12","newes","lately","english","commandement","leape","together","commandement","english"
"13","leape","army","maiesties","bible","lord","english","tongues","maiesties"
"14","great","since","containing","testament","holy","maiesties","lord","containing"
"15","pleasant","particulars","gods","bissextile","new","containing","almanacke","gods"
"16","sermons","newes","true","compared","calculated","gods","pole","true"
"17","true","old","sweden","pole","former","true","serue","sweden"
"18","bissextile","former","concerning","diligently","testament","sweden","1628","present"
"19","amongst","diligently","since","translations","reuised","present","appointed","concerning"
"20","calculated","translations","sermons","containing","bissextile","concerning","newly","since"
"21","collected","testament","parts","parts","appointed","since","euery","sermons"
"22","avisoes","present","word","imperialists","serue","sermons","old","parts"
"23","passages","compared","french","weekely","britaine","parts","meridian","word"
"24","gent","prince","england","tongues","originall","word","holy","french"
"25","william","proceedings","good","taking","pole","french","bissextile","kings"
"26","relation","kings","last","concerning","london","kings","referred","england"
"27","forth","concerning","preacher","latitude","subiects","england","leape","good"
"28","betwixt","speciall","death","originall","churches","good","calculated","last"
"29","serue","imperialists","minister","britaine","dade","last","god","preacher"
"30","prince","states","christian","following","speciall","preacher","latitude","death"
"31","life","generall","prognostication","since","honourable","death","longitude","minister"
"32","death","originall","numb","forraine","woodhouse","minister","speciall","christian"
"33","arts","weekely","set","serue","prohibiting","christian","plague","prognostication"
"34","army","following","lately","churches","king","prognostication","knight","generall"
"35","thomas","commandement","almanacke","particulars","psalmes","generall","realme","numb"
"36","matters","letters","holy","conteining","white","numb","horizon","set"
"37","pole","preparation","master","former","god","set","1625","lately"
"38","city","tongues","speciall","citie","especially","lately","arts","almanacke"
"39","1635","reuised","christ","present","1633","almanacke","read","holy"
"40","1629","amongst","duke","amongst","faction","holy","degrees","master"
"41","sir","tilly","oxford","speciall","read","master","london","speciall"
"42","good","appointed","continuation","army","1634","speciall","pleasure","christ"
"43","exposition","conteining","william","bavaria","creation","christ","ancient","king"
"44","added","court","famous","reuised","whereas","duke","honourable","duke"
"45","imperialists","french","newly","god","indifferently","oxford","1626","oxford"
"46","towne","sent","meridian","emperour","priuie","continuation","ordering","continuation"
"47","word","newly","life","besides","defender","william","1631","william"
"48","divers","beene","time","1627","newly","famous","former","famous"
"49","christian","bavaria","sundry","letter","articke","newly","within","newly"
"50","ancient","forraine","right","creation","citie","meridian","churches","meridian"
"51","composed","emperour","man","given","confuted","life","authors","life"
"52","master","majesties","city","tilly","disease","time","generally","time"
"53","treatise","something","whole","longitude","execution","sundry","articke","sundry"
"54","weekely","bohemia","former","great","old","right","body","right"
"55","oxford","continvation","taking","betwixt","nevv","man","iames","man"
"56","preached","come","citie","passages","ireland","city","called","city"
"57","man","letter","colledge","articke","allestree","whole","houses","whole"
"58","emperour","germany","places","whole","1628","former","sauiour","former"
"59","besides","warlike","booke","minutes","philomath","taking","young","taking"
"60","1631","successe","certaine","properly","southerne","citie","properly","citie"
"61","young","nevv","state","horizon","latitude","colledge","counsell","colledge"
"62","done","man","divers","france","computation","places","whereas","places"
"63","world","swedish","ancient","townes","commission","booke","sundry","booke"
"64","given","finde","pleasant","matters","referred","certaine","britaine","certaine"
"65","robert","silesia","treatise","appointed","honorable","state","prohibiting","state"
"66","manner","ships","particulars","referred","aboue","divers","bee","divers"
"67","taking","vp","newes","aboue","horizon","ancient","composed","ancient"
"68","september","execution","arts","perkins","degrees","pleasant","seruing","pleasant"
"69","generally","better","severall","newly","touching","treatise","children","treatise"
"70","deliuered","forces","old","computation","longitude","particulars","perkins","particulars"
"71","rector","siege","thomas","bohemia","daniel","newes","allestree","newes"
"72","table","low","collected","continvation","within","arts","sofford","arts"
"73","fellow","brother","lords","calculated","monarchie","severall","captaine","severall"
"74","1630","townes","leape","swedish","1627","according","pleasant","according"
"75","severall","read","passages","silesia","deg","old","mathematickes","old"
"76","spanish","count","court","proceeding","eleuated","thomas","lent","thomas"
"77","1634","prohibiting","third","degrees","stephen","collected","better","collected"
"78","diuers","merry","necessary","prince","restraint","lords","charles","lords"
"79","together","spanish","relation","moment","faith","leape","ireland","leape"
"80","latitude","august","forth","places","behold","passages","lawes","passages"
"81","neere","done","added","others","hereafter","court","neue","court"
"82","gentleman","command","serue","throughout","royall","third","flesh","third"
"83","set","imperiall","prince","overthrow","city","necessary","set","necessary"
"84","english","actions","britaine","forces","vaux","relation","county","relation"
"85","euery","henry","diuers","pappenheym","repaire","forth","reuerend","forth"
"86","french","given","france","dade","directions","added","john","added"
"87","forces","containing","learned","lord","england","serue","vaux","serue"
"88","whole","betwixt","vse","duke","corne","prince","statutes","prince"
"89","description","maiestie","called","preston","notes","britaine","iohn","britaine"
"90","godly","pleasant","bissextile","prohibiting","preuenting","diuers","subiects","diuers"
"91","history","loue","taken","woodhouse","dressing","france","ballad","france"
"92","third","desire","grace","rectified","leap-yeare","learned","norwich","learned"
"93","meditations","maiesty","amongst","something","obserued","vse","sacraments","vse"
"94","gods","spaine","honourable","saints","1629","called","true","called"
"95","degrees","october","doctor","denmarke","generally","bissextile","minutes","bissextile"
"96","sermon","proceeding","calculated","allestree","better","excellent","gathered","excellent"
"97","letter","buckingham","faith","sofford","handled","taken","enlarged","taken"
"98","merry","declaring","robert","receiued","brittaine","grace","sermon","grace"
"99","preparation","note","prayer","saxon","denison","amongst","denison","amongst"
"100","memorable","declaration","avisoes","neare","yeeres","honourable","knights","honourable"
