"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","proclamation","prognostication","clearks","ballad","sweden","coronis","sweden","autumnalibus"
"2","king","almanacke","bill","acted","bonny","collationem","numb","i.c"
"3","diligently","meridian","ending","presented","duke","hagiensem","continuation","comitis"
"4","compared","leape","report","ditty","cases","pastorum","newes","nundinis"
"5","maiesties","bissextile","december","excellent","sussex","hollandiæ","taking","marmora"
"6","translations","pole","company","vnfortunate","continuation","articulos","avisoes","arundelliana"
"7","testament","serue","parish","diuines","expositions","divinâ","since","saxa"
"8","commandement","calculated","1629","iosephus","witty","prædestinatione","weekely","græcè"
"9","tongues","britaine","maiestie","daintie","mirth","capitibus","army","incisa"
"10","originall","latitude","excellent","young","numb","adnexis","particulars","venerandis"
"11","reuised","lord","according","pleasant","avisoes","producta","amongst","priscæ"
"12","former","god","generall","vvritten","writers","exceptionibus","imperialists","orientis"
"13","appointed","referred","kings","sentences","exceter","vindicantur","passages","gloriæ"
"14","bible","longitude","present","stay","vvho","amesio","emperour","ruderibus"
"15","speciall","creation","london","loue","mayde","argumenta","forraine","impensis"
"16","newly","horizon","waste","applause","divers","guilielmo","present","herois"
"17","holy","articke","vvhitehall","records","yn","auctore","prince","illustriss"
"18","prohibiting","degrees","strode","triumphs","gospell","remonstrantium","duke","arundelliæ"
"19","old","london","fees","shirley","particulars","quinque","states","marescalli"
"20","read","allestree","exacted","man","wonderfull","waste","tilly","pridèm"
"21","churches","1628","elizabethæ","george","desire","vvhitehall","forces","vindicata"
"22","subiects","properly","appello","know","prayers","strode","following","ædibus"
"23","restraint","minutes","assembling","gentrie","since","fees","bohemia","hortisque"
"24","better","generally","dclaration","heyvvood","capacity","exacted","bavaria","cognominibus"
"25","dressing","vaux","traynings","ranges","resolve","elizabethæ","given","thamesis"
"26","preuenting","aboue","borrowing","pageants","representing","appello","townes","ripam"
"27","euill","deg","quickning","blaxton","hereby","assembling","preston","accedunt"
"28","importation","sofford","sturdy","osmington","cares","dclaration","conteining","inscriptiones"
"29","repaire","new","discharged","dorcet-shire","burton","traynings","continvation","veteris"
"30","commission","citie","consumption","trauell","marryed","borrowing","proceeding","latij"
"31","nevv","ancient","bullion","foote","willoughby","quickning","silesia","locupletissimo"
"32","abuses","1627","deceitfull","tragedy","matters","sturdy","swedish","vetustatis"
"33","execution","1629","silver","knight","meanes","discharged","betwixt","thesauro"
"34","lent","psalmes","threed","seuerall","remedies","consumption","shertogenbosh","auctariolum"
"35","priuie","computation","kiug","seruants","heauenly","bullion","generall","aliundè"
"36","tobacco","dade","presently","honorable","woman","deceitfull","letter","sumtum"
"37","commanding","eleuated","affixed","drury-lane","table","silver","emmanuel","publicauit"
"38","trade","honourable","iurisdiction","right","discourse","threed","count","commentariolos"
"39","transportation","1630","insolent","motions","betwixt","kiug","ordinary","adiecit"
"40","maiestie","woodhouse","riots","fortune","imperialists","presently","orange","ioannes"
"41","whereas","perkins","fleetstreet","court","theologiæ","affixed","siege","seldenus"
"42","realme","third","instant","iames","fitly","iurisdiction","covenant","mdcxxviii"
"43","hereafter","1631","ratified","courtier","mayer","insolent","empire","selectæ"
"44","ordering","ranger","interruption","dom","broome","riots","divinity","successionibus"
"45","eating","leap-yeare","amitie","condemned","vvife","fleetstreet","defeat","bona"
"46","fish-dayes","almanack","unordered","history","went","instant","warlike","defuncti"
"47","restraine","seruing","universalis","minde","gaine","ratified","matters","hæreditario"
"48","corne","1626","vvoolles","sole","henry","interruption","saxon","ebræorum"
"49","suppressing","artick","vvool-fels","vncurrant","merry","amitie","low-countries","florente"
