"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","parliament","assembled","parliament","parliament","lord","sir","parliament","parliament","parliament","assembled","preached","commons"
"2","ordered","house","commons","assembled","severall","ordered","assembled","commons","assembled","ordinance","sermon","parliament"
"3","die","lord","lords","house","die","letter","commons","ordered","forthwith","lords","god","assembled"
"4","forthwith","sir","assembled","sir","god","declaration","england","lords","die","commons","minister","sir"
"5","generall","england","house","england","forces","together","preached","die","commons","sermon","christ","lords"
"6","ordinance","ordered","london","ordered","together","great","minister","forthwith","ordered","1643","word","concerning"
"7","sent","together","sir","majesties","scotland","true","kingdom","assembled","lords","cler","church","cler"
"8","ireland","true","england","declaration","true","sent","ordered","cler","ordinance","preached","new","forthwith"
"9","letter","forthwith","ordered","together","parliament","houses","1641","1642","cler","parliamentorum","set","order"
"10","cler","order","majesties","great","thomas","cler","letters","houses","declaration","ordinances","gods","die"
"11","com","severall","letter","true","last","forthwith","gods","sir","act","b.d","sermons","ordinance"
"12","1642","1642","declaration","sent","william","severall","majesties","declaration","parl","elsynge","truth","john"
"13","lords","king","together","houses","sermon","1642","honorable","sent","elsynge","minister","1641","kingdome"
"14","parl","die","great","cler","christ","die","english","ordinance","com","brown","preacher","honourable"
"15","assembled","ordinance","true","forthwith","act","ordinance","humble","parl","majesties","assembly","christian","excellency"
"16","relation","john","houses","severall","new","john","others","taken","hen","ordered","conscience","prisoners"
"17","proceedings","kingdome","cler","1642","preached","relation","committee","ireland","scobell","right","spirit","1643"
"18","declaration","relation","forthwith","king","minister","honourable","persons","brown","cleric","forthwith","famous","answer"
"19","lord","honourable","severall","die","ordinance","answer","elsynge","parliamentorum","concerning","christ","holy","march"
"20","last","answer","1642","ordinance","john","ireland","ministers","cleric","army","prognostication","divine","churches"
"21","concerning","ireland","die","kingdome","iohn","city","declaration","petition","martis","church","divinity","covenant"
"22","taken","city","ordinance","relation","command","kings","touching","majesties","forces","die","meridian","maiesties"
"23","england","army","john","honourable","high","god","word","letter","sir","solemn","treatise","parts"
"24","elsynge","god","kingdome","answer","honorable","county","taking","act","houses","1645","saints","city"
"25","hen","county","relation","ireland","ordered","church","commissioners","city","veneris","meridian","book","read"
"26","counties","church","honourable","city","humble","present","forth","prisoners","brown","fast","faith","1645"
"27","message","present","answer","army","committee","parl","delivered","1641","parliamenti","1644","gospel","army"
"28","people","parl","ireland","kings","persons","forces","westminster","martis","parliamentorum","league","imprimatur","1647"
"29","prince","forces","city","god","treaty","petition","times","parliamenti","counties","covenant","discourse","house"
"30","thomas","right","army","county","desire","right","manner","veneris","kingdom","arts","times","souldiers"
"31","sir","generall","kings","church","ammunition","taken","set","great","message","gods","scripture","state"
"32","speech","taken","god","parl","elsynge","commons","fairfax","browne","horse","com","revised","wales"
"33","maiesties","according","county","forces","cambridge","presented","whole","com","lunæ","joh","arts","truth"
"34","souldiers","presented","church","petition","scripture","scotland","parliaments","votes","commissioners","excise","almanack","power"
"35","wales","scotland","present","right","jesus","majesty","essex","county","letter","almanacke","hand","lately"
"36","castle","peace","parl","generall","dominion","divers","assembly","scobell","fairfax","divinity","prognostication","parliamentorum"
"37","kingdom","thomas","forces","taken","letter","peace","rebels","army","scotland","reverend","john","god"
"38","parliamentorum","last","petition","presented","necessary","com","propositions","manner","wales","god","pastor","imprimatur"
"39","answer","william","right","scotland","ships","thomas","authority","earle","raising","almanack","gent","yorke"
"40","1641","sermon","generall","majesty","therein","last","counties","militia","ordinances","bissextile","learned","1649"
"41","yorke","christ","taken","divers","publique","william","message","ships","king","edition","sometimes","robert"
"42","1649","proceedings","presented","peace","third","sermon","likewise","hull","prince","divine","1640","1644"
"43","robert","act","majesty","com","faithfull","christ","1648","lord","sent","divines","divines","colonell"
"44","names","commons","divers","last","protestation","proceedings","together","lunæ","taken","preacher","calculated","armes"
"45","oxford","earle","com","william","resolved","act","people","horse","propositions","westminster","baptisme","divines"
"46","together","new","thomas","sermon","sermons","earle","prince","kings","mercurii","honourable","reverend","oxford"
"47","humble","good","last","christ","towne","new","major","slaine","majesty","solemne","arguments","death"
"48","committee","preached","william","proceedings","reformation","good","time","names","letters","rules","psalmes","appointed"
"49","cleric","minister","sermon","act","b.d","preached","excellency","sabbathi","proclamation","margarets","bissextile","charles"
"50","reasons","iohn","christ","earle","touching","minister","prisoners","true","fight","calculated","prayer","divine"
