"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","minister","assembled","shirley","fayre","swainswick","generation","kairō","collings","tinker","act","token","joannis","almanack"
"2","christians","commons","romance","penniworths","franchises","symbol","logoū","norwich","borialis","council","beimg","yn","bissextile"
"3","calamy","parliament","italian","yes","prynne","triumphalis","ecclesiâ","apparelling","newters","scobell","chandlers","magna","meridian"
"4","usefull","die","gent","pharamus","irrefragably","popes","mariæ","apply","jovial","parliamenti","millis","charta","calculated"
"5","table","cler","neve","libido","strenuous","saunders","necessitate","responsoria","bruised","hen","bow-lane","hebrææ","prognostication"
"6","nathanael","lords","acted","vindex","undermined","decrees","hæresium","geometricall","mettle","cleric","elect","erasmi","leap-year"
"7","presidents","ordered","history","hispanica","propugners","readinesse","sclatero","yards","apostate","clerk","personal","oxford","latitude"
"8","principall","forthwith","assembly","tragoedia","legal","state-affairs","eâdem","thickness","well-meaning","highness","lodowick","testamenti","psalmes"
"9","ralph","parl","poems","matilda","patrons","sober-minded","pridèm","spouses","round-heads","forthwith","muggleton","anglicano","sternhold"
"10","exeter","elsynge","scotland","buyes","fundamentall","verdicts","posteà","erratica","holes","ordered","separate","miltoni","planets"
"11","sermon","parliamentorum","roots","barkstead","hops","well-wishers","exonienses","boatman","torne","protector","lower","taylor","ballades"
"12","edm","brown","generally","proclamed","incertain","1623","collomptonenses","monkish","mend","commonwealth","forerunner","fuller","nourishing"
"13","learned","com","black-fryers","white-hall-fayre","spawn","manifestation","nùnc","horri","compelled","quakers","transcendent","necessities","meeter"
"14","choice","1647","englished","hemings","basis","fishstreet-hill","tandèm","revile","hammer","priests","reprobate","scholæ","solace"
"15","preached","ordinance","serve","vvas","midnight","vvarres","vico","los","reasonable","calls","baker","authore","student"
"16","inne","army","baronets","fatal","parliamentary","behm","vulgʿo","flordon","joviall","1650","shop","quæ","pole"
"17","hardy","declaration","edinburgh","con","inchoation","map","vocato","astronomie","maladies","scornfully","lane","una","dade"
"18","watson","letter","originally","tragedy","lordsday","wee","civitate","scale","scots","continuing","clouds","interpretum","hopkins"
"19","commissaires","fairfax","servingman","sedition","frogs","thoughts","comitatu","arithmetically","miserably","spirit","reeve","discourse","creation"
"20","sonds","forces","perpetuate","contract","birthright","work","regalis","fainting","crowne","manifest","eternal","b.d","corrupting"
"21","law","sir","coker","applause","egyptian","matth","petrum","dials","adherents","truth","witness","versione","bible"
"22","especially","taken","h.c","davenport","advowsons","institutions","londinensi","norvvich","guard","collier","speak","defensio","leap"
