"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","culpeper","tended","bared","pens","act","preached","proclamation","ballad","sufferers","called","neve"
"2","abdiah","dogmatical","razed","cocker","parliament","sermon","king","robin","mirrour","people","articke"
"3","cole","marchamont","idolotry","flourishes","17th","minister","majesties","pleasant","swanlike-songs","god","elevation"
"4","nich","pragmaticus","jeroboams","distilld","september","church","commons","hood","petrie","light","britaine"
"5","physick","rigid","departs","limbeck","begun","reverend","act","song","stake","truth","moone"
"6","fernelius","covenanters","demons","intricacies","ordered","almanack","prohibiting","maid","exiles","spirit","gregorian"
"7","astrologer","inconsistency","principle","unimagined","forthwith","rector","wines","merry","sixteenth","forth","computation"
"8","physitian","nedham","overturned","inke","1656","discourse","prorogued","ditty","confessors","testimony","double"
"9","nye","scotish","denies","transcendencie","clerk","bishop","gracious","new","vvitnesses","quakers","noted"
"10","sydrach","designes","als","engraven","nicholas","sermons","assembled","wife","suffering","seed","kalender"
"11","gout","presbyter","language","gethings","westminster","john","house","pretty","dress","rulers","quarters"
"12","physitians","mercurius","attendance","exemplars","1659","m.a","tonnage","lady","disposed","given","rectified"
"13","herbs","compiled","j.w","attainment","dom","bissextile","die","northern","prisons","false","conventien"
"14","sennertus","ruine","strongest","invented","highness","right","subsidy","gallant","cloud","priests","ergon"
"15","liberal","verse","prefixt","brain","assessment","cases","rates","lamentable","speeches","earth","pseudous"
"16","doctor","rebellion","debate","teacheth","forest","honourable","preventing","fortune","evinced","come","misthos"
"17","library","monarchy","leads","labyrinth","declaration","tables","poundage","news","exemplified","see","disappointment"
"18","diseases","extant","delusions","copy-book","protector","calculated","speech","brave","eusebius","manifest","raynardson"
"19","chapters","dangerous","antichrists","knots","thursday","meridian","disbanding","dialogue","wards","name","julian"
"20","padua","english","shewed","writing","tuesday","gent","oblivion","maids","century","teachers","penned"
"21","ruland","character","pretend","faire","committee","english","decimo","example","t.m","apostles","pole"
"22","sennert","formerly","best","atturney","thousand","leap-year","chancellors","joy","worst","sake","serving"
"23","unbelief","articles","hold","adorned","moneths","exact","jessop","dainty","prescribed","g.f","alētheias"
"24","exceeding","narrative","worse","practitioner","pounds","added","veneris","sunk","offer","warning","smalwood"
"25","philip","kingdom","godliness","height","setling","gospel","restraint","hoods","farther","love","annually"
"26","cambridg","short","lye","redivivus","council","collected","parliament","fair","bar","power","recompence"
"27","bridge","history","allowed","master-piece","1653","french","reign","flying","alphabetically","true","new-fish-street"
"28","riverius","faith","lancaster","accomplished","fleet","sundry","indempnity","delight","preparation","answer","1662"
"29","w.r","added","additional","hands","chase","preacher","importation","lovers","martyrs","queries","practised"
"30","goodwin","church","growth","mode","strange","ordinary","menial","dulcina","histories","declared","generally"
"31","thirteen","true","lastly","releases","several","treatise","16th","strange","clark","fox","norwich"
"32","nineteen","manuals","hereunto","chain","wednesday","fellow","payable","relation","fuller","found","change"
"33","shewed","circulation","castle","vvork","scotland","pauls","cashiered","love","glass","darkness","accompt"
"34","books","chyle","rise","pauls","excise","london","diligently","fame","help","world","eclipses"
"35","health","walaeus","secret","containing","number","county","1660","young","dying","professors","exactly"
"36","colledg","1593","mentioned","invention","acts","b.d","translations","death","prayers","christ","saviour"
"37","culpepers","1.19","foundation","receipt","ireland","chaplain","protections","jest","treatises","calls","forraigne"
"38","courage","isai","compared","directions","munday","pastor","current","stranger","death","innocent","1661"
"39","christ","53.11","papists","south","order","publick","pardon","married","fox","tender","prognostication"
"40","bartholinus","lifting","dangerous","copies","domini","private","next","mistris","ecclesiastical","fruits","forraign"
"41","platerus","down-cast","mystery","dwelling","scobell","solemn","seventy","daughter","clearly","believe","serve"
"42","infirmity","42.11","give","curious","adjacent","learned","pounds","live","necessity","slanders","leap-year"
"43","sterry","choller","prophets","conduct","appointing","nature","depart","wanton","samuel","sufferings","ancient"
