"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"1","proclamation","marquis","torrington","common-prayer-book","entrust","edifie","karoloū","britannick","visitation","tended","ovidii","strongest","love","almanack"
"2","king","archibald","potheridge","powell","commix","offerings","trismegistoū","ri","prophesie","dogmatical","nasonis","bared","maid","leap-year"
"3","act","argyle","monck","main","impossible","wisdome","epiphania","diatribe","church-wardens","marchamont","doctissimorum","razed","young","bissextile"
"4","majesties","confinement","captain-general","tsofer","petigree","received","constellation","fide","diocese","pragmaticus","castigatioibus","idolotry","song","english"
"5","prohibiting","instructions","privy-counsel","cage","breeding","meekness","pleiades","rationali","enquired","inconsistency","edita","jeroboams","pleasant","calculated"
"6","parliament","time","orator","chirping","portraictures","flesh","waine","salutari","ayres","nedham","accuratissimis","denies","wife","john"
"7","diligently","confoederationis","albemarle","consorts","philanax","build","brightly","subnexa","bona","scotish","virorum","departs","come","meridian"
"8","translations","potentissimum","duci","hereto","draught","belief","transcending","voluntate","side-men","rigid","metamorphosis","demons","hood","physick"
"9","tongues","principem","comiti","restriction","delineating","dealings","designment","ultimo","articles","covenanters","emendata","als","loves","eclipses"
"10","gracious","celsos","baroni","calumniation","theorems","overspread","universe","dictamine","primary","designes","lucem","pretend","ballad","creation"
"11","wines","præpotentes","generali","adversaries","t.b","banisheth","starre","intellectûs","within","presbyter","confoederationis","principle","maids","prognostication"
"12","reign","dominos","consiliis","vava","anglicus","entertains","shining","liberatâ","catch","mercurius","potentissimum","antichrists","bad","viz"
"13","bible","ordines","secretioribus","common-prayer-books","perfectly","heaps","exaltation","brevissima","reverend","monarchy","principem","overturned","jenny","tables"
"14","importation","generales","ordinis","lord-bishops","integrity","defiled","greatnesse","amicorum","exhibited","ruine","celsos","leads","daughter","duke"
"15","alliance","fæderati","periscelidis","disparity","prelates","sacifices","usher","permisit","parish","compiled","præpotentes","delusions","ditty","collected"
"16","prorogued","belgii","equiti","vavasor","protestants","lambes","presaging","watson","episcopal","dangerous","dominos","prefixt","hear","amplified"
"17","compared","mensis","epitaphium","consolatory","governments","greetings","potent","epistolaris","navigation","verse","ordines","language","merry","state"
"18","next","confæderationis","anglia","pilgrimage","predecessors","preist","hero","typis","father","rebellion","generales","worse","lovers","latitude"
"19","revised","serenissimos","nobilissimi","diocesan","caueat","betray","ordained","legitimate","gnomonical","character","fæderati","attendance","lady","astrological"
"20","speech","potentissimos","aureæ","titus","predecessours","freinds","noon","exemption","ministers","english","belgii","j.w","turn","observations"
"21","requiring","principes","georgio","welsh","vnion","obtaine","highest","patriarchate","enquiry","formerly","mensis","shewed","gallant","planets"
"22","houses","fridericum","rege","propagation","vndone","obtaines","mathew","basier","bishop","extant","confæderationis","lye","gospel","astrology"
"23","defender","daniæ","claustrum","forming","persuasive","concerning","armagh","catholico-romanus","winchester","articles","serenissimos","lancaster","mother","physical"
"24","command","norwegiæ","regale","liturgies","floras","receiving","star","pacificus","musicks","narrative","potentissimos","hold","fair","society"
"25","concluded","hæreditarium","reseratum","bird","vagaries","outward","except","barnes","peeces","kingdom","principes","foundation","soul","gallen"
"26","former","tertio","kinges","lamentations","servants","adam","monarch","benedict","matthevv","short","fridericum","allowed","minister","yorks"
"27","twentieth","mensi","concealment","singing","suffer","patience","celestial","inquisition","lengths","faith","daniæ","best","dialogue","several"
"28","appointed","februarii","a.w","imposing","doctors","follows","eighteen","selected","bobbin","history","norwegiæ","godliness","farewel","culpeper"
"29","testament","manufacturers","brevall","anatomized","respective","darkness","appearing","roman","endeavoured","added","hæreditarium","prophets","sweet","aspects"
"30","franciæ","wine-licences","du-moulin","objections","prodigious","covered","appeared","gratiâ","pierce","church","tertio","debate","robin","quality"
"31","hiberniæ","section","arran","answered","presbyterians","sought","edw","una","pricke","true","mensi","rise","pretty","woodhouse"
"32","thirteenth","folding","lauderdale","timothy","lestrange","deer","nativity","gratiam","right","confoederationis","februarii","additional","sinner","abdiah"
"33","16th","woolls","privata","metre","acted","sets","temple","londinensis","whitehall","potentissimum","manufacturers","growth","mind","fellow"
"34","mighty","gravesend","boni","afflicted","roger","meek","middle","manuscript","ecclesiastical","principem","wine-licences","mentioned","play-house","list"
"35","decimo","canaria-islands","theologi","comets","monarchy","tendered","primate","priviledges","impartial","celsos","section","mystery","lass","mathematicks"
"36","transportation","iulii","speciatim","epistle","unmasking","temptation","europe","dissertatio","mathematical","præpotentes","folding","castle","man","courts"
"37","charles","parliament-house","concionatoris","arguments","impostor","seed","miraculous","isaac","casaubon","dominos","woolls","papists","example","1662"
"38","thence","messages","practici","affliction","comportment","runs","redemption","discoursed","bank","ordines","gravesend","people","mans","books"
"39","newly","reciting","præcipuas","diverse","egress","fall","humane","positions","serjeants","generales","canaria-islands","lastly","pound","julian"
"40","17th","starch","canditatis","heavens","yonge","earth","wars","vulgar","educated","fæderati","iulii","dangerous","live","learned"
"41","commerce","commanders","quotidie","bepaḥ","hacket","envy","justification","charls","griffith","belgii","parliament-house","hereunto","go","whole"
"42","united","prize-goods","recitanda","affirmatively","chesthunt","flock","=","instruction","variation","mensis","messages","discovering","took","honourable"
"43","restraint","vagabonds","south","negatively","rivals","infinite","birth","liberty","meric","confæderationis","reciting","quakers","country","government"
"44","cashiered","disorderly","secundo","doderidges","highnes","inflicted","conversion","chapters","placing","serenissimos","starch","secret","still","city"
"45","scotiæ","coals","carolo","church-livings","marcelia","people","charles","living","justices","potentissimos","commanders","give","gods","untill"
"46","february","christ-church-hall","garter","readings","tragicomedy","cruel","saviour","church","roy","principes","prize-goods","evil","constant","1668"
"47","18th","co","chancellor","new-inne","boothby","race","glorious","entituled","musick","fridericum","vagabonds","light","delight","gent"
"48","granting","mandement","oxford","bepah","licencd","oppositions","oxford","britain","use","daniæ","disorderly","compared","last","student"
"49","fee-farm","kings-evil","harangue","erpingham","ruins","w.s","princes","asserted","domini","norwegiæ","coals","false","sinners","highness"
"50","articles","traiterous","altesse","fire-ball","comedy","offering","soveraign","chaplain","george","hæreditarium","christ-church-hall","occasion","coy","french"
"51","grace","bartholomew","excercituum","church-wall","practices","drinking","mighty","ordinary","chevalier","tertio","co","friends","good","usefull"
"52","lords","sturbridge","lambeth-chappel","hungerford","sort","hearted","sun","ancient","barrt","mensi","mandement","desire","new","discourse"
"53","serene","spreading","fulk","wiltshire","dead","seat","memory","four","mesme","februarii","kings-evil","doctrine","heart","consequence"
"54","prorogation","commodity","grevill","loimologia","principles","heed","blessed","order","wylde","manufacturers","traiterous","whose","poor","cole"
"55","depart","estuaries","brooke","mikrokosmographia","compendious","try","choice","majesty","orphans","wine-licences","bartholomew","benefit","death","coast"
"56","states","inlets","interrment","anatomizing","hands","sustained","god","concerning","christ-hospital","section","sturbridge","appendix","came","configurations"
"57","france","nooks","high-commissioner","berengarius","politick","faith","honour","great","lecturers","folding","spreading","annexed","got","dade"
"58","14th","burglaries","â","carpus","rebells","apostacy","sacred","confoederationis","curates","woolls","commodity","letters","away","interest"
"59","woollen","discoverers","ministerii","bononia","patricks","something","james","potentissimum","bailiffs","gravesend","estuaries","within","wicked","acted"
"60","disbanded","renewing","baron","chirurgeon","treacherous","christendome","sermons","principem","collectors","canaria-islands","inlets","certain","warning","physitians"
"61","continued","vitious","university","etymon","generous","hereof","reverend","celsos","headboroughs","iulii","nooks","discovered","cupid","lunations"
"62","monday","profane","bearing","sherriffs","theatre","unparalleld","father","præpotentes","cithren","parliament-house","burglaries","jesus","phillis","rose"
"63","foreign","quinto","trent","cometis","pretended","christs","never","dominos","corants","messages","discoverers","common","husbands","marked"
"64","moneys","coyned","victorious","obsevations","1669","friends","ireland","ordines","sarabands","reciting","renewing","faith","cupids","tragi-comedy"
"65","adjournment","stamped","exercituum","philomathematichoz","birth","love","divine","generales","jiggs","starch","vitious","called","northern","thrice"
"66","netherlands","barwick","gazette","jeremiah","bloody","read","christian","fæderati","musical","commanders","profane","account","fall","newcastle"
"67","veneris","tweed","dramatick","consolation","licensed","faithful","manner","belgii","querer","prize-goods","quinto","religion","home","german"
"68","menial","inlargement","=","measure","convocation","israel","bishop","mensis","esperanza","vagabonds","coyned","right","cruel","famous"
"69","chancellors","swedes","queen-mother","preachers","divisions","speed","time","confæderationis","adventura","disorderly","stamped","christ","strife","conjunctions"
"70","proroguing","gothes","countess","professors","scenes","eating","christ","serenissimos","courten","coals","barwick","together","heard","wing"
