"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"1","love","love","love","love","majesties","several","new","proclamation","love","new","new","london","love","new","william"
"2","young","new","pleasant","proclamation","preached","john","several","majesties","lord","king","several","love","man","several","life"
"3","life","young","lovers","time","proclamation","true","john","allowance","god","almanack","john","lord","god","john","use"
"4","world","true","maid","young","church","love","london","bishop","king","proclamation","london","king","leap-year","london","death"
"5","account","pleasant","song","r.p","majesty","lord","love","ireland","england","majesties","true","great","good","true","discourse"
"6","almanack","calculated","come","jenny","sermons","together","lord","king","majesties","relation","love","england","acted","love","young"
"7","leap-year","minister","wife","long","charles","god","together","tables","life","leap-year","lord","william","young","lord","good"
"8","plain","meridian","merry","courts","special","king","king","duke","use","pleasant","together","preached","wife","together","containing"
"9","william","fair","bissextile","maid","command","english","english","r.p","church","1667","god","sermon","sermons","god","account"
"10","forth","maid","gospel","song","almanack","majesties","great","description","death","rules","king","life","calculated","king","concerning"
"11","calculated","song","maids","virgin","concerning","preached","england","sorts","discourse","allowance","english","church","lovers","english","minister"
"12","lovers","creation","proclamation","lass","gospel","sermon","majesties","french","young","minister","great","death","mans","great","christ"
"13","creation","bissextile","allowance","last","honourable","life","william","collected","good","bissextile","england","discourse","bissextile","england","pleasant"
"14","bissextile","proclamation","calculated","come","books","use","preached","navigation","containing","children","majesties","young","world","majesties","city"
"15","pleasant","kind","loves","king","state","death","sermon","lestrange","account","old","william","good","parliament","william","man"
"16","useful","gospel","faithful","bad","john","young","life","dutch","concerning","prognostication","preached","containing","come","preached","thomas"
"17","set","poor","jenny","find","reverend","added","use","letter","minister","worlds","sermon","account","letters","sermon","relation"
"18","directions","maids","young","fair","law","good","church","better","christ","christians","life","concerning","heart","life","present"
"19","acted","lovers","minister","play-house","thomas","containing","death","statutes","pleasant","hear","use","minister","proclamation","use","time"
"20","brief","know","faithfully","sweet","kingdom","concerning","discourse","master","city","statutes","death","christ","allowance","church","gospel"
"21","physick","mans","forth","live","added","minister","young","lovers","world","christian","young","pleasant","since","death","parts"
"22","poor","set","last","laws","england","christ","added","new","present","peace","good","city","jesus","discourse","book"
"23","shewing","heart","r.p","man","discourse","pleasant","good","highness","time","age","containing","man","meridian","young","shewing"
"24","allowance","mind","heart","statutes","sermon","city","containing","court","gospel","poor","account","thomas","fair","added","according"
"25","every","allowance","since","heart","1667","man","account","marriage","right","complaint","concerning","present","know","good","majesty"
"26","wife","wife","kind","took","cases","thomas","concerning","parliament","parts","delight","minister","time","maid","containing","old"
"27","sermon","jenny","meridian","law","king","relation","minister","practice","book","lord","christ","gospel","almanack","account","christian"
"28","meridian","forth","worlds","still","religion","world","christ","quæ","french","town","pleasant","right","maids","concerning","whole"
"29","know","complaint","creation","money","holy","present","pleasant","gallen","shewing","bad","city","french","long","minister","royal"
"30","children","leap-year","worthy","ladies","society","time","city","kings","according","contained","man","shewing","poor","christ","last"
"31","maid","holy","live","compleat","notes","gospel","man","city","majesty","delightful","thomas","majesty","new","pleasant","sermons"
