"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"1","proclamation","statutes","arch-deaconry","almanack","love","mis-understood","maudlin","gospel","prophesied","r.p","blithe","algebraical","ayres","valerii","torrington"
"2","king","courts","flecknoe","leap-year","maid","intimate","summer-time","minister","contradicts","notata","dowesby","facile","lectiones","maximi","potheridge"
"3","majesties","law","quær","bissextile","pleasant","dade","deathbed","baxter","hypocrites.-","marked","obvious","describeing","geometricæ","memorabilium","monck"
"4","parliament","civitat","side-men","calculated","song","importance","wonderfully","stillingfleet","pontoise","controversial","reduced","knowne","square","libri","captain-general"
"5","command","milit","varnishing","meridian","lovers","moderate","noting","sermons","dictionarie","moggies","affirm","discoveryes","voyces","manufacturers","privy-counsel"
"6","act","acted","engraving","creation","allowance","greatly","stretton","christ","idiomes","transprosd","lincolnshire","hydrographicall","amicia","gravesend","albemarle"
"7","translations","pleas","hambleton","prognostication","young","succinctly","satan","gods","ranked","westminster-drollery","plain","hidrographer","barrow","treatie","georgio"
"8","diligently","clerks","connor","list","lass","privilegio","lying","word","alphabeticallie","moggy","debated","compound","playford","illustrous","comiti"
"9","prohibiting","common","painting","serve","new","brittain","bristol","preacher","b:d","theaters","nathaniel","simple","antimony","greate","baroni"
"10","mighty","theatre","etching","lord","maids","forreign","temptations","christians","contributed","jealousies","confirmation","courses","isaaco","defendor","generali"
"11","serene","dukes","limning","woodhouse","jenny","defended","leicester","christian","augmentation","controversie","witches","maritimus","trinitatis","vnited","periscelidis"
"12","alliance","quarter","colouring","eclipses","farewel","discussed","dye","opened","stipends","wedding-day","tract","headlands","sodale","vvorlde","equiti"
"13","concluded","reports","antients","dade","constant","divines","elizabeth","white","livings","rehearsal","elements","quarterly","cantab","barwick","epitaphium"
"14","defender","pleadings","writing","worlds","come","controversies","fear","covenant","parishe","newest","catechisme","tunns","musick","tweed","anglia"
"15","revised","titles","huntington","planets","kind","practices","joy","sinners","parallels","popery","opinion","payable","morland","knitting","secretioribus"
"16","compared","resolutions","stored","dryden","mind","truly","maidens","tobacco","laity","cosmographer","explanation","vulcanos","mainwarings","silk-stockings","ordinis"
"17","commerce","chancery","mountebancks","society","complaint","represented","godly","conversion","geneva","maintaining","witchcraft","fire-vomiting","mainwaring","hillary","aureæ"
"18","tongues","entries","church-wardens","rose","fair","behold","daughter","thomas","lodington","streete","hitherto","remarkables","clement","alarms","duci"
"19","testament","precedents","gregory","aspects","heart","free","merchants","epistle","gamester","moulin","meanest","kirchers","societatis","tumults","nobilissimi"
"20","articles","attorney","variety","honourable","merry","prognostication","worthy","richard","billiards","journey-men","answers","subterraneous","worshipful","conceive","consiliis"
"21","special","mixt","visitation","highness","wife","island","live","closet-prayer","trucks","jealousie","different","exposd","auctore","maiesty","claustrum"
"22","importation","gent","pill","bishop","maidens","friends","delivered","tending","bowls","languages","familiar","admirations","generalia","barnwell","reseratum"
"23","gracious","faithfully","debate","john","country","principles","maid","samuel","chess","tender","question","element","high-dutch","providing","kinges"
"24","bible","statute","mode","royal","hear","certain","relation","justification","games","intituled","capacity","cask-gauging","sailing","salt-peter","concealment"
"25","states","popes","jests","moon","time","1674","god","preached","racing","sands","corrected","distances","pageants","dai","a.w"
"26","netherlands","comedy","friendly","stars","joy","serve","true","janeway","cock-fighting","seller","questions","capes","dialogues","imbezzelld","brevall"
"27","wines","enchiridion","exon","two-fold","tell","gent","manufacturers","unconverted","benefactors","ogilby","extant","bin","regiæ","convoy","du-moulin"
"28","appointed","roma","unchristian","fanaticks","mother","meridian","gravesend","watson","lincoln","revels","grounds","charts","locke","trusty","rege"
"29","charles","cases","hammond","patron","got","calculated","treatie","exposition","grantham","canon","edition","navigators","h.o","entirely","carolo"
"30","prising","abridgment","poetarum","bowker","play-house","leap-year","illustrous","substance","moment","majestys","rector","world","curvarum","cousin","secundo"
"31","former","court","fieni","julian","thee","almanack","greate","friends","archery","capital","m.a","majestie","linearum","representations","="
"32","prevention","matters","fromondi","consequence","loves","state","defendor","children","montelion","century","brief","eruptions","symptomata","aproclamation","baron"
"33","peace","students","prisons","sensible","last","parts","vnited","mat","gentile","raw","useful","harbors","northampton","cordage","garter"
"34","united","placitandi","bartholomew","elevated","ballad","account","vvorlde","holborn","sums","1000","religion","bayes","cardinals","cable-yarn","regale"
"35","rents","w.a","bounce","seth","none","discourse","barwick","brooks","verax","squire","added","rocks","navigation","allome","juif"
"36","treaty","common-pleas","henrietta","referred","digbys","church","tweed","alleine","welby","sea-coasts","discourse","calculation","boyle","mediation","baptisé"
"37","houses","enlarged","kirkman","founder","scotch","william","knitting","spend-thrift","wiltshire","taylors","church","shoals","analysis","tillage","presché"
"38","speech","bench","jester","minutes","true","england","silk-stockings","learning","cards","church","manufacturers","interest","gauging","poll","françoise"
"39","february","clerk","effigies","contained","coy","great","hillary","sins","satyr","buxome","gravesend","rate","solids","granting","breval"
"40","collecting","reigns","josselyn","degrees","care","london","alarms","todington","island","sweet","treatie","vulgar","jordan","vineger","chappelain"
"41","fee-farm","manby","persons","city","took","new","tumults","bedfordshire","riding","person","illustrous","atlas","gnomonical","strengthening","ordinaire"
"42","newly","placita","arch-deacon","authority","women","manufacturers","conceive","secret","phrases","bibliis","greate","ætna","mayor","strong-holds","pasteurs"
