"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","love","christ","several","london","true","new","king","several","john","proclamation","love","church","bissextile"
"2","allowance","true","john","account","licensed","london","new","new","lord","allowance","true","preached","allowance"
"3","true","gospel","true","william","love","england","proclamation","john","account","execution","execution","honourable","proclamation"
"4","pleasant","last","england","love","old","lord","love","true","king","king","young","sermon","meridian"
"5","physick","according","lord","lovers","new","king","song","london","sermon","relation","lovers","majesty","calculated"
"6","lovers","new","king","richard","narrative","english","maids","england","william","love","leap-year","rector","love"
"7","forth","ordinary","english","set","pleasant","together","roy","lord","majesties","theatre","since","majesties","creation"
"8","church","time","together","leap-year","lestrange","great","robin","account","love","tryal","allowance","william","leap-year"
"9","brief","every","church","tho","man","church","command","king","preached","acted","1678","english","almanack"
"10","country","1678","sermon","method","lovers","sermon","r.p","english","several","hand","pleasant","john","maid"
"11","full","old","god","plain","parliament","william","merry","together","life","prisoners","house","cases","full"
"12","plain","young","majesties","forth","allowance","god","court","great","death","lass","creation","sermons","mans"
"13","creation","parliament","love","m.a","forth","majesties","pleasant","church","gods","whipt","mans","gospel","true"
"14","poor","allowance","preached","1675","time","love","kind","sermon","bishop","pleasant","life","letter","instant"
"15","shewing","county","life","letters","bissextile","preached","reports","william","james","dukes","letters","right","new"
"16","heart","almanack","death","practice","acted","life","tables","god","strange","neer","instant","acted","r.p"
"17","maid","cases","right","bishop","christ","death","matters","love","near","statutes","news","proclamation","robin"
"18","truth","god","discourse","strange","calculated","right","ley","preached","bissextile","called","bissextile","common","majesties"
"19","description","popish","added","near","roger","discourse","young","life","command","time","heart","containing","kind"
"20","account","holy","thomas","high","young","added","temps","death","calculated","proceedings","1680","concerning","1676"
"21","every","called","containing","bissextile","remarkable","thomas","wife","right","found","parliament","maid","chaplain","pleasant"
"22","song","narrative","majesty","command","lords","containing","tres","discourse","government","true","houses","special","song"
"23","answer","church","concerning","table","good","majesty","come","added","times","constant","death","robert","wife"
"24","man","minister","man","calculated","set","concerning","lovers","containing","right","majesties","poor","sir","worlds"
"25","kind","exact","relation","found","years","man","majesties","majesty","remarkable","transported","come","religion","latitude"
