"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","according","king","love","sermon","licensed","king","new","king","according","love","church","preached","sermon","king","death","king","present","king","according","king","king"
"2","new","account","according","king","william","account","love","account","order","almanack","letter","containing","together","account","city","account","william","account","god","account","account"
"3","king","england","licensed","preached","preached","england","pleasant","england","proclamation","leap-year","sermon","death","majesties","england","god","church","preached","england","account","england","england"
"4","letter","new","pleasant","majesties","concerning","new","majesties","new","r.p","bissextile","majesties","city","order","new","french","several","concerning","true","last","new","new"
"5","order","true","bissextile","royal","containing","true","song","true","true","new","preached","god","according","true","majesty","london","containing","church","order","true","true"
"6","licensed","church","creation","pleasant","city","church","robin","church","act","creation","concerning","french","great","several","answer","lord","death","london","death","church","church"
"7","containing","several","life","excellent","god","several","r.p","several","licensed","r.p","proclamation","majesty","english","london","ireland","john","city","lord","ireland","several","several"
"8","ireland","london","brief","queen","majesty","london","lovers","lord","instant","meridian","parliament","ireland","licensed","lord","right","sermon","god","john","proclamation","london","london"
"9","history","lord","r.p","last","ireland","lord","according","john","lamentation","robin","right","right","present","john","discourse","together","majesty","sermon","true","lord","lord"
"10","excellent","john","leap-year","according","discourse","john","merry","sermon","new","tables","act","history","william","sermon","life","majesties","answer","together","thomas","john","john"
"11","scotland","sermon","world","honourable","life","sermon","excellent","together","robin","christ","present","1689","preached","together","religion","order","right","order","james","sermon","sermon"
"12","parliament","together","meridian","new","history","together","proclamation","majesties","old","song","king","honourable","concerning","majesties","honourable","according","discourse","according","entred","together","together"
"13","parts","majesties","lover","bishop","last","majesties","fair","order","last","mans","1689","royal","containing","according","thomas","letter","life","great","act","majesties","majesties"
"14","french","order","serve","london","1689","order","worlds","according","faithful","pleasant","answer","love","death","great","added","licensed","history","letter","letter","order","english"
"15","pleasant","according","truth","1690","honourable","according","king","great","loyal","wife","law","thomas","city","english","james","william","1689","licensed","preached","according","letter"
"16","observations","great","robin","song","royal","great","lamentation","english","king","worlds","commons","added","god","letter","time","preached","religion","present","sermon","great","licensed"
"17","years","english","almanack","licensed","love","english","order","letter","song","lovers","minister","james","french","licensed","relation","concerning","honourable","preached","charles","english","present"
"18","account","letter","tho","france","thomas","letter","whereas","licensed","love","jesus","majesty","time","majesty","present","parliament","containing","royal","concerning","london","letter","william"
"19","love","licensed","shewing","almanack","added","licensed","licensed","present","kind","fair","mayor","relation","answer","william","sir","death","love","containing","execution","licensed","preached"
"20","france","present","rector","sir","james","present","hood","william","lovers","joy","government","parliament","ireland","preached","protestant","city","thomas","death","case","present","concerning"
"21","present","william","gospel","prince","time","william","country","preached","fairs","young","assembled","sir","right","concerning","kings","god","added","city","remarkable","william","containing"
"22","james","preached","preached","m.a","relation","preached","joy","concerning","poor","jenny","honourable","court","discourse","death","excellent","majesty","james","god","right","preached","death"
"23","death","concerning","tables","england","sir","concerning","bissextile","containing","joy","maid","m.a","excellent","life","city","use","answer","time","french","years","concerning","city"
"24","full","containing","kind","1689","protestant","containing","creation","death","relation","prayer","reign","use","history","god","england","ireland","relation","majesty","discourse","containing","god"
"25","relation","death","observations","chaplain","court","death","leap-year","city","loving","maidens","lords","queen","last","french","state","right","parliament","answer","concerning","death","french"
"26","peace","city","1681","poem","excellent","city","young","god","excellent","live","proceedings","state","1689","majesty","shewing","discourse","sir","ireland","christ","city","majesty"
"27","proclamation","god","calculated","creation","queen","god","acted","french","death","lamentation","reflections","shewing","religion","answer","christ","life","protestant","right","short","god","ireland"
"28","act","french","christ","instant","shewing","french","sweet","majesty","old-bayly","sun","chaplain","christ","honourable","ireland","young","last","kings","discourse","lord","french","discourse"
"29","almanack","majesty","directions","january","christ","majesty","jenny","answer","subjects","proclamation","religion","young","royal","discourse","kingdom","1689","court","life","time","answer","life"
"30","collection","answer","modern","majestys","young","answer","french","ireland","woodhouse","man","aldermen","kingdom","love","history","parts","religion","excellent","history","city","ireland","history"
"31","leap-year","ireland","contained","relation","kingdom","ireland","maid","discourse","tryed","hood","discourse","parts","thomas","last","1685","honourable","use","1689","relation","right","last"
"32","good","right","order","1686","parts","right","maidens","life","houses","kind","account","1683","added","1689","1683","royal","queen","religion","peace","discourse","1689"
"33","entred","discourse","lovers","court","1685","discourse","see","history","found","sermon","rector","pleasant","james","religion","pleasant","thomas","state","honourable","called","life","religion"
"34","set","life","people","scotland","1683","life","ballad","last","committed","whereas","execution","christian","relation","royal","christian","added","shewing","royal","sir","history","honourable"
"35","prince","history","famous","majesty","pleasant","history","live","1689","pleasant","preached","peace","good","parliament","love","good","james","christ","love","county","last","royal"
"36","protestants","last","history","famous","christian","last","go","religion","wife","table","gospel","holy","sir","thomas","holy","time","young","added","declaration","1689","thomas"
"37","serve","1689","young","1681","holy","1689","wales","honourable","newgate","better","declaration","prince","protestant","james","protestants","relation","kingdom","james","reflections","religion","added"
"38","bissextile","religion","treatise","leap-year","prince","religion","london-derry","royal","tyburn","chaplain","council","protestants","kings","time","observations","parliament","1685","time","country","honourable","james"
"39","general","honourable","m.a","history","protestants","honourable","whose","love","fair","calculated","historical","observations","court","relation","county","protestant","pleasant","relation","reverend","royal","parliament"
"40","allowance","royal","truly","french","observations","royal","delight","thomas","sorrowful","poor","popish","county","excellent","parliament","charles","kings","christian","parliament","state","love","sir"
"41","highness","love","see","third","county","love","maids","added","dear","heart","majestys","charles","use","protestant","1688","excellent","good","protestant","lords","thomas","protestant"
"42","state","thomas","planets","poor","charles","thomas","boys","james","away","churches","papists","1688","queen","kings","every","use","holy","kings","poor","added","kings"
"43","loyal","added","loves","1682","1688","added","tragedy","relation","proceedings","student","reverend","mary","state","court","mary","queen","king","court","letters","james","court"
"44","calculated","james","oxford","remarkable","every","james","lass","parliament","account","god","case","july","christ","excellent","july","state","prince","excellent","world","time","excellent"
"45","remarkable","time","eclipses","command","mary","time","physick","sir","water","lass","whereas","lords","young","use","lords","shewing","protestants","use","present","relation","use"
"46","r.p","relation","hood","meridian","july","relation","grief","protestant","heart","find","publick","old","kingdom","queen","government","christ","observations","queen","lately","parliament","queen"
"47","found","parliament","affairs","discovery","lords","parliament","meridian","kings","young","loves","french","years","1685","state","old","young","county","state","speech","sir","state"
"48","strange","sir","poor","order","old","sir","marry","court","throughout","glory","march","general","1683","shewing","duke","kingdom","charles","shewing","strange","protestant","shewing"
"49","gracious","protestant","added","bissextile","years","protestant","songs","excellent","brought","books","prince","march","pleasant","christ","march","parts","every","christ","gracious","kings","christ"
"50","several","kings","worlds","taking","duke","kings","loves","use","good","marry","bible","whole","christian","young","man","1685","mary","young","added","court","kingdom"
"51","christ","court","auction","preachd","general","court","loyal","queen","distress","godly","middlesex","man","good","kingdom","new","1683","july","kingdom","young","excellent","parts"
"52","young","excellent","sale","ordinary","march","excellent","calculated","state","pleasure","whose","remarks","book","holy","parts","book","christian","government","parts","serve","use","1685"
"53","english","use","faithful","oxford","whole","use","sung","shewing","gold","merry","nature","useful","prince","1685","useful","good","old","1685","wife","queen","1683"
"54","papists","queen","delight","person","man","queen","long","christ","sessions-house","ordinary","thanksgiving","viz","protestants","1683","viz","holy","general","1683","plot","state","christian"
"55","quality","state","popish","eminent","book","state","play-house","young","married","sensible","acted","france","observations","pleasant","france","observations","march","pleasant","mans","shewing","good"
"56","army","shewing","maid","historical","useful","shewing","student","kingdom","strange","cases","john","persons","county","christian","persons","county","whole","christian","book","christ","holy"
"57","worthy","christ","character","near","viz","christ","mary","parts","truth","notes","protestants","account","charles","good","scotland","charles","man","good","ordinary","young","prince"
"58","songs","young","discourse","rector","france","young","lady","1685","edinburgh","pauls","die","scotland","1688","holy","person","1688","book","holy","william","kingdom","protestants"
"59","1689","kingdom","delightful","proclamation","persons","kingdom","poor","1683","daughter","latitude","doctrine","person","every","prince","full","every","useful","prince","justice","1685","observations"
"60","lover","parts","modest","popish","scotland","parts","kind","pleasant","called","1686","bishop","rector","mary","protestants","rector","mary","viz","protestants","scotland","1683","county"
"61","gentleman","1685","offered","original","person","1685","afternoon","christian","hand","read","earl","peace","july","observations","manner","july","france","observations","matters","pleasant","charles"
"62","truth","1683","catholick","songs","full","1683","rose","good","farewel","londini","grand","brief","lords","county","peace","lords","persons","county","pleasant","christian","1688"
"63","news","pleasant","sermons","charles","rector","pleasant","complaint","holy","received","astrology","september","1684","government","charles","brief","government","scotland","charles","publick","good","every"
"64","setting","christian","humbly","sermons","manner","christian","hey","prince","consideration","request","county","minister","old","1688","1684","old","person","1688","full","holy","mary"
"65","1688","good","compleat","loyal","peace","good","siege","protestants","began","minutes","england","bishop","duke","every","minister","years","full","every","answer","prince","july"
"66","lady","holy","meditations","minister","account","holy","tom","observations","maidens","come","holy","act","general","mary","bishop","duke","rector","mary","together","protestants","lords"
"67","bloody","prince","stated","news","1684","prince","almanack","county","hood","aspects","preachd","famous","march","july","act","march","manner","july","good","observations","government"
