"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","preached","præparantur","proclamation","quakers","hunts","goodlove","gospel","emertons","imprimatur","account","love","new-gate","riseing","christmas-day","messalina","feloniously","thursdays","tombes","auction","sonnatas","æuropean"
"2","sermon","prostant","act","testimony","affirming","hodge","minister","managers","bishop","letter","according","dulness","seller","refutation","albion","edwine","total","sepulchral","sale","viollins","mac"
"3","chaplain","venalia","majesties","spirit","exclusion","practises","sermons","delegates","church","ended","new","divested","dayes","new-years-gift","confidant","sadleyr","rebbels","intombed","precisely","harpsecord","flecknoe"
"4","bisbie","medicamentorum","whereas","truth","unalterable","layed","baxter","sheriffs","sermon","dryden","r.p","fore-head","moveable","summary","gothick","alarm","wisbich","fisher","paintings","composer","absalom"
"5","lambe","londinensium","king","christian-quaker","postscript","lewd","juncture","ansvvers","borough","sessions-house","pleasant","westminster-hall-gate","moones","hale","polydorus","danvers","routing","compleatly","novel","chappell","hood"
"6","aldermen","aulâ","gracious","penn","bench-bar","informer","bunyan","electing","right","transported","robin","ald","yeares","scripture","cambrion","pudding","perticular","inscriptions","royal-exchange","basse","achitophel"
"7","turner","pharmacopœorum","tongues","friends","bill","painter","shapwicke","briefly","preached","began","order","hang-man","teneriff","texts","kircks","gallantries","brest","monuments","afternoon","organist","true-blew-protestant"
"8","hickes","officina","diligently","people","ill-court-favourite","freeman","tillotson","unfolded","gilbert","proceedings","song","charing","feasts","respect","imposture","vvritten","fleets","p.f","coffee-house","purcell","genlteman"
"9","lay-mans","exacta","command","christ","cursd","heraclitus","colchester","stated","lestrange","relation","lovers","bedlow","usefull","matthew","amours","positive","ensigns","majors","toms","royall","robinn"
"10","scott","spagyricorum","translations","rogerss","sercumstances","vvith","r.b","depending","cases","french","lamentation","coud","geometrie","errors","couchd","warlike","ammunition","patricius","woodhouse","organ","doteing"
"11","mayor","pharmaceuticæ","parliament","province","dubling","open","queries","character","pleadings","poem","licensed","infernal","dominicall","whereunto","intrigues","surnamed","lieutenants","curwen","clock","composed","acknowledgement"
"12","preach","approbatione","prohibiting","manifested","inlinghtning","character","serm","legal","honourable","prologue","young","mould","pico","poems","confident","warning-piece","engagement","cumb","sold","sacred","allin"
"13","edmunds","exhibitum","queen","god","confort","advice","dean","successor","shadwell","whipt","maid","discust","238","fathers","woman","murder","yesterday","grandchild","popes-head-alley","ordinary","dale"
"14","resbury","nicolai","revised","salutation","unlawfulness","poem","reasons","ensuing","rector","remarkable","kind","dissipated","caribe","principal","league","undeniable","cannon","neale","agus","henry","pittying"
"15","numbring","staphorst","majesty","epistle","rectifying","dialogue","preached","declared","sarum","true","joy","pillory","nights","notes","gallick","proofs","coast","publick-spirited","prints","parts","took"
"16","rods","oper","edinburgh","pennsilvania","mischievous","friend","sermon","election","miege","j.f","almanack","temple-bar","remarques","come","lycogenes","barbarously","cinque","freke","cornhill","majesty","satyr"
"17","wagstaffe","societatis","compared","testimonies","succession","medicae","persecuted","judges","sacris","instant","leap-year","awarded","length","doctrine","newes","murthered","6000","visible","ave-mary-lane","medicae","admired"
"18","cambridge","quæ","james","antichristian","flow","podagra","nonconformist","cause","whether","burnd","maidens","royal-exchange","suns","popish","kirck","clear","fergussons","antiquities","ludgate-street","podagra","t.s"
"19","rector","notitia","importation","distinguished","seduce","hydrope","bolde","middlesex","vocabulary","war","fair","imaginary","299","divers","witha","french","defeat","patriot","auctio","hydrope","robin"
"20","sydenham","pharmacopoeorum","appointing","peaceable","inhabitant","schedula","pastor","reply","court","full","poor","dethrone","barbados","rome","doubted","amours","captains","faiths","nigri","schedula","restored"
