"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1","death","god","licensed","according","proclamation","lord","king","king","king","concerning","according","preached","king","english","concerning","king"
"2","love","john","order","licensed","act","sermon","england","account","account","answer","account","god","honourable","london","ireland","account"
"3","licensed","containing","king","order","majesties","english","majesties","england","licensed","1689","order","concerning","royal","true","answer","england"
"4","preached","majesties","proclamation","act","almanack","london","several","licensed","majesties","death","licensed","ireland","last","great","1689","licensed"
"5","life","concerning","act","parliament","sale","john","lord","majesties","several","added","ireland","answer","licensed","letter","death","majesties"
"6","according","death","pleasant","observations","best","great","church","new","order","discourse","act","1689","1690","present","added","new"
"7","gospel","sermon","according","death","command","present","love","several","according","history","last","death","kingdom","william","discourse","several"
"8","m.a","french","parliament","new","bissextile","william","collection","order","lord","right","scotland","added","1688","queen","history","order"
"9","sermon","love","majesties","ireland","leap-year","queen","parts","according","church","parliament","proclamation","discourse","france","containing","right","lord"
"10","shewing","parts","whereas","general","worlds","preached","use","lord","sermon","city","gospel","right","act","preached","parliament","church"
"11","young","1691","young","present","sold","god","reverend","sermon","london","mary","calculated","parliament","james","concerning","city","sermon"
"12","samuel","1692","lamentation","account","four","concerning","minister","english","john","honourable","planets","city","religion","ireland","mary","english"
"13","funeral","observations","allowance","proclamation","collection","ireland","book","london","letter","life","meridian","mary","majesties","answer","honourable","london"
"14","ever","young","love","almanack","creation","answer","holy","french","william","royal","london","honourable","christ","1689","life","true"
"15","licensd","new","excellent","france","whereas","1689","1692","true","queen","king","pleasant","life","relation","death","last","john"
"16","pleasant","preached","prince","remarkable","clock","death","sermon","john","together","excellent","england","royal","bishop","added","account","great"
"17","gods","william","daughter","entred","queen","discourse","state","great","containing","majesty","houses","excellent","love","discourse","1690","letter"
"18","sermons","books","lovers","country","masters","history","observations","letter","preached","1690","young","majesty","parts","right","kingdom","present"
"19","long","persons","authority","since","auction","right","christian","present","god","time","irish","1690","1691","parliament","france","william"
"20","christ","1694","fair","famous","woodhouse","parliament","thomas","william","concerning","kingdom","eclipses","time","use","city","act","queen"
"21","case","useful","declaration","leap-year","afternoon","mary","command","queen","ireland","france","entred","kingdom","reverend","mary","james","together"
"22","lover","brief","maid","excellent","friday","honourable","lords","together","answer","act","lamentation","1688","book","life","religion","containing"
"23","viz","m.a","duke","popery","former","life","court","containing","1689","james","protestants","france","sir","royal","relation","preached"
"24","near","proclamation","quakers","rules","student","royal","prince","preached","death","religion","giving","act","new","excellent","march","god"
"25","never","royal","resolution","divers","authority","excellent","every","god","added","christ","aspects","james","kings","majesty","bishop","concerning"
"26","tho","almanack","man","containing","sermon","majesty","chaplain","concerning","discourse","relation","rising","religion","observations","last","love","ireland"
"27","divine","best","proceedings","physick","paintings","last","years","ireland","right","shewing","song","christ","young","1690","collection","answer"
"28","poem","1693","ballad","protestant","houses","1690","books","answer","parliament","march","williams","king","command","time","parts","1689"
"29","rector","excellent","spiritual","taking","parliament","time","whole","1689","city","bishop","city","march","order","kingdom","1691","death"
"30","truth","imprimatur","r.p","peace","worcester","1688","protestant","death","mary","love","robin","bishop","court","1688","reverend","discourse"
"31","true","christ","soldiers","scotland","meteorological","france","near","added","honourable","collection","executed","love","according","act","minister","history"
"32","discourse","edward","kings","irish","temporal","act","persons","discourse","life","1691","since","reverend","prince","james","book","right"
