"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1","proclamation","juncture","almanack","lambe","according","edict","vermiculars","refutation","feloniously","thursdays","auction","1,2","shower","excellence","ever","vvarner"
"2","act","papers","leap-year","sermon","licensed","recalls","worms","scripture","alarm","perticular","precisely","v.a","renouncd","moile","ons","parham"
"3","whereas","prince","bissextile","chaplain","order","annuls","microscope","summary","edwine","rebbels","paintings","wickliff","doolittle","chorus","card","nephew"
"4","majesties","convention","creation","preach","pleasant","irrevocable","pulvis","texts","sadleyr","total","afternoon","huss","repentance","denham","bix","clare"
"5","parliament","oranges","meridian","hickman","young","revolting","benedictus","errors","barbarously","routing","sold","jerom","finally","marvel","key-day","mental"
"6","authority","orange","ephemeris","lay-mans","lamentation","subscribe","diagnostick","popish","vvritten","wisbich","royal-exchange","prague","malta","troubled","immoveable","renderd"
"7","king","address","rising","england-man","love","swear","coppy","notes","positive","sellar","coffee-house","withall","furnishd","directory","symbol","offer"
"8","granting","cheese","temple","scott","joy","abjuration","chymist","principal","danvers","fleets","clock","carnal","earthquakes","batchelors","shines","s.j"
"9","gracious","affairs","planets","command","ballad","nantes","barrenness","rome","gallantries","brest","sale","rareties","insignis","poetarum","pers","sister"
"10","tongues","abr","calculated","sunday","new","grandfather","strephon","doctrine","murthered","ammunition","masters","cloths","canons-hall","etheridge","underst","r.f"
"11","queen","inducing","eclipses","winchester-college","long","brandenburg","signs","plain","murder","lieutenants","limnings","ivory","employd","granvill","directi","ends"
"12","diligently","letter","student","york","song","concessions","destroyed","short","pudding","ensigns","toms","harden","soldiers","calumnies","wriglesworth","sacrifice"
"13","houses","definition","sherlock","ordinary","maid","reformed","londoners","collection","undeniable","yesterday","millington","soften","texts","penitent","successu","mass"
"14","requiring","fagels","worlds","easter-day","r.p","weesel","gazet","church","warning-piece","engagement","dryden","luther","apprehensions","geo","evangelij","composd"
"15","duties","relating","sun","vvhite-hall","resolution","fopp","rhiming","survivorship","warlike","norman","novels","oppose","returning","oppressive","indos","method"
"16","prohibiting","vi","aspects","preached","fair","abjure","precise","certified","surnamed","compton","exchange-alley","anguss","vvilkinsoniana","apology","novâ-angliâ","catholic"
"17","temporal","viz","referred","preachd","excellent","apostatize","cants","auditor","1684","coast","books","openly","r.d.h","critical","virum","suffolk"
"18","carrying","england","serve","asaph","quakers","totally","legon-water","aston","proofs","sir-names","prints","silks","wilkinsoni","mind","leusdenum","calld"
"19","revised","scheme","goldsmith","white-hall","maidens","perpetual","arrows","grub","henry","midvvife","woodhouse","stuffs","academ","valour","ultrajectinâ","francis"
"20","translations","jefferies","preached","almoner","lovers","scourge","kinsman","hore","clear","madame","poems","bone","oxoniens","spencer","academiâ","sorts"
"21","mariners","cowley","daniel","guardian","daughter","whip","amaize","inituted","baronet","bee","popes-head-alley","ingenuity","græco-latinis","marriage","crescentio","easie"
"22","appointing","tyrant","moon","wheathamstead","flanders","prohibiting","bartholomew-gfair","batchlors","amorous","shelf","collection","feather","petty-cano","office","mathero","practical"
"23","assembled","scots","baxter","wyvill","licensd","oppressions","welch","trained","amours","skins","servants","mathematicians","interment","kettlewell","bostonienses","prayer"
"24","former","present","setting","special","marry","foresaid","fare-well","bands","protestants","eaten","barbadoes","pages","rollss","moral","collegij","gentleman"
"25","spiritual","combers","marts","petty-cannon","sweet","foregoing","thirsis","fishermen","french","skelliton","cornhil","pleasing","t.w","treatise","harvardini","lady"
"26","speech","rara","useful","bardfield","live","protestants","scorne","ovr","intrigues","buryed","acted","hicks","calamy","means","cantabrigiæ","jesus"
"27","bible","grumbletonian","gospel","west-tilbury","london-derry","form","puding","kidderminster","information","digging","und","fighting","departed","necessity","nov-anglorum","four"
"28","service","rochesters","tables","lawrences","languishing","exercise","talmash","tupsley","circumstances","6000","auctio","weapon","bibliotheca","dennis","readily","persons"
"29","command","lyn-regis","motions","mariott","valiant","religion","vvound","white-horse","design","fergussons","die","metals","acknowledge","congreve","loose","religion"
"30","aid","feversham","criminals","canfield","loves","scholar","thigh","drayne","essex","captains","behn","thrown","groundless","women","high-water","life"
"31","importation","justiciary","extant","hooper","calld","satyrical","camerett-bay","hostler","discovered","cannon","ogilbys","product","mistaken","reconciliation","scripta","added"
"32","majesty","non-submission","astrology","metropolitan","hood","pretended","doctress","pasquin","discovery","defeat","guise","beginnings","possibility","carry","sea-ports","french"
"33","payment","fealty","worcester","designed","loyal","french","midnights","universis","newly","midwife","agus","erroneous","sicily","prose","epact","according"
"34","compared","montpelliers","indifferently","rector","jenny","elector","vvomeo","cujuscunq","true","cinque","meggott","induced","john","live","ecliptick","survivorship"
"35","permissu","furly","burgess","majesties","country","given","frozen","universitati","earl","village","midd","horn","funeral","age","rectore","certified"
"36","superiorum","commonality","white","pritchard","merry","settle","r.c","vestræ","reign","hand-basket","poem","inventions","larger","estate","professorem","auditor"
"37","continuing","norfolks","degrees","euclid","complaint","think","invention","innotescimus","song","ely","novel","reputation","north-side","miscellaneous","johannem","aston"
"38","catholic","market-place","rules","wednesdays","mans","electoral","admirable","significamus","orange","isle","four","tim","approaches","settle","graciously","grub"
"39","regiments","assault","minister","fridays","wonderful","persecutions","devonshire-street","scrutatis","others","barons","friday","exemplary","solemnly","buckingham","sommerset","hore"
"40","declaration","stewart","deg","dunstans","unspeakable","dominions","newsmonger","recordis","pleasant","dutch","librorum","restore","profess","eminent","diameter","inituted"
"41","poll","friburg","southing","raymond","man","favour","bettwe","supremæ","full","murdered","theatre","growing","symptoms","rochester","twice","batchlors"
"42","seamen","prerogative","table","nevill","unfortunate","gracious","sacellum","admiralitatis","general","vermin","instant","wound","pertinent","directed","shining","trained"
"43","congr","queries","astronomical","hellens","play-house","carried","apollinare","dilectum","prince","fleet","rival","north-side","psalm","poets","pocket-book","bands"
"44","attendance","protestant","meteorological","mapp","called","henry","patriot","orlandum","court","sea","bullord","hair","carry","presbyter","night","fishermen"
"45","kingdom","setling","sermons","publishd","noble","full","charmed","militem","sir","account","curious","leather","penny","happy","worn","ovr"
"46","preventing","proposed","fairs","guild-hall","lass","publick","experiments","curæ","love","stepney","beginning","purity","instructissimæ","walter","thoographia","kidderminster"
"47","whitehall","hearty","latitude","essex","wife","persecution","allowance","registrarium","history","baggage","thursday","scurrilous","refertissimæ","cooke","pen-men","tupsley"
"48","westminster","speech","sensible","watson","triumph","king","enterprize","prinicpalem","present","prisoners","cornhill","invitation","pauls","taxes","orderd","white-horse"
"49","lords","proceedings","mathematicks","majestys","sarum","kingdom","sham","custoditis","great","french","cree-church","generation","scriptures","safety","usurer","drayne"
"50","allowance","petre","accommodated","whitehall","lamentable","added","canon-hall","invenimus","english","commitment","dramatick","minerals","preachd","philosophical","fryday","hostler"
"51","hiberniæ","jesuit","conjunctions","mayor","lady","passages","northside","actum","new","murthering","granada","although","doubts","edw","angel","pasquin"
"52","archbishops","declaration","every","primate","example","interest","send","curia","england","last","talbot","legacy","edoardum","essays","moons","universis"
"53","privy","doors","master","ripon","shewing","letter","landing","expeditum","survivorship","discovery","best","treasury","rotterdam","amorous","catch","cujuscunq"
"54","encouraging","refusing","harpsichord","aldermen","grief","highness","proved","leges","certified","remaining","londini","curious","petty-canon","madam","v.d.m","universitati"
"55","franciæ","usurpations","moons","queen","gold","declaration","medicines","constitutiones","auditor","found","ave-mary-lane","errours","decease","several","receivd","vestræ"
"56","benedict","magistracy","configurations","height","unkind","country","anglicorum","ordinationes","aston","number","catalogus","entire","sacramental","andrew","invented","innotescimus"
"57","ships","norfolk","perkins","planisphere","damsel","divine","statesman","mentionatas","grub","morning","drawings","confuted","mourners","behn","epistola","significamus"
"58","peers","collection","lecture","kidder","boys","relating","latinorum","exhibitas","hore","near","ode","experiments","stephens","dryden","sanctæ","scrutatis"
"59","forthwith","scotish","lunations","edmunds","success","account","winters","tenore","inituted","eyes","bookseller","artificial","turkey","persons","inches","recordis"
"60","thereunto","scholastical","observations","botolph","despair","brief","bishopsgate","sequend","batchlors","forces","modern","submitted","alley","maids","ablest","supremæ"
"61","informed","disturbed","julian","kenington-common","sorrowful","kings","mint","visitations","trained","field","rosary","bullord","appellatam","divided","moveable","admiralitatis"
"62","ellis","sect","trinity","hallywell","constant","several","vvoman","dilgently","bands","apprehending","atlas","language","profession","aug","london-bridge","dilectum"
"63","enabling","darby","bedfordshire","savage","athenian","city","græcorum","untruth","fishermen","killing","white-hall","calumnies","seamans","discovering","thrice","orlandum"
"64","marie","spriritual","john","distich","coy","england","jigg","church-discipline","ovr","ports","castro","authority","jamaica","verse","suns","militem"
"65","protections","placing","horizon","lent","dear","containing","vicessimo","missal","kidderminster","garden","oedipus","church-yard","eleven","companion","grammatical","curæ"
"66","vvhitehall","algernoon","wallis","dean","farewel","together","lad","catholicum","tupsley","flesh","cleomenes","praise","discourses","sir","propounded","registrarium"
"67","mails","accidentally","mutual","hartfordshire","murther","true","health","unsatisfactory","white-horse","taken","stillingfleets","mystery","auction","john","linguæ","prinicpalem"
"68","defender","noblemen","error","spectators","garland","church","verses","quartering","drayne","irish","sergeant","martin","petty","compendious","dowager","custoditis"
"69","apprehending","stewarts","todington","worship","young-mans","survivorship","weavers","inhibiting","hostler","seizing","exposed","regiment","improved","methods","londons","invenimus"
"70","rates","leige","twofold","coventry","entred","certified","schombergs","pedlar","pasquin","poplar","tragedies","21st","forsaken","soul","easie","actum"
"71","obtained","relyd","additional","bishop","scotch","auditor","marquiss","english-mans","universis","22d","orrery","detected","ministry","th","moon","curia"
"72","certain","army","speeches","peters","throne","aston","commemoration","bran","cujuscunq","others","brady","rolls","desired","tryal","perpetual","expeditum"
"73","twentieth","entred","newest","surry","married","grub","januarii","chaff","universitati","begin","vvorks","sufferings","auction-house","comfort","project","leges"
"74","newly","attended","elevated","unite","enterd","hore","courted","diseasd","vestræ","madam","fellow","express","pocket","raising","rising","constitutiones"
"75","reputed","barr","founded","azimuth","lasses","inituted","parson","newyears-day","innotescimus","newgate","insignium","see","fear","consisting","bear","ordinationes"
"76","france","thanks","bass-viol","circles","happy","batchlors","lieutenant-general","regium","significamus","lately","miscellany","defeat","bibliopolam","ladies","feasts","mentionatas"
"77","victory","standing","meditations","endowments","fell","trained","plymouth","coronæ","scrutatis","cruel","high-ways","information","slavery","poems","able","exhibitas"
"78","⁰","commanders","songs","gourdon","flying","bands","flowing","test-acts","recordis","lamentable","count","extraordinary","romances","gentlemen","round","tenore"
"79","exportation","barbarous","contained","archbishop","fame","fishermen","cupid","argud","supremæ","apology","ludgate-street","john","side","together","lay","sequend"
"80","payable","popish","metre","declination","couragious","ovr","resolution","wilsonio","admiralitatis","burgesses","notes","arts","escape","judgment","slater","visitations"
"81","read","dissolving","woodward","religion","near","kidderminster","vvomen","roman-catholics","dilectum","infants","poetry","romish","encouragement","occasions","abraham","dilgently"
"82","appointed","undaunted","kalendar","fellow","russels","tupsley","ball","requester","orlandum","convention","command","christianity","amplified","never","setting","untruth"
"83","buttons","sydney","lunar","europæ","keach","white-horse","vvho","enquirer","militem","scotch","præd","profitable","bibliothecæ","defence","behalf","church-discipline"
"84","impowering","rendezvous","sermon","whitehead","tom","drayne","absence","blake","curæ","sad","examen","chiefly","church-yard","historical","half","missal"
"85","poundage","s.b","directions","appointed","jockey","hostler","celia","pulpit-papist","registrarium","north","agnes","rebels","libris","spiritual","representing","catholicum"
"86","require","herberts","unlearned","right","bonny","pasquin","cure","diseased","prinicpalem","knights","royal","sept","domum","subjects","short-hand","unsatisfactory"
"87","punishing","mijn","zenith","cambridge","messalina","universis","various","frames","custoditis","design","marquess","united","dangerous","peace","taxes","quartering"
