"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","act","account","licensed","england","act","act","act","sermon","church","several","christ","account","england","act","sermon","several","several"
"2","parliament","sermon","love","london","order","quakers","almanack","act","god","account","answer","sermon","god","majesties","king","account","account"
"3","quakers","john","order","containing","according","preachd","new","preached","containing","sermon","queen","england","containing","sermon","several","john","sermon"
"4","almanack","new","quakers","majesties","christ","concerning","acted","reverend","majesties","john","book","lord","concerning","gospel","lord","new","john"
"5","lord","england","account","concerning","gospel","letter","calculated","chaplain","several","new","last","english","together","gentleman","william","england","new"
"6","england","king","gospel","present","licensed","gospel","leap-year","proclamation","concerning","england","reverend","god","letter","1692","london","king","england"
"7","acted","lord","according","act","proclamation","minister","according","church","preached","king","use","majesties","death","duties","english","lord","king"
"8","called","william","young","history","rising","church","servants","ordinary","together","lord","chaplain","french","act","wales","john","william","lord"
"9","bissextile","london","christ","sermon","called","books","robin","rector","present","william","licensed","great","parliament","command","england","london","william"
"10","king","church","french","parliament","quakers","discourse","majesties","preachd","majesty","london","minister","true","several","appointed","majesties","english","london"
"11","present","god","death","james","robin","called","bissextile","honourable","act","english","christian","several","discourse","john","concerning","god","english"
"12","song","containing","minister","physick","long","acted","sale","bissextile","parliament","church","whole","acted","christ","never","new","containing","church"
"13","scotland","majesties","english","authors","tyburn","poem","proclamation","minister","england","god","royal","necessary","lord","white-hall","preached","majesties","god"
"14","answer","french","useful","poor","song","king","song","boyle","edward","containing","shewing","best","reverend","whereas","right","french","containing"
"15","proclamation","added","lady","duty","pleasant","short","granting","parliament","learned","majesties","parts","lords","christian","funeral","honourable","added","majesties"
"16","authority","great","reformation","henry","dying","reflections","meridian","right","cases","great","m.a","rules","whole","1691","act","great","french"
"17","reign","concerning","people","john","moon","answer","sold","leap-year","request","concerning","rector","command","royal","london","history","concerning","added"
"18","ireland","true","song","learned","setting","m.a","love","command","country","true","city","county","church","proclamation","parliament","true","great"
"19","execution","preached","true","cases","executed","proclamation","diseases","bishop","reign","preached","bishop","funeral","june","sun","church","together","concerning"
