"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"1","act","sermon","act","several","parliament","act","several","act","several","england","sermon","sermon","act","several","act","several","true","several"
"2","majesties","church","majesties","england","king","gospel","england","quakers","england","sermon","church","king","parliament","england","parliament","england","history","england"
"3","almanack","preachd","almanack","sermon","act","christ","sermon","true","sermon","church","preachd","lord","psalms","sermon","majesty","sermon","majestys","sermon"
"4","proclamation","minister","rising","new","french","ireland","john","proclamation","john","english","god","several","reformation","john","england","john","whole","john"
"5","gracious","john","calculated","church","majestys","gracious","account","minister","account","collection","english","preachd","quakers","account","church","account","several","account"
"6","leap-year","reformation","leap-year","king","preachd","creation","new","answer","new","charles","account","parliament","cases","new","lord","new","sir","new"
"7","parliament","gospel","bissextile","english","letter","table","church","duties","church","bishop","great","god","minister","church","king","church","use","church"
"8","bissextile","order","illustrated","william","majesty","reformation","king","intituled","king","city","whole","letter","people","king","sir","king","book","king"
"9","houses","added","setting","containing","house","according","william","making","william","world","answer","honourable","whereas","english","majesties","english","reverend","english"
"10","meridian","whole","reverend","london","letters","rising","containing","account","containing","publick","reverend","french","proclamation","william","queen","william","discourse","william"
"11","whereas","english","songs","lord","servants","man","london","principles","london","queen","discourse","act","tunes","containing","acted","containing","preached","containing"
"12","creation","short","eclipses","majesty","quakers","meridian","majesty","brief","lord","nature","preached","county","manners","lord","chaplain","london","last","lord"
"13","calculated","plain","table","added","france","societies","added","robin","majesty","duke","christ","old","publick","majesty","commons","lord","christ","majesty"
"14","granting","divine","robin","preachd","original","pleasant","preachd","lecture","preachd","acted","chaplain","exact","humble","added","honourable","majesty","christian","added"
"15","collection","letter","pleasant","parliament","duke","humble","parliament","grace","parliament","publishd","shewing","tho","spiritual","preachd","letter","added","chaplain","preachd"
"16","duties","christ","meridian","god","books","tables","god","faith","god","m.a","majesties","sermons","churches","parliament","account","preachd","shewing","parliament"
"17","song","death","lord","concerning","acted","divine","concerning","whereas","concerning","quakers","royal","duty","private","god","right","parliament","general","god"
"18","songs","rector","fitted","letter","command","parliament","letter","granting","letter","poem","letter","poor","duties","concerning","preachd","god","majesties","concerning"
"19","thereunto","life","sun","right","sermon","whole","right","called","right","1697","george","great","version","letter","majestys","concerning","royal","letter"
"20","majesty","set","composed","honourable","short","discourse","honourable","funeral","honourable","court","present","1704","granting","right","rector","letter","george","right"
"21","morning","every","according","together","commons","read","together","christian","together","gospel","minister","proper","prophane","honourable","1702","right","minister","honourable"
"22","temporal","use","1698","act","remarks","called","act","people","act","method","rector","done","pleadings","together","1704","honourable","rector","together"
"23","conjunctions","true","servants","present","essay","calculated","great","wales","present","every","religion","ireland","majesties","french","theatre","together","religion","french"
"24","robin","songs","planets","true","persons","france","present","points","true","essay","state","almanack","therein","act","almanack","french","order","act"
"25","planets","manner","gracious","history","life","blessed","true","rising","history","best","divine","1700","thereunto","present","proclamation","act","letters","great"
"26","humble","ordinary","acted","life","sir","war","history","keith","majestys","third","house","1698","prophaneness","true","1705","great","time","present"
"27","six","poem","conjunctions","majestys","love","eclipses","life","declaration","whole","people","life","government","1700","history","government","present","kingdom","true"
