"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","opera","quakers","almanack","gospel","wardmote-inquests","charity-schools","church","liddell","broker","dancing","ornament","monitors","sink","act","poem","tribute","breakes"
"2","acted","sufferings","leap-year","matthew","indentures","benefactions","sacheverell","varanes","langham","dances","bickham","undertaken","confederacy","majesties","letter","abated","shellen"
"3","drury-lane","servant","diary","minister","befall","adding","discouragements","converting","cent","beneficence","sculpsit","laureate","hasten","proclamation","bottomless-pit","lowly","accountant"
"4","sworn","friends","sternhold","revolution","betimes","thereto","eye","delphos","penny","très","writing","bower","immense","thousand","polesworth","tears","penmanship"
"5","theatre","labours","hopkins","priviledges","intend","propagation","wisbeech","sabatai","decimals","accordée","variety","caermarthen","break","gracious","memoirs","pride","fancies"
"6","majestys","tender","metre","letter","common-council-men","devout","gransden","sevi","merchandize","pauvres","hands","smith","inquiry","better","article","durfey","bowen"
"7","hay-market","convincement","psalms","resisting","calamities","governed","probably","narrower","compound-interest","refugiez","natural","mortimer","miscarriages","duties","bull","troy","dependance"
"8","sultaness","called","bissextile","occasiond","narration","garland","jacobitism","chalkd","hundredth","administrée","raii","montgomery","betray","hundred","baboon","humility","emanuel"
"9","theatre-royal","profess","ephemeris","wright","belong","prayers","vicar","laudat","discounts","committé","avium","treasurer","forwardness","continuing","manuscript","admonition","complete"
"10","lincoln","ellwood","solace","evil","returnd","proposal","difficulties","tacet","abatements","françois","vivus","pembroke","accounted","queen","norwichs","friendly","writing"
"11","chaplain","embrace","nourishing","government","attain","erected","brett","prophets","deducted","angleterre","recensuit","epithalamium","reform","seven","impeachment","mourning","ornament"
"12","di","meetings","corrupting","bradbury","common-council","devotions","bingham","swans","specifyd","reine","perfecit","nuptials","grandeur","service","mons","highness","improved"
"13","arabian","whitehead","rising","people","compiled","licensd","ethelburga","turk","draw-back","estats","insignissimus","ornament","encrease","annæ","cabinet","town","travellers"
"14","comedy","truth","ballads","whiston","deputies","woodward","sarum","hellens","specified","reliqua","ornithologiâ","muses","leagues","whereas","speeches","words","counties"
"15","norwich","christ","allowed","funeral","adjacent","licensed","betteshanger","libertas","turky","jusquau","ichthyologia","suppressing","treasury","majesty","atalantis","tho","revised"
"16","baroscope","parents","moreover","deprive","names","according","presbyter","odenard","consulage","ordres","desideratas","gent","destroy","passed","sewell","prince","herman"
"17","adventure","keiths","ungodly","magistrates","surprizing","promoting","enquiry","velt-mareschal","freight","commissaires","methodumque","entire","restauration","reginæ","dialogue","court","moll"
"18","william","people","tend","resist","bringing","pawlet","pretender","freed","allepo","leyde","magìs","marshall","bring","effectual","whigs","royal","hospital"
"19","chapel","sayings","meridian","salters-hall","prophecy","todd","dissuasive","cruel","cyprus","treatis","convenientem","inscribd","raise","parliament","vulgus","george","composed"
"20","beveridge","ashby","apart","examples","1709","boehm","jenings","port-royal","levant","rigadoon","reddidir","poet","separate","granting","strutt","death","delightful"
"21","galland","salutation","redemption","occasion","ward","mary-le-bow","milbourne","obscure","variations","distribution","apendice","earl","appears","preventing","law-suit","french","christs"
"22","gardner","gwin","planets","nations","sheriffs","carlisle","bedington","inquisitive","value","seigneurs","delacoste","virtue","putting","pounds","lincolns","new","wales"
"23","right","testimonies","astrological","protestant","knowledge","yn","gamlingay","barry","rates","performing","narbroughs","great-britain","freeholders","raised","spent","raii","business"
"24","cibber","faithful","others","alliances","warning","childrens","rector","mornings","simple","direction","setling","assistance","sixty","payment","create","avium","variety"
"25","curiosities","invitation","angelus","rosewell","fair","charity","lower-house","baal","inwards","chorography","tasmans","immorality","scheme","saint","lady","vivus","forms"
"26","servants","whiting","tanner","henrys","fourth","sacrament","white-staff","seasonableness","constantinople","majeste","incognita","auspicious","irish","assembled","secret","recensuit","designs"
"27","illustrated","transcribed","godly","destructive","introduction","children","surrey","devil","impost","régles","physico-theology","marquis","establishd","intituled","quality","perfecit","various"
"28","gardens","tythes","britannicus","rights","wonderful","merry","witch","supporters","reversion","catches","astro-theology","poet-laureat","support","humble","spy","insignissimus","maps"
"29","towns","stiled","chapmans","king","london","hermannus","edwards","impostor","free-hold","feuillet","upminster","high","particulars","mentioned","satyrs","ornithologiâ","companion"
"30","fasts","thompson","peculiarly","israel","cities","ir","provd","mechanism","estimating","tout","hickss-hall","pastoral","reign","special","sir","ichthyologia","likewise"
