"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1","letter","sermon","sermon","sermon","england","sermon","sermon","act","sermon","act","act","sermon","letter","act","john","church","church","church","england","act"
"2","act","church","church","church","right","church","church","containing","letter","england","preachd","church","sermon","majesties","king","right","several","several","sermon","majesties"
"3","majesties","several","life","several","containing","several","preachd","parts","preachd","parliament","sermon","preachd","preachd","making","england","king","preachd","preachd","letter","almanack"
"4","bangor","preachd","french","preachd","bishop","preachd","lord","britain","reverend","earl","majesties","lord","right","duties","containing","present","account","account","reverend","psalms"
"5","vindication","lord","whole","lord","english","lord","account","modern","church","britain","almanack","letter","bishop","hundred","great","majesty","england","letter","act","thousand"
"6","friend","account","thomas","letter","history","account","letter","poem","bishop","france","chaplain","death","act","command","bishop","act","right","john","god","christ"
"7","reasons","letter","state","john","reverend","letter","john","trade","john","last","psalms","house","majestys","proclamation","english","reverend","set","king","john","whole"
"8","bishop","king","sir","king","majesty","john","king","poems","account","majesties","anniversary","original","concerning","statutes","reverend","new","duke","england","william","others"
"9","proclamation","england","majestys","england","london","king","england","history","publishd","acted","1714","royal","reverend","illustrated","present","french","1716","new","answer","proclamation"
"10","gospel","new","relating","new","act","england","new","speech","history","great","request","letters","church","effectual","majesty","whole","james","added","life","sternhold"
"11","benjamin","right","publick","right","god","new","right","french","god","relating","metre","request","parliament","hopkins","london","state","lords","containing","french","numb"
"12","member","added","rector","added","honourable","right","added","secret","remarks","commons","spiritual","charles","honourable","almanack","act","letter","sermons","bishop","whole","hopkins"
"13","dissenters","great","several","containing","publishd","added","great","parliament","death","king","sternhold","queen","majesty","metre","god","bishop","father","english","preachd","estates"
"14","ministers","bishop","george","bishop","true","containing","bishop","majesties","lord","house","lord-mayor","county","answer","mentioned","concerning","majestys","christ","history","right","hundred"
"15","answer","reverend","use","english","william","great","english","france","added","present","gracious","england","considerd","new","parliament","sermon","edition","reverend","containing","robin"
"16","better","present","britain","history","answer","bishop","history","lady","considerd","peace","robin","france","religion","together","publishd","together","sermon","london","lord","comfort"
"17","ministry","majesty","remarks","reverend","life","english","reverend","edition","shewing","ministry","1715","book","christian","several","true","honourable","essay","act","majestys","called"
"18","protestant","act","general","present","french","history","present","exact","request","1714","special","government","clergy","works","william","time","oxford","god","account","gospel"
"19","preachd","god","time","majesty","state","reverend","majesty","description","true","november","thursday","vindication","original","tables","answer","chaplain","people","concerning","publick","bangor"
"20","occasional","honourable","shewing","london","sir","present","london","humbly","whole","church","diary","years","publick","twenty","life","viz","holy","parliament","george","hebrew"
"21","true","concerning","chaplain","act","majestys","majesty","act","certain","vindication","account","january","1715","rector","fellow","french","preachd","1714","publishd","together","scheme"
"22","paper","parliament","viz","god","relating","london","god","reign","preface","great-britain","ordinary","1716","present","sternhold","whole","parts","proper","true","bishop","continuing"
"23","called","publishd","preachd","honourable","rector","act","honourable","case","humbly","company","youth","james","essay","english","thomas","last","four","william","remarks","gracious"
"24","sermon","true","death","concerning","george","god","concerning","curious","father","queen","tunes","sermons","westminster","seven","state","earl","humbly","answer","general","humble"
"25","present","william","religion","parliament","use","honourable","parliament","treatise","scripture","poems","vice","father","chaplain","maps","sir","london","country","life","shewing","exon"
"26","conduct","answer","parts","publishd","britain","concerning","publishd","done","thomas","proclamation","command","christ","poem","chaplain","majestys","original","reign","french","english","prayer"
"27","whigs","life","last","true","together","parliament","true","ministry","reflections","occasiond","proclamation","essay","britain","chapel","relating","peace","1711","whole","king","sherlock"
"28","secret","french","house","answer","remarks","publishd","william","pamphlet","occasiond","comedy","comfort","oxford","appendix","better","publick","method","minister","thomas","april","john"
"29","faith","whole","earl","life","general","true","answer","intituled","sunday","lords","laying","protestant","king","description","george","royal","considerd","state","authority","leap-year"
"30","christian","thomas","lord","french","time","william","life","scotland","people","court","saviours","march","william","nelson","use","request","henry","sir","notes","planets"
"31","numb","state","account","whole","shewing","answer","french","almanack","happy","power","delightful","1714","fellow","thousand","britain","france","richard","majestys","famous","spiritual"
"32","snape","sir","christian","thomas","chaplain","life","thomas","commissioners","acted","country","minister","compleat","humbly","plates","together","government","present","relating","occasional","apart"
"33","reverend","majestys","letter","state","viz","french","state","servants","friend","reasons","dean","four","case","rector","remarks","england","case","publick","principal","better"
"34","government","relating","original","sir","death","whole","sir","taken","letters","majestys","god","others","bangor","grammar","general","nature","1713","rector","considerations","service"
"35","vindicated","publick","peace","majestys","religion","thomas","majestys","persons","joseph","death","temporal","collected","defence","register","time","set","clergy","george","prayer","answer"
"36","considerd","rector","method","relating","parts","state","relating","better","country","intituled","godly","country","father","ordinary","shewing","duke","gentlemen","use","original","songs"
"37","evil","george","royal","publick","last","sir","publick","foreign","doctrine","proceedings","leap-year","reign","dissenters","dictionary","death","1716","dissenters","together","discourses","laying"
"38","scripture","use","letters","rector","house","majestys","rector","tables","poem","excellent","hopkins","1711","vindication","business","parts","lords","friend","remarks","brief","vice"
"39","army","britain","request","george","earl","relating","george","subjects","full","ministers","preventing","minister","friend","natural","last","sir","majesty","general","paper","nourishing"
