"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1","precedents","petiver","athenæ","physico-mechanical","gibbs","lywodraeth","bubblers","bangor","act","logarithms","bottomless-pit","settle","almanack","letter","violin","tender","bickham","monitors","miscarriages","club"
"2","theatre-royal","forisque","worthies","hydrostatics","imperfections","ufudd-dod","sketch","bishop","majesties","mangey","bull","irene","sternhold","protestant","hautboy","salutation","sculpsit","laureate","sink","pyle"
"3","cases","auctori","cambrige","experimental","scrophulous","chariadoldeb","europes","benjamin","proclamation","quadrant","crusoe","pestilential","psalms","gospel","flute","quakers","ornamental","montgomery","hasten","ethelburgas"
"4","statutes","communicata","britannicæ","optics","concernment","mewn","breakes","reverend","gracious","poetis","polesworth","infections","hopkins","charity-schools","country-dances","whitehead","penmanship","bower","grandeur","gransden"
"5","common","societatis","myles","mechanics","recommend","adroddwyd","shellen","snapes","thousand","majorca","arabian","triumphans","metre","peirce","passepied","servant","accomptant","caermarthen","forwardness","eye"
"6","alphabetical","domi","davies","courses","accomptants","pawl","accountant","hugh","better","epigrammatum","adventure","contagion","diary","sermon","kellom","labours","writing-master","smith","confederacy","sunday"
"7","courts","nomina","critical","hawksbees","debitor","yng","dependance","chaplain","effectual","tables","baboon","distractions","leap-year","exon","tomlinson","ashby","hands","mortimer","break","milbourne"
"8","drury-lane","naturæ","writers","air-pump-glasses","serviceable","ngardd","mirrour","lord","preventing","perkins","stories","virtuti","ephemeris","preachd","feuillet","every-where","snell","treasurer","encrease","luke"
"9","servants","collectanea","criticizing","vream","mutatis","myneich","fancies","sermon","continuing","natural","sultaness","sacellum","delightful","occasiond","chacone","gwin","writing","pembroke","betray","gamlingay"
"10","cato","jacobo","domestick","pneumatical","mutandis","ddydd-gwyl","penmanship","ordinary","hundred","sines","surprizing","dundonald","songs","minister","passacaille","sufferings","milway","undertaken","immense","carter"
"11","conveyancing","regia","authors","instrument-maker","leiger","ddewi","writing","rector","duties","meteor","poems","thalia","bissextile","ministers","labbe","sayings","vitruvius","nuptials","leagues","wisbeech"
"12","temple","londini","romanists","experiments","cusheon-court","fawrth","ornament","right","mentioned","und","found","lacrimans","pleasant","salters-hall","jig","friends","mathematically","epithalamium","inquiry","discouragements"
"13","acted","socio","comparing","machines","austin-friars","oflaen","medley","jamess","seven","delectus","mariner","mead","robin","fab","pecour","sundry","writing-masters","muses","reform","preachd"
"14","beaumont","papilionum","writings","philosophy","readshaw","anrhydeddus","englands","preachd","parliament","etonensis","posthumous","poem","solace","priviledges","dances","people","pecfect","auspicious","destroy","martis"
"15","appeals","britanniĭcones","print","air-pump","abraham","wyr","hospital","hoadly","intituled","derham","cabinet","heroick","nourishing","resisting","bristed","called","engravers","ornament","restauration","jenings"
"16","titles","butter-flies","performances","demonstrated","freely","gymdeithas","complete","wells","making","earth","manuscript","plague","corrupting","government","meeching","ellwood","genttlemen","immorality","accounted","sarum"
"17","table","petiveriana","foreign","explaind","undertaking","eraill","folly","father","session","matthew","un-inhabited","consult","moreover","people","aliao","roe","penmans","poet-laureat","treasury","richmond"
"18","ode","italiæ","freedom","lectures","sustaind","frytaniaid","christs","broadstreet","pounds","lordship","oroonoque","enrichd","licensd","rosewell","new-haven","enquirers","church-yard-alley","inscribd","bring","peterborough"
"19","laws","marinarum","modern","desaguliers","broad-street","asesydlwyd","delightful","cotesbach","passed","proportional","perished","perfuming","morning","considerd","composd","convincement","copybook","assistance","raise","fellow"
"20","willis","graminum","titus","see","altogether","mwyn","designs","boulter","service","notis","robinson","pomatums","apart","defection","lewes","holme","pen-man","gent","putting","probably"
"21","fletcher","iconical","ancient","improvements","pocket-book","cynnal","forms","sykes","necklace","usum","life","washes","ungodly","evil","pemberton","massey","copy-book","entire","freeholders","surrey"
"22","tragedy","aldersgate-street","oxford","seen","convulsions","parch","business","clarke","franciæ","nuperis","memoirs","scenting","wing","dunton","ministring","alhallows","law-hands","poet","appears","leng"
"23","chichester","petiverania","thought","curiously","indeed","braint","variety","command","therein","maximè","letters","varieties","garland","friends","foretold","lombard-street","ollyfe","earl","separate","bedington"
"24","adjudged","icones","history","copper-plates","creditor","ddydd","memorial","ashley","assembled","101000","original","experimented","godly","withers","musick","falmouth","logic","marshall","sixty","witch"
"25","tenants","plantarum","lamentable","mechanical","spirits","genedigaeth","various","leicestershire","securing","logarithm","strutt","peace-makers","astrological","alliances","proper","dread","rhetoric","high","support","lyn-regis"
"26","pleadings","ray","andronicus","engraven","computing","brenhinol","natural","chapel","teeth","10,000,000","frog","l.l.m.d","hebrew","wright","michaels","doings","practisd","great-britain","four","france"
"27","law","figures","goths","fifty","compleated","oruchel","likewise","pawlet","enlarging","secants","spent","atkins","tend","revolution","tunes","fury","elevations","promoting","irish","sheriffs"
"28","hay-market","botanist","ravishment","belonging","evils","dwysoges","hands","sunday","whereas","logarithmick","law-suit","bate","ballads","rights","clare","overflowing","easy","marquis","reign","brett"
"29","opera","seasons","lavinia","figures","manage","dwysogaeth","1720","cathedral-church","hiberniæ","versed","galland","fabritius","vice","south-sea","chap","barcroft","clark","harley","queens","rector"
"30","treatise","eighty","empresss","course","animal","cymru","body","topping","granting","briggs","poem","regemorterus","others","scripture","ezekiel","embrace","examples","virtue","particulars","paul"
"31","illustrated","observed","valiant","designd","entrance","ficar","times","dry-drayton","continue","abr","indies","rudgeley","jests","dissenting","single","provoke","grammar","honourable","money","lecturer"
"32","tickell","fellow","fights","number","trouble","dyfynnog","making","yelden","chamberlen","desiderius","impotency","rhede","planets","mary-le-bow","dance","abounds","plans","humbly","laid","betteshanger"
"33","toward","plants","scarlet","given","friendly","pherson","proper","hereford","georgii","langi","create","tulpius","evening","magistrates","isaiah","claridge","sections","oxford","discovery","lincolns-inn-fields"
"34","olympia","continuation","parallel","curious","remedies","llanffwyst","letters","smalbroke","aid","chrêtienne","pyrates","wetherburn","astronomical","justified","twenty","break","improvd","pastoral","spain","city"
"35","dōmata","society","qualifications","according","get","gosod","whole","westram","anodyne","wallis","entertainer","disputable","meteorological","dissenters","characters","brief","britain","tate","establishd","dissuasive"
"36","several","james","barrister","making","remove","pregeth","containing","contre","presented","versione","humphry","prefatory","allowed","ministry","dancing","affirmation","campbell","daughter","scheme","jacobitism"
"37","digested","royal","inhumane","manner","dangers","eglwys","several","god","granted","forth","nelson","century","gadbury","case","a.d","warning","britannicus","suppressing","intended","sermon"
"38","exact","universal","hoods","description","approvd","dydd","weeks-work","southwark","acts","giless","numb","medicines","youth","faith","newest","transcribed","schools","vice","last","lord-mayor"
"39","cary","hitherto","moor","principles","whereof","cyntaf","infallibly","snape","humble","laurence","consisting","colouring","comfort","society","round","love","round-text","elizabeth","years","white-staff"
"40","whole","proposals","abroad","best","concerns","er","allure","leglise","britanniæ","soc","quality","cordial","tunes","societies","figure","assertions","alphabets","excellency","pretender","church"
"41","spectator","supplement","home","last","writing-master","wedi","ronksley","peters","land-tax","warren","million","snuffs","according","member","describd","christiana","abra","glorious","election","theobald"
"42","replevins","celebrated","tragical","use","applyd","philipps","mules","burscough","payment","minute","disloyalty","johnston","renowned","neck","sussex","epistles","arts","intended","army","chaplain"
"43","commoners","london","sons","william","proposd","sef","asses","beseeching","raised","islands","tunbridge-miscellany","addrest","kind","death","1713","christ","poetry","justices","next","condemnd"
"44","pepusch","places","foe","great","distempers","allan","bee-master","principes","lottery","bangors","miscellanies","zealously","book","considerations","four","exhortation","education","memory","articles","expect"
"45","justices","names","manuscript","account","conference","gan","50l","trusting","sign","jour","burlesque","viribus","licensed","bradbury","lecture","webster","foster-lane","majesty","design","canterbury"
"46","addison","great-britain","sword","weeks-work","discoverd","hen","5d","averting","temporal","ocean","strangely","energy","enterd","occasion","opera","faithful","ollyffe","sacred","officers","court"
"47","variety","history","exploits","infallibly","circumstances","ar","quart","exton","magnæ","recentioribus","mouth","doses","womans","henrys","nov","quakerism","wellingborough","right","five","lay-baptism"
"48","comedy","english","fought","allure","kept","yn","draining","delusion","regni","contrived","done","browne","merry","reformation","isaac","invitation","eben","principal","presented","commerce"
"49","dogs","containing","licensd","ronksley","nicholas","a.m","saffron","pillonniere","regulating","doctrines","coast","apothecary","sung","deliverance","masters","counsel","dav","lady","sixty-five","grand-jury"
"50","landlords","john","occasional","mules","cures","1715","liquorice","barville","address","physick","different","lemery","whole","arbitrary","numbers","epistle","rappitt","anne","berray","register"
"51","covenants","weeks-work","garland","asses","order","weeks-work","brew","cantabrigiensis","reign","scholæ","account","reasoning","union-almanack","treatment","improvement","truth","fetter-lane","lord","naion","infancy"
"52","magna","infallibly","fortune","bee-master","version","infallibly","meed","moneys","majesty","howel","offerd","muse","collected","whitson-week","new","testimonies","folio","others","adjourned","execrable"
"53","lincoln","allure","revenge","50l","italian","allure","metheglin","canon-residentiary","within","ministre","medals","pindaric","fair-sex","nations","loyalty","womens","grounds","lords","wallop","kennett"
"54","towns","ronksley","cruel","5d","method","ronksley","ringing","causless","fund","goldsmith","free-thinking","consistency","maids","welfare","pious","sion","system","set","wenman","richardson"
"55","leases","mules","eminent","quart","commonly","mules","swine","todd","exchequer","dangerous","alone","medicamentorum","conferred","prophets","master","gentile","copper-plates","poem","taken","norfolk"
"56","works","asses","enterd","draining","new","asses","12d","answer","diligently","sharp","sir","infinite","job","annuitants","princes","judicious","various","queen","nation","amorous"
"57","pleas","bee-master","bloody","saffron","rates","bee-master","clover","special","prohibiting","division","harley","hermann","laying","request","monsieur","cor","engraven","peace","queen","cathedral-church"
"58","sussex","50l","dissenters","liquorice","business","50l","foin","jesuites","annæ","construction","letter","chirurgical","peculiarly","addressd","thursday","asserting","great","religion","popery","treaty"
"59","collected","5d","fall","brew","adapted","5d","gallon","sins","shop","set","guiscard","muses","conferrd","thoughts","recommended","inhabitants","usual","britain","command","diocese"
"60","chronological","quart","daughter","meed","evil","quart","sores","paraphrase","lords","preservative","atalantis","infallibility","profitable","pamphlet","paris","children","colen","present","a.d","sydall"
"61","distresses","draining","wars","metheglin","easie","draining","aches","sheriff","spiritual","explaind","adventures","desirous","stars","vindication","eminent","childs","esqr","great","trade","designing"
"62","eusden","saffron","pamphlets","ringing","merchants","saffron","gesta","held","twelfth","demonstration","laid","spreading","redemption","staff","manner","anger","larchitecte","weeks-work","making","dorchester"
