"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26"
"1","act","account","act","account","account","account","lord","account","account","account","account","act","act","john","account","act","act","act","act","act","john","account","present","account","act","account"
"2","parliament","containing","new","containing","containing","containing","king","several","containing","containing","containing","parliament","sermon","sermon","history","reverend","county","sermon","history","trade","new","containing","act","containing","george","religion"
"3","county","john","sermon","several","several","several","right","john","several","several","john","london","preached","present","english","letter","christian","majesty","life","poem","sermon","several","london","several","county","state"
"4","present","new","preached","new","john","john","sermon","sermon","john","john","new","great","county","letter","true","county","majesty","repairing","several","persons","act","john","several","john","collection","book"
"5","letter","sermon","preachd","present","new","sermon","parliament","present","new","new","sermon","reign","psalms","london","remarks","whitefield","parliament","county","england","present","great","new","king","new","list","containing"
"6","passed","present","britain","letter","sermon","present","general","letter","sermon","sermon","present","majesty","reign","history","death","christian","oxford","psalms","parliament","town","london","sermon","england","letter","hundred","original"
"7","repairing","letter","great","act","present","letter","reverend","act","present","present","letter","passed","john","lord","life","sermon","passed","preached","george","psalms","whole","present","parliament","act","cities","persons"
"8","majestys","act","city","great","letter","act","honourable","great","letter","letter","act","war","request","king","containing","answer","making","almanack","county","young","english","letter","letter","great","repairing","god"
"9","britain","great","collected","added","act","great","majestys","added","act","act","great","england","repairing","church","french","christ","psalms","reign","time","manner","lord","act","george","added","several","shewing"
"10","reign","added","sir","london","added","london","time","london","great","great","added","city","christ","preached","added","gospel","repairing","god","answer","man","king","great","general","london","majestys","preachd"
"11","road","london","oxford","whole","london","history","together","history","added","added","london","court","sermons","life","country","religion","law","reverend","use","answer","church","added","nature","history","curious","death"
"12","granted","history","viz","english","history","whole","collection","whole","london","london","history","county","parish","right","description","sermons","original","table","collection","occasioned","preached","london","majestys","whole","names","letters"
"13","effectual","lord","publishd","lord","whole","english","original","lord","history","history","whole","repairing","whitefield","parliament","poem","christianity","george","hopkins","fellow","songs","life","history","remarks","english","road","proper"
"14","intituled","king","law","king","english","lord","god","king","whole","whole","english","oxford","passed","general","letters","pamphlet","reasons","bishop","human","letters","right","whole","true","lord","passed","court"
"15","whitefield","church","thomas","church","lord","king","epistle","church","english","english","lord","within","gracious","reverend","state","passed","effectual","sternhold","character","taken","england","english","majesty","king","granted","britain"
"16","conduct","preached","last","preached","king","church","learned","preached","lord","lord","king","britain","college","honourable","gentleman","faith","member","road","reflections","letter","george","lord","answer","church","choice","relating"
"17","quakers","right","publick","right","church","preached","faith","life","king","king","church","parish","metre","nature","nature","recommended","third","society","vicar","britain","general","king","account","life","lives","curious"
"18","poem","england","honourable","england","preached","life","effectual","right","church","church","preached","general","sternhold","majestys","france","town","kings","churches","vi","county","thomas","church","history","right","historical","reign"
"19","journal","parliament","poem","parliament","life","right","march","england","preached","preached","life","queen","gospel","remarks","publishd","intituled","intituled","paraphrase","likewise","curious","reverend","preached","state","england","words","sermon"
"20","george","george","every","george","england","england","explained","parliament","life","life","england","effectual","reverend","majesty","world","duties","lady","gracious","passed","great","honourable","life","observations","parliament","various","christian"
"21","almanack","general","majestys","general","parliament","parliament","shewing","general","right","right","parliament","king","majesty","time","letter","prayer","affairs","quakers","making","new","nature","right","original","george","customs","country"
"22","acts","thomas","british","thomas","george","george","following","thomas","england","england","george","impartial","road","answer","court","protestant","acts","session","1740","friend","remarks","england","royal","general","geographical","city"
"23","enlarging","reverend","house","reverend","general","general","recommended","reverend","parliament","parliament","general","almanack","preachd","french","book","college","scripture","leading","prefixd","case","parts","parliament","god","reverend","reign","collected"
"24","humbly","honourable","subjects","honourable","thomas","thomas","religious","honourable","george","george","thomas","table","leading","concerning","observations","vindication","vindication","third","full","account","true","george","shewing","honourable","sea","description"
"25","court","nature","lord","nature","reverend","reverend","repairing","nature","general","general","reverend","gentleman","law","collection","humbly","occasioned","houses","rules","characters","epistle","majesty","general","preachd","nature","description","sir"
"26","session","majestys","westminster","majestys","nature","honourable","intituled","majestys","thomas","thomas","nature","songs","enlarging","act","particularly","bishop","reign","set","joseph","france","county","thomas","sermon","majestys","original","oxford"
"27","granting","remarks","sermons","remarks","majestys","nature","almanack","remarks","reverend","reverend","majestys","lady","bissextile","defence","chaplain","people","morning","mentioned","address","effectual","answer","reverend","letters","remarks","travels","particular"
"28","town","parts","four","parts","remarks","majestys","near","parts","honourable","honourable","remarks","present","pembroke","works","samuel","called","road","acts","exact","member","french","honourable","court","parts","compleat","viz"
"29","continuing","true","set","true","parts","remarks","good","true","nature","nature","parts","fully","session","preface","together","rev","granted","intituled","added","remarks","william","nature","britain","true","term","publishd"
"30","houses","majesty","taken","majesty","true","parts","preachd","majesty","majestys","majestys","majesty","money","method","fellow","list","life","four","book","reasons","never","concerning","majestys","method","majesty","great","bishop"
"31","gracious","county","considered","county","majesty","true","ministers","county","remarks","remarks","county","kingdom","hopkins","human","natural","1744","majestys","cities","according","hundred","collection","remarks","relating","time","ships","law"
