"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26"
"1","sermon","carey","quakers","f-r-n-llis","vulgarly","perpetuate","bains","bickham","germaniques","seraphick","scepticism","doddridge","hanover","navigators","act","law","infirmary","merryland","arrived","1674","debates","legis","psalmody","condé","almanack","tapestry-workers"
"2","preachd","mirth","leglise","arbor","btn","geftleman","lempire","snell","militaires","philanthropos","procedure","burroughs","list","pilot","county","cases","aubigny","ballad","newcastles","waradins","lettered","communis","anthems","passé","bissextile","perspective"
"3","watts","century","vaillant","vitæ","discarded","scools","où","shelley","litteraires","theophilus","limits","fee","present","sea-coasts","repairing","precedents","diseased","topographical","messengers","ulans","peerage","expositorius","chanting-tunes","mémorable","leap-year","designing"
"4","hebden","innocent","philippi","dd","distressed","geographia","walbrook","ollyffe","critiques","tenderd","enquired","paraphrase","affairs","amazones","passed","bench","infirmaries","hay-market","carteret","bishop","silver-lace","ignorami","laudamus","regnes","planets","micrographia"
"5","request","musical","letterd","signior","courtier","classica","traite","brooks","allemans","student","leibnitz","grove","letter","head-lands","reign","pleas","lenox","admiral","whitehall","denne","embroidery","lamentatio","psalms","bungay","quakers","commentarium"
"6","english","henry","mouhy","cuckoldom","honesty","twenty-nine","working","bland","également","gift","immateriality","lowman","jests","logarithm","road","courts","merchant-service","bay","n.s","1706","beautifully","translationem","hymns","north-repps","rising","aphorismos"
"7","samuel","dramatick","1577","goodere","temporal","classicks","workmans","junr","utile","convert","vin","lillo","poem","logarithms","majesty","chancery","manufacturers","journey","charlton","septuagint","gilt","latino","musick","baliol","ephemeris","cognoscendis"
"8","death","incidents","fortunate","king-road","humble","mentiond","probable","stutely","officiers","parochial","perronet","heats","hanoverian","capes","granted","reports","president","melodrama","bearcroft","parish-church","guineas","anglicum","tansur","royaume","diary","curandis"
"9","gill","instruction","nouveau","tree","spiritual","brave","indemnity","pescod","beaux-esprits","physick","mistaken","hieroglyphical","member","sherwins","enlarging","attorney","governors","di","advices","bateman","under-treasurer","dedicatione","deum","servir","hopkins","ornamenting"
"10","preached","conversation","texte","dinely","island","wanted","comment","drawing","lune","maidstone","infidelity","fau","ode","walliss","session","carini","ware","theatre","authority","welby","restraining","dulmannum","venite","lhistoire","astrological","carwitham"
"11","syren","ballads","nouvelle","martins","power","testaments","holy-days","hoods","lautre","immortal","shoreham","fum","reasoner","sharps","effectual","attorneys","sick","coast","openly","muscular","enquire","curtesium","exultemus","sous","lunations","landskips"
"12","promoting","occasions","baptism","mahony","address","porto","proportioned","thirty-six","françoises","catalogue","learned","sabbath","inscribd","contraction","parliament","statutes","thundridge","austria","decalogue","elasticity","octavo","lectorem","conferred","recueil","sternhold","appendages"
"13","sultaness","musick","seigneur","bristol","called","bello","sundays","penmans","ouvrage","soul","mons","race","convention","101000","gracious","common","royalty","scene","hanau","soc","1660","iocupletissimus","tunes","françois","wing","relievo"
"14","wrentham","calculated","addidit","27th","common","took","rs","ayres","françois","sixth","lockes","hebrews","joe","secants","leading","practice","chelmsford","humours","barbados","glocester","secrecy","voccs","sung","memoires","metre","engravers"
