"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","act","act","act","containing","account","account","account","containing","account","present","act","letter","account","act","act","act","act","parts","parliament","right","sermon","sermon","letter","sermon","act","observations","whole","act","act"
"2","county","sermon","great","sermon","sermon","containing","containing","sermon","sermon","new","george","containing","containing","occasioned","george","county","practice","state","majestys","english","present","act","present","john","chaplain","collection","thomas","letter","parliament"
"3","repairing","lord","lord","several","john","sermon","sermon","several","several","act","original","john","sermon","lords","county","lord","christian","royal","use","king","act","preached","act","new","king","court","right","parliament","present"
"4","psalms","church","church","john","letter","several","several","john","john","great","royal","account","several","authors","several","sermon","method","answer","honourable","england","great","church","majestys","act","majesty","gentleman","english","passed","war"
"5","majesty","letter","history","present","present","john","john","letter","letter","lord","majestys","true","john","county","repairing","james","earl","together","william","parliament","preached","history","sermon","great","reign","britain","king","repairing","repairing"
"6","almanack","preached","whole","new","new","letter","letter","present","present","preached","letters","history","letter","passed","passed","repairing","last","shewing","time","reverend","london","whole","majesty","lord","almanack","present","england","britain","peace"
"7","sermon","reverend","general","act","act","present","present","new","new","london","court","whole","present","answer","acts","1746","easy","several","french","majestys","poem","thomas","remarks","preached","lord","city","life","reign","county"
"8","reign","english","right","great","lord","new","new","act","act","church","general","life","act","repairing","hundred","fully","county","observations","concerning","honourable","four","right","preached","london","repairing","proper","reverend","almanack","session"
"9","effectual","added","english","added","preached","act","act","great","great","history","county","remarks","great","jesus","therein","appointed","observations","court","nature","god","reign","english","honourable","church","fellow","original","majestys","certain","new"
"10","parish","new","king","lord","london","great","added","added","added","whole","college","sermon","added","christ","scotland","powers","time","religion","parts","majesty","1745","king","britain","whole","table","bishop","honourable","county","scotland"
"11","road","proper","england","preached","sir","added","lord","lord","preached","general","law","added","lord","faith","powers","william","parliament","gentleman","royal","william","practice","reverend","county","general","right","westminster","god","road","almanack"
"12","gracious","bishop","parliament","london","occasion","lord","preached","preached","london","thomas","conduct","english","preached","letter","occasion","john","faith","britain","together","french","every","public","westminster","thomas","vicar","death","majesty","session","road"
"13","leading","death","reverend","church","friend","preached","london","london","church","english","public","state","london","houses","rebellion","preachd","government","christian","letters","concerning","church","pamphlet","parliament","right","intituled","preachd","william","effectual","age"
"14","preached","preachd","use","history","publishd","london","church","church","history","king","society","shewing","church","society","persons","shewn","christ","book","shewing","county","curious","duty","reverend","english","parish-church","james","time","leading","highness"
"15","enlarging","james","honourable","whole","appointed","church","history","history","general","england","particular","observations","history","church","gracious","testament","gentleman","city","court","george","best","holy","occasioned","king","alphabetical","country","french","conduct","granted"
"16","thousand","god","god","general","france","history","whole","whole","thomas","life","acts","french","whole","samuel","reign","december","majesty","proper","gentleman","remarks","history","richard","answer","england","forty","last","true","granting","poem"
"17","bissextile","majesty","majesty","thomas","war","whole","general","general","english","parliament","compleat","young","general","town","session","ministers","relating","original","britain","state","oxford","vicar","town","life","hundred","useful","concerning","friend","physician"
"18","sternhold","considered","william","right","october","general","thomas","thomas","king","reverend","divine","religion","thomas","good","list","preached","number","method","persons","royal","chaplain","work","william","reverend","session","short","county","majesty","duty"
"19","granted","people","time","english","occasioned","thomas","english","right","life","majestys","good","description","king","almanack","duties","friday","celebrated","bishop","book","answer","house","majestys","peace","honourable","ordinary","collected","george","present","october"
"20","john","concerning","french","king","earl","right","king","english","parliament","use","four","letters","england","people","christians","1741","repairing","westminster","city","shewing","subjects","ireland","memoirs","god","roads","considered","remarks","enlarging","list"
"21","forty","county","true","england","rector","english","england","king","reverend","god","duties","particularly","life","human","effectual","considered","list","death","proper","observations","sir","divine","gentleman","majesty","method","christ","nature","granted","great-britain"
"22","session","1745","george","life","old","king","life","england","majestys","majesty","reign","thomas","parliament","duke","roads","road","gospel","essay","original","religion","illustrated","use","april","william","county","conduct","parts","poem","prince"
"23","thomas","oxford","nature","parliament","trade","england","parliament","parliament","use","william","almanack","particular","reverend","highness","parliament","majestys","kings","preachd","method","britain","friend","different","john","french","cities","description","state","town","houses"
"24","passed","chaplain","parts","reverend","samuel","life","reverend","reverend","god","time","lord","sir","majestys","particularly","road","table","oxford","country","westminster","christian","others","henry","conduct","true","honourable","british","royal","bissextile","duties"
"25","metre","sir","state","majestys","government","parliament","majestys","use","majesty","french","charles","poem","use","doctrine","happy","christian","member","last","account","persons","publishd","table","fellow","concerning","metre","1746","answer","hopkins","america"
"26","granting","occasion","royal","use","sermons","reverend","use","honourable","time","true","answer","viz","honourable","prayer","leading","april","principles","useful","death","book","lords","character","people","county","houses","request","together","sternhold","since"
"27","hopkins","royal","answer","honourable","various","majestys","god","god","french","concerning","several","new","god","reverend","added","collection","dissertation","short","essay","city","modern","duties","pamphlet","george","tables","society","letters","leap-year","facts"
"28","amending","general","together","god","moral","use","majesty","majesty","true","county","repairing","book","majesty","particular","thousand","knowledge","life","collected","preachd","proper","appointed","christianity","right","remarks","road","relating","shewing","duties","essay"
"29","leap-year","appointed","letters","majesty","peace","honourable","william","william","concerning","george","gospel","gentleman","william","rev","christ","passed","nature","considered","containing","original","war","minister","compleat","nature","cathedral","particular","observations","gracious","persons"
"30","seven","earl","shewing","william","principles","god","time","french","county","remarks","cambridge","oxford","time","fellow","public","set","parts","world","country","method","october","honourable","bishop","parts","enlarging","poem","collection","ballad","reign"
"31","request","old","observations","time","certain","majesty","french","true","george","nature","defence","collected","french","dissertation","joseph","prefixed","cases","british","last","bishop","rector","address","address","royal","rates","manner","court","preventing","recommended"
"32","tables","john","collection","french","historical","william","true","concerning","remarks","parts","kings","reverend","true","pamphlet","enlarging","four","college","1746","useful","westminster","authors","almanack","impartial","answer","granted","reign","religion","setting","choice"
