"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23"
"1","act","history","general","act","containing","containing","containing","act","act","john","letter","new","containing","act","account","act","several","several","new","act","act","act","act"
"2","curious","church","right","sermon","account","account","new","true","county","sermon","containing","sermon","new","several","john","almanack","john","john","sermon","sermon","almanack","county","county"
"3","county","whole","william","county","new","several","god","parliament","letter","letter","whole","lord","several","preached","sermon","lord","sermon","sermon","country","almanack","majesty","vicar","life"
"4","almanack","parliament","time","preached","several","john","concerning","court","parliament","lord","added","preached","john","parliament","letter","parish","added","letter","act","preached","psalms","george","court"
"5","letter","thomas","french","majesty","john","sermon","majestys","lord","passed","act","john","history","sermon","remarks","lord","within","present","lord","request","county","county","repairing","true"
"6","majesty","england","reverend","repairing","sermon","letter","together","containing","road","present","history","lists","lord","honourable","act","road","preached","act","particularly","repairing","whole","discourse","parliament"
"7","repairing","general","royal","psalms","letter","lord","several","lists","repairing","preached","account","town","act","sermon","present","majestys","london","present","society","1746","repairing","john","occasioned"
"8","road","life","parts","faith","lord","act","essay","subjects","britain","london","observations","rector","added","county","preached","repairing","great","preached","britain","majesty","duties","god","gentleman"
"9","occasioned","right","nature","roads","act","added","court","town","duties","account","life","short","present","letter","london","bissextile","history","london","edition","god","persons","duties","sir"
"10","genuine","william","observations","passed","added","present","christian","time","reign","history","remarks","collected","preached","right","history","passed","church","great","four","majestys","tables","acts","young"
"11","therein","time","king","road","present","preached","collection","majestys","town","church","english","friend","london","court","people","granted","use","history","sir","1749","according","nature","westminster"
"12","bissextile","reverend","letters","reverend","preached","london","majesty","french","preventing","parliament","useful","curious","great","royal","illustrated","leading","whole","church","present","request","bissextile","rector","town"
"13","giving","remarks","god","christians","london","great","gentleman","new","earl","thomas","book","illustrated","history","society","occasioned","certain","parliament","use","westminster","november","complete","reverend","lady"
"14","protestant","county","together","christ","great","history","method","occasioned","memoirs","general","gentleman","easy","church","parts","almanack","leap-year","thomas","whole","preached","road","road","mentioned","city"
"15","intitled","royal","essay","making","history","church","religion","almanack","leading","life","new","occasioned","use","method","memoirs","town","england","parliament","lists","march","prayers","fellow","good"
"16","pamphlet","parts","true","certain","church","use","book","parts","effectual","right","almanack","almanack","whole","rector","earl","und","english","thomas","original","session","thousand","november","time"
"17","passed","nature","christian","appointed","use","whole","state","list","acts","french","lists","man","parliament","answer","list","worcester","general","england","subjects","duties","english","gospel","days"
"18","psalms","honourable","collection","effectual","whole","parliament","proper","world","granting","reverend","true","earl","thomas","house","world","british","life","english","town","1750","use","dissertation","acts"
"19","narrative","observations","majesty","town","parliament","thomas","shewing","gentleman","ode","remarks","reverend","list","england","considered","chaplain","bridge","right","general","rector","thanksgiving","reign","examination","repairing"
"20","acts","king","gentleman","john","thomas","england","christ","sermons","relating","county","edition","world","english","reverend","british","forty","william","life","various","leading","mentioned","ministers","session"
"21","clergy","city","method","book","england","general","death","making","bridge","honourable","particularly","chaplain","general","request","best","father","time","right","london","psalms","leading","parish","george"
"22","great","letters","useful","gracious","english","life","persons","register","therein","city","shewing","british","life","particular","old","university","french","william","collected","parish","diary","effectual","death"
"23","london","god","book","prayer","general","william","bishop","persons","enlarging","letters","curious","best","right","general","house","enlarging","reverend","time","friend","1748","acts","m.a","sunday"
"24","march","concerning","state","great","right","time","answer","use","courts","god","memoirs","old","william","poem","practice","tragedy","remarks","french","people","october","practical","powers","poem"
"25","old","essay","proper","honourable","william","french","sermon","whole","regis","majestys","essay","house","time","college","parish","making","royal","reverend","illustrated","thomas","time","charge","persons"
"26","particular","true","shewing","gospel","time","reverend","every","principal","better","court","list","practice","french","notes","laws","saint","parts","remarks","easy","appointed","leap-year","road","table"
"27","june","court","christ","leading","french","remarks","manner","discourse","henry","christian","country","parish","reverend","king","publick","parish-church","nature","county","almanack","better","directions","twenty","discourse"
"28","1746","christian","george","hymns","reverend","county","considered","jesus","session","collection","principles","laws","remarks","city","poem","rising","observations","royal","man","lists","und","session","rules"
"29","july","collection","persons","david","remarks","parts","country","peace","friend","majesty","tables","publick","county","letters","college","reign","king","parts","list","passed","churches","sermons","added"
"30","leap-year","majesty","answer","april","county","nature","request","lords","amending","gentleman","young","poem","royal","proper","others","regis","letters","nature","taken","bridge","fourth","gentlemen","great-britain"
"31","1748","gentleman","every","reign","royal","honourable","particular","according","high","religion","henry","college","parts","church","charles","continuing","god","honourable","world","houses","service","society","roads"
"32","contained","religion","considered","church","parts","observations","particularly","moral","worcester","session","use","others","nature","death","notes","majesty","concerning","observations","chaplain","david","ephemeris","britain","christian"
"33","reasons","book","country","right","nature","king","letter","god","roads","ladies","considered","appendix","honourable","great","oxford","drury-lane","majestys","king","history","enlarging","making","reign","remarkable"
"34","conduct","state","particular","und","honourable","city","relating","psalms","und","love","various","charles","observations","persons","principles","session","together","city","best","thousand","private","christian","therein"
"35","masters","proper","relating","granting","observations","letters","society","france","gracious","high","psalms","notes","king","easy","trade","term","essay","letters","old","john","governors","delivered","brief"
"36","publick","christ","society","consisting","king","god","britain","lately","council","songs","together","oxford","city","man","public","amending","true","god","house","regis","four","prayers","trade"
"37","time","death","britain","enlarging","city","concerning","sir","work","great","preface","william","plain","letters","modern","henry","high","court","concerning","practice","relief","rules","majesty","public"
"38","majestys","bishop","edition","meeting","letters","majestys","young","life","georgii","prayer","different","set","god","making","sermons","bishop","christian","majestys","parish","preachd","effectual","faith","powers"
"39","examination","answer","four","hopkins","god","together","last","introduction","proceedings","thoughts","best","remarkable","concerning","holy","houses","friday","majesty","together","laws","1747","enlarging","brief","passed"
"40","setting","every","young","sternhold","concerning","essay","james","doctrine","sentence","compleat","celebrated","principles","majestys","view","duty","council","method","essay","poem","granting","stars","founded","manuscript"
"41","granted","manner","last","granted","majestys","true","westminster","several","planets","vindication","sermon","trade","together","parish","eminent","mayor","religion","true","college","prayer","various","a.m","reign"
