"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23"
"1","fielding","minuet","free-artificers","maclean","comberbach","attempte","merlinus","sultan","arabian","sea-coasts","act","elsewhere","oclock","almanack","cross-roads","gill","voted","feast","deacon","und","letter","di","und"
"2","grandison","lecointe","rosamund","newgate","byram","rescue","liberatus","worcester","sermon","capes","county","friends","rubbish","bissextile","champion","preached","libera","ge","townley","wines","drury-lane","teatro","einigen"
"3","pamela","contri","ridley","tenants","byrom","aunciente","partridge","kalmár","mayor","pilot","repairing","caution","melancholly","leap-year","pekin","doddridge","altered","dobbin","fletcher","curious","`","musica","n.s"
"4","clarissa","tha","glocester","courts","experiment","play-wrighte","macdonalds","cathedral-church","told","thickness","road","holme","sound","ephemeris","communicants","sermon","insula","waggoner","rebel","spaniards","protical","s.m.b","propagation"
"5","editor","rowlands","norwich","somers","eclogue","maister","new-goal","meadowcourt","sultaness","bays","majesty","besse","instant","psalms","chinas","death","rejected","timerous","morgan","tricks","cennick","welsh","michell"
"6","mary-le-bow","ubiquarians","assizes","pasquin","rhyme","williaume","ramsonian","fable","galland","ports","passed","quarterly","dreadful","diary","riding","watts","money-bill","lass","globes","lima","cambridge","drama","mary-le-bow"
"7","bp","farmery","weston-longville","marforio","contest","shakespere","redemption","abhorrence","christian","sands","leading","meetings","earthquake","sternhold","palace","occasioned","17th","gamster","berwick","circle","acted","president","druck"
"8","propagation","maltus","mancroft","pending","blank","faulsely","bellman","inkle","devotions","head-lands","reign","south-carolina","twelve","hopkins","wiltshire","reverend","m-ns","jockey","fraser","workmen","satire","newmarket","vincent"
"9","academy","amount","maddormarket","holles","roger","certaine","apparition","yarico","anson","rope","session","sophia","fifth","robin","gratiam","departed","b-p","damsel","scaffold","curiosities","ode","governors","ashtons"
"10","contemplations","peyton","ryegate","plunket","favour","wittes","mistresses","laetitia","prayer","soundings","enlarging","epistle","happened","metre","itinerantium","charity-school","members","proud","1667","ranelagh","finch","merchant-service","freunden"
"11","booksellers","diem","falling","selected","exhibited","wotteth","horrid","physiognomist","preachd","flowing","effectual","tender","hitherto","rising","curiosorum","amory","sacra","whore","engagd","cameron","preachment","sporting","zu"
"12","bunyan","serjeants","hibernian","war","reply","freede","tilly","eudoxus","brine","describing","regis","soever","morning","brady","britanniam","died","patriot","duraling","queensberry","halfpenny","gilbert","match","befördert"
"13","francesco","corporals","gazetteers","tyburn","verse","mistakeings","nath","leontine","appointed","currents","granting","hall","exact","tate","tentavit","john","monday","bacchanalian","execute","callao","spent","pel","incorporated"
"14","lorenzo","non-commissioned","knt","statues","epistle","heedless","ossibrooke","theodosius","seeds","ebbing","mentioned","quakers","full","planets","wil","thomass","fifty-four","duetts","stir","teagueland","poem","giocoso","afternoon"
"15","tragedy","480lb","hurd","net","ode","imprinters","beadles","mariamne","preached","mountaine","georgii","plunders","thursday","parkers","ogilbys","dissenters","toasts","cantatas","got","bee","gainsborough","cyder","messenger"
"16","treatises","1f","thetford","richardo","preface","workes","bell-men","eginhart","entertainments","harbours","granted","school-mistresses","list","astrological","cambridgshire","request","freeholders","grosvenor-street","chadwick","story","blandys","lenox","ziegenhagen"
"17","hume","10s","clemency","colleg","defence","greys-inn","cryers","imma","prayers","rocks","vicesimo","unhappily","friend","wing","rutlandshire","gravel-lane","nevill","spirits","syddall","chinese","elegy","aubigny","february"
"18","acted","2s","ceremonial","medicor","british","new-fangled","saddle","renegado","authorised","navigators","duties","ellwood","town","meteorological","warwickshire","infant-baptism","corke","vauxhall","willding","daughter","examiners","rappresentarsi","herrn"
