"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35"
"1","act","new","act","act","account","new","new","new","account","new","new","great","england","act","act","act","new","act","general","england","letter","new","act","act","new","several","observations","letter","john","act","new","new","account","act","act"
"2","county","letter","preached","certain","containing","account","account","christ","containing","account","account","lord","life","majesty","parish","sermon","account","sermon","england","life","preached","account","sermon","london","containing","sermon","parts","act","letter","preached","account","containing","john","britain","french"
"3","parliament","act","parliament","psalms","john","containing","containing","four","john","containing","containing","general","parliament","county","rector","preached","containing","added","life","parliament","history","containing","church","english","john","added","king","sermon","act","sermon","containing","several","letter","parliament","time"
"4","session","proper","use","whole","several","john","several","lord","several","john","john","life","whole","granting","westminster","letter","john","preached","use","use","sermon","john","westminster","life","several","preached","letters","preached","sermon","john","john","act","act","almanack","new"
"5","better","illustrated","church","hundred","letter","several","act","british","letter","several","several","parliament","church","session","session","reverend","several","great","whole","whole","account","several","lists","parliament","letter","great","reverend","lord","preached","society","several","sermon","sermon","making","duties"
"6","majesty","religion","sermon","county","act","act","sermon","answer","act","letter","letter","use","william","acts","county","john","letter","lord","church","church","added","letter","book","use","act","history","remarks","english","lord","county","letter","added","preached","whole","twenty"
"7","certain","relating","royal","acts","sermon","sermon","added","present","sermon","act","act","whole","right","effectual","majesty","god","act","history","royal","french","life","act","certain","several","sermon","present","collection","whole","history","majestys","act","preached","lord","great","christians"
"8","duties","edition","thomas","holy","preached","added","preached","bishop","added","sermon","sermon","plain","time","duties","appointed","parliament","sermon","present","observations","royal","letters","sermon","psalms","french","added","london","useful","john","present","majesty","sermon","great","history","illustrated","children"
"9","granting","essay","majestys","session","great","preached","great","particularly","preached","added","added","rules","observations","passed","better","county","added","english","parts","thomas","reverend","added","christ","royal","preached","english","majesty","church","account","god","added","lord","present","according","christ"
"10","intituled","book","lord","intituled","lord","great","lord","various","great","preached","preached","called","parts","reign","useful","lord","preached","general","king","time","death","preached","collection","letter","great","general","nature","right","london","request","preached","history","london","member","directions"
"11","repairing","britain","john","mentioned","history","lord","present","occasioned","lord","great","great","trade","king","almanack","almanack","certain","great","england","letters","observations","occasioned","great","containing","1755","lord","england","concerning","private","general","occasioned","great","present","english","society","adventures"
"12","reign","original","nature","thousand","present","history","london","subjects","present","lord","lord","list","letters","repairing","discourse","majesty","lord","life","reverend","parts","church","lord","useful","reign","history","life","city","psalms","parliament","lord","lord","london","general","new","mentioned"
