"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35"
"1","sermon","gaol","formidaur","di","bickham","d-e","gaubius","forgive","raleigh","fortescue","caught","owes","minuet","arabian","gill","pretty","comberbach","microscope","new-stile","n-","act","premiums","atlas","baptized","raphael","voted","distant","wreath","pilot","breeding","sportsmans","pately","globes","cennick","run"
"2","prayers","elections","florian","teatro","monarchical","-d","taprell","criticks","walter","moderns","champagne","moment","lecointe","brine","rank","tommy","experiment","microscopes","scrupulous","a-y","session","encouragement","olympia","£","rafael","libera","fallin","marybon","sea-coasts","defeat","attitudes","stubbs","prologues","romaine","curates"
"3","preached","contested","falls","musica","highland","g-e","louisa","marsh","1693","orange","h-t","subversion","contri","poem","artillery","receivd","byram","book-keepers","christmas","recorder","county","manufactures","dōmata","brethrens","guido","rejected","ridley","cupers-gardens","capes","colts","roberts","comrade","epilogues","substance","anniversary"
"4","dilworth","leathes","zelinda","s.m.b","practisd","b-","lloyd","taunton","1746","solomon","girl","sheldon","tha","sultaness","field-officers","stairs","byrom","negroes","parishioner","amias","granting","arts","tycho","hazeland","prejudices","insula","assizes","bottle","describing","pigeons","race","ferninand","phoenomena","discourse","bowers"
"5","christian","needful","despair","rappresentarsi","chatelain","letter","desideratum","rheumatism","egbert","abuse","woods","grandeur","rowlands","galland","regiments","lions","rhyme","discoveries","bodies","riddinge","majesty","commerce","ouranios","cent","duchange","altered","norwich","jollity","sands","comments","portraiture","cavalry","neales","dunstans","horse-matches"
"6","thomass","parliaments","marries","nel","copy-book","colporteur","churchill","glastonbury","thirty-two","sketch","savage","owing","ubiquarians","bill","plaintiff","spoils","eclogue","objects","skeletons","briefs","certain","established","speculum","disciples","dorigny","money-bill","differences","performers","amazones","satisfactory","likeness","bloody","patent","west","reginald"
"7","preachd","unanimity","fidalme","newmarket","grant","morale","downes","shakespear","monarch","ancients","newly","b-r","farmery","blandys","dragoons","armory","contest","vizt","cocherel","whigs","duties","instituted","anni","gambold","characterised","sacra","glocester","hunting","bays","w-","stallions","fought","geography","antrim","heber"
"8","theatre-royal","coalition","infinitely","pel","magnificent","critique","leyden","lolympe","salisbury","passions","wild","defences","maltus","warburtons","harpsichord","80,000","roger","magnifying","evreux","whigg","repairing","society","redivivum","bishop-stortford","cartons","members","weston-longville","vauxhall","goldney","expedition","striking","hanover","circles","holles","michell"
"9","parts","recoverd","kills","dramma","stow","chevrier","commandments","m.dcc.xxxii","ecclesiastical","objects","madam","calamities","dancing","thoughts","trial","horse-armory","blank","miscroscope","petrified","petitioned","parliament","21st","coelestial","annum","students","m-ns","knt","contents","headlands","ch","pocket","battle","supplemental","delivered","propagation"
"10","four","healthy","paralleld","sporting","george","déces","electricity","criticisd","begun","employment","french","councils","diem","gill","con","armour","favour","crystals","standig","pouletts","better","london","pennsylvania","200","picart","17th","brown","ranelagh","head-lands","farm","represented","faithful","beginners","careless","worcester"
"11","charity-school","contagion","agonies","pond","writing-master","sme","wood-street","censorial","rebellion","regulation","history","restored","non-commissioned","done","damages","jewel-office","exhibited","observers","familiarly","electoral","reign","offered","southing","prophetic","engraving","b-p","styles","mirth","rocks","agenor","horses","giving","competent","bate","newington"
"12","gravel-lane","surbiton-common","magnanimous","1721","alphabets","tutelle","methodism","posthumus","knt","vision","colporteur","tillemont","480lb","pamphlet","cameron","regalia","reply","resuscitation","stile","durrington","regis","orders","masonry","ghost","critics","toasts","thetford","song","flowing","ismena","drawn","john","free-masons","lecturer","mary-le-bow"
"13","moral","hammett","believes","paul","junior","particularitez","tract","imogen","dedicated","memory","morale","confutation","1f","defeated","wednesdays","bloods","verse","corals","situate","crabb","effectual","december","planets","tottenham-highcross","designing","monday","hurd","diversion","ports","â-la-mode","ever","prince","navigation","harley","allusion"
"14","fielding","kingston","fond","stebbing","senior","touchant","distress","gibber","england","introductory","critique","people","4d","told","death","curiosities","epistle","animalcules","blown","convoy","mentioned","1757","stars","peremtorisches","bernard","patriot","hamon","finding","ebbing","mares","engraved","old","martial","ogle","methodists"
"15","northampton","list","princes","matches","correctly","caractère","passions","shade","establishment","miscellaneous","chevrier","a-d","56l","occasioned","irish","misses","preface","micrometer","helvetius.translated","jealousy","intituled","list","borough-town","bedencken","expression","freeholders","norfolk","ready","rivers","calves","companion","true","moore","aleim","mary-hill"
"16","lying-in","wish","alternately","drama","engraved","grecs","garrick","presuming","civil","princes","déces","d-","ordnance","whitefield","interspersd","little","ode","medal","vice-chancellors","ill-nature","georgii","rules","deg","peremptory","ralph","drank","dennison","collection","west-india","fattening","eminent","french","resulting","alarm","kalmár"
"17","christians","unhealthy","supposes","match","discipline","ceux","minor","mix","brought","speech","sme","ruin","pay","merchants","acting","cuts","defence","poisons","taxers","goa","twenty","colporteur","nights","controversies","engraved","l-","grand-jury","sung","harbours","gargut","variety","england","speeches","`","triumvirate"
"18","preparation","georges-hospital","drollery","feast","engravd","corrigent","representation","thine","end","essays","tutelle","england","endeavours","president","belovd","selected","country","provided","conscience","kinsey","passed","morale","horizon","minuter","nicholas","nevill","bigotry","moors","thickness","rabbits","henry","english","gunnery","self-existence","continental"
"19","meditations","post-boy","conscious","teeth","sentences","jeu","occasioned","alloy","copper","manners","particularitez","hanover","1l","isaac","stahl","beasts","british","apply","tomb","corroborated","continuing","critique","worlds","stortford","painters","names","edmunds-bury","including","recipes","fatten","kingdom","letter","charges","sunday","neutralities"
"20","thanksgiving","honestly","disguise","chancellor","mons","vrais","daughter","incorprates","plates","end","touchant","letter","serjeants","entertainments","weld","variety","life","saline","upright","crabbs","therein","chevrier","langhorne","w.s","passions","commons","fornham","dumont","new-jersey","chickens","james","account","constitutions","whitsun-monday","retiring"
"21","seeds","dishonestly","duel","sopra","spot","principes","michael","creative","earl","ode","caractère","sixth","corporals","traders","severn","knapp","colporteur","amber","rock","costs","payment","déces","twilights","matth","prints","december","westley","evelyn","navigation","ducks","colporteur","colporteur","fortification","falmouth","cripplegate"
"22","closet","alum","heroick","calculations","sixteen","angloise","exposition","thros","sir","sacred","grecs","influence","amount","durham","crim","1588","morale","vegetation","provence","opend","granted","sme","decrease","baptize","inspection","1753","lestrange","comick","senr","turkies","morale","morale","motions","cavendishe","oclock"
"23","pamela","amounting","continues","house","soldier","trouve","lover","sky","illustrated","plan","ceux","misconduct","peyton","jews","violoncello","horseback","critique","gems","doctrinal","j-s","almanack","tutelle","indian","merely","painting","expulsion","emmanuel","reprimand","soundings","hill-farm","critique","critique","heavenly","clare","ashtons"
"24","sermons","boroughs","followed","grays","views","developé","wesley","ranging","king","moral","corrigent","m-rs","10s","intitled","geminiani","gradual","chevrier","described","long-acre-chapel","packingtons","majestys","particularitez","lodges","impostor","school","corke","bench","condolance","healing","mock-heroic","chevrier","chevrier","discipline","effecting","get"
"25","devout","country","sister","dodd","perspective","necessaire","exposed","depth","history","viz","jeu","asperisions","due","cyder","corps","tell","déces","salts","pembrokeshire","unhappy","lands","touchant","stamford","gospels","imitation","baronet","whitehall","asking","shoals","gazettes","déces","déces","solution","earthquakes","sackvilles"
"26","amory","decided","turn","appointed","manual","etrangers","evil","scape","new","wales","vrais","malecontent","bermondsey","asgill","garrisons","visits","sme","substances","proctors","sufferer","road","caractère","philomath","1000","described","house","high-sheriff","congratulation","hudsons-bay","elliott","sme","sme","renderd","vere","aids"
"27","grandison","methodist","suit","clergy","command","facilement","mind","researches","colporteur","poem","principes","paragraphs","2s","mdclxxxviii","army","brookes","tutelle","examine","chancellors","aside","enlarging","grecs","season","became","examples","list","ceremonial","indite","streights","receipts","tutelle","tutelle","treatises","julius","incorporated"
"28","devotions","wade","thrown","commons","buildings","lire","night","surely","morale","man","angloise","fowke","exceeding","messages","wife","train","particularitez","configurations","clergyman","graciously","malt","ceux","net","hertfordshire","guide","fifty-four","reconciled","wyatt","monsoons","fowls","particularitez","particularitez","odes","1755","honble"
"29","paraphrase","moss","addison","guilford","prose","ecrire","professor","meed","critique","state","trouve","secr","sailors","nerves","foot","engines","touchant","metals","keeping","old","importation","corrigent","philadelphia","month","benjamin","instant","computing","wimble","amplitudes","stocking","touchant","touchant","deptford","1744","bower"
"30","died","brecknock","accidents","measurement","officer","lorphelin","philosophical","eer","chevrier","use","developé","ad-y","guilt","merchant-service","hood","steal","caractère","baker","vedast","banishment","vicesimo","jeu","referred","days","regard","independent","governing","cruize","mountaine","manager","caractère","caractère","watson","advent","whitsunday"
"31","voltaire","poll","amazing","hoffman","exercise","tragédie","management","ask","déces","life","necessaire","traslation","value","nature","traced","farce","grecs","mdcclvii","foster-lane","indiaman","limited","vrais","wing","interest","masters","arthur","goddard","endurd","dellavar-bay","p-t","grecs","grecs","strangers","corrector","subsidies"
"32","edition","mixtures","misfortunes","pompadour","hands","représentée","hopkins","oblivion","sme","colporteur","etrangers","macerata","1000l","courtship","robbing","museum","ceux","prepare","plenipotentiary","voyage","fifty","principes","rising","holy","instructions","23d","justices","africans","rope","dogs","ceux","ceux","noble","bones","scurrilous"
"33","select","alphabetical","thro","general-officers","gardens","fois","disorders","veil","tutelle","morale","facilement","bavarian","magistrates","occasions","court","anthems","corrigent","davies","livings","documents","preventing","angloise","white","johns","celebrated","attend","almanacks","ivory","courses","nelson","corrigent","corrigent","obtain","haverford-west","subsidiary"
