"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","jemmat","lenten","highland","di","d-e","-the","howard","deaf","martin","interpolations","pilot","kidden","baronagium","ferguson","lists","addenda","fineness","fairs","henderson","act","designs","raphael","dumont","romaine","roberts","pately","premiere","preservative","ahiman"
"2","catherine","advent","grant","teatro","-d","constancy","true-born","ceremony","glasses","vain","sea-coasts","macdaniel","genealogicum","projecting","brine","indisputably","type","fixd","guadalupe","session","champion","cartons","evelyn","dunstans","sportsmans","stubbs","partie","cudworth","rezon"
"3","memoirs","aspirations","discipline","rappresentarsi","g-e","placed","song","coronation","construction","translators","hudsons-bay","berry","pedigrees","7800","new","ayliffe","legend","moveable","j.j","granting","gill","students","comick","`","attitudes","comrade","langlois","perilous","dermott"
"4","honouring","o.s.f","soldier","sermon","b-","-a","scot","cleverest","solar","expunged","amazones","inhuman","segar","parallex","register","authenticated","rarity","hood","muscovite","certain","folio","urbin","charke","elliot","tell-truth","ferninand","noblesse","relly","sec"
"5","p.b","sundays","manual","musica","letter","mechanics","races","bleu","surface","editors","capes","bloody-minded","mowbray","studied","occasions","concerns","1650","glamorganshire","usurers","duties","cartes","duchange","beast","interpreted","race","cavalry","commerçante","union","brother"
"6","paraguay","festivals","exercise","s.m.b","jemmat","algebraists","caledonian","brittish","apparatus","churchill","navigation","thief-makers","descents","paradox","merchant-service","creditors","collector","robin","andrew","majesty","anniversary","dorigny","navy-mens","west","portraiture","fought","henriette","wesley","secrecy"
"7","muratori","multiplication","command","preached","honouring","initial","uproar","pyrate","phases","selected","describing","convictions","attested","parallax","business","orphan","weight","shepherd","field-marshal","reign","plates","characterised","corrupt","lecturer","b.a","bloody","bordeaux","misrepresentations","free-masons"
"8","expounded","honouring","officer","politicks","p.b","dialling","humorous","navel","benjamin","conjectures","goldney","compiler","sr","euclids","merchants","opinion","seventy","sore","barrington","majestys","bowers","ralph","surrendering","deluge","historian","hanover","comédie","notions","solomons"
"9","dispensing","p.b","laid","sopra","paraguay","hydraulics","scotch","wingfield","visual","embellished","west-india","unwearied","collateral","paste-board","court","fairly","coinage","combat","shires","better","rooms","designing","pepperell","portal","likeness","battle","libres","margaret-street","laurence"
"10","episcopacy","paraguay","twelve","drama","muratori","hydrostatics","print","execution-dock","projection","variety","sands","counter-acting","edmondson","lunar","manufacturers","queries","coin","falshood","actions","intituled","mary-le-bow","expression","ardently","parable","lilliputian","faithful","comédiens","oxford-market","oratorio"
"11","arcana","muratori","military","appointed","expounded","pneumatics","satirical","stored","compasses","writers","maryland","blee","herald","james","gill","originals","silver","scurrility","swedes","granted","h-","palace","dispossessing","law","christmas","giving","ordinaires","rescued","help"
"12","readings","expounded","copper-plates","original","dispensing","denote","none","overlove","spheroid","warrants","delineating","baffle","lineal","astronomy","exchanges","stated","mostly","herefordshire","austrians","parliament","pars","benjamin","induced","church-wardens","adornd","prince","ouvrages","occasiond","excellency"
"13","midwifes","gospels","words","thomas","episcopacy","law-dictionary","boot","peeressee","microscopic","cuts","senr","lads","garter","sun","diseased","interesting","value","berkshire","contrivances","mentioned","mouldings","passions","fortify","registering","striking","john","fresnoy","glosses","benefit"
"14","memis","saints","duty","preachd","arcana","optics","shilling","regalin","hydrometer","best","headlands","kelley","records","newtons","jewry","case","dealer","wiltshire","turks","therein","marys","inspection","boscawen","m.dcc.lv","tommy","old","nocturnes","church-man","temple"
"15","marishal-college","principle","explained","literature","readings","beneficence","réponse","homage","eye","hands","havens","capitally","evidences","cowley","corrected","answer","norman","covenant","faithful","twenty","engraved","nicholas","scotia","stating","stallions","true","épisodique","countess-dowager","performed"
"16","recollections","catholic","short","bengal","midwifes","hogarths","russe","nobles","sphere","maid","straits","seizing","originally","machine","city","public","engravd","fought","archibald","thousand","run","queens","settle","senecæ","holidays","french","représentée","scripture-hints","shewing"
"17","admit","devout","illustrated","fast","memis","heraldry","libre","anointing","eclipse","curious","anchorage","prosecutors","earliest","calculating","gentlemans","whole","considerd","turned","argyle","payment","doors","described","louisbourg","troades","misses","england","fois","hearer","together"
"18","vicious","holy-days","george","spanish","marishal-college","craftiness","lest","crowning","prejudicial","lodge","cuba","monsters","knt","forty-two","tradesmans","john","conquest","mashalls","question","limited","neatly","painting","advocate","bennet-college","instruction","english","lundi","polyglott","jemmat"
"19","vowels","abbreviated","new","blessing","recollections","sweet-heart","trop","inthorning","telescope","rosciad","porto-rico","perspicuous","deduced","new-invented","gardens","jemmat","gold","trained","martinico","preventing","architect","school","victualling","inspiration","amusement","letter","mars","marshall","honouring"
"20","consonants","especial","jemmat","annual","admit","dnivernois","remarques","proclaiming","lunar","nations","bahama","refer","peers","hydrostatics","plain","honouring","supposed","bands","keith","effectual","honble","guide","seem","chief","represented","account","traduit","sandeman","p.b"
"21","diphthongs","fraction","honouring","society","vicious","unfashionable","imprimées","counter-feiting","computing","prints","ebbing","searching","continued","pneumatics","president","p.b","regard","alderman","anecdotes","seven","prophets","examples","resided","bexley","pocket","jemmat","acte","rellys","paraguay"
"22","grates","bitherto","p.b","societies","vowels","determinate","manifeste","uncommon","nature","majority","barbadoes","clouded","arms","outlines","examples","paraguay","sorts","strumpet","extend","flour","britannia","engraved","breton","bones","ever","honouring","monsieur","resisted","muratori"
"23","spittlefields","undiscovered","paraguay","french","consonants","substantive","a-y","narrative","orbit","travels","hispaniola","villany","accounts","a.d","directions","muratori","plates","rob","campbell","amend","gothic","instructions","nova","dry","horses","p.b","favart","misleading","expounded"
"24","lime-street","statings","muratori","offered","diphthongs","adjective","fitz-giggo","cocks","verified","performed","rocks","actress","extraordinary","transit","accompt-book","expounded","copper-plates","west-country-travelers","armies","exportation","elevations","historical","actors","debtor","drawn","paraguay","tome","theron","dispensing"
"25","waston-favell","confind","expounded","fingal","grates","butley","overture","piracy","reflecting","copper-plate","bays","wilful","including","analogy","desk","dispensing","never","worecestershire","chelsea","georgii","mary-hill","sir","garrison","dove","known","muratori","servir","aspasio","episcopacy"
"26","45th","unattempted","dispensing","opera","spittlefields","commented","burlesquo","kitty","comets","pretty","bermudas","astonish","joseph","determining","justice-hall","episcopacy","view","aforefaid","a.m","sixty","allusion","explained","forces","righteousness","copper","expounded","mémoires","hervey","arcana"
"27","galleys","arithmetic","episcopacy","memoirs","lime-street","apocrypha","butiad","tryd","exemplified","letter","caribbee","considers","compiled","moons","mile-end","arcana","useful","118","among","britain","newington","others","1745","replevins","masters","dispensing","premier","antichrist","readings"
"28","willington","monitor","arcana","langhorne","waston-favell","logic","j-n","mitchell","theory","free-masonry","dellawar-bay","convicted","authentic","mechanical","warburtons","readings","together","148","wars","continuing","methodists","young","interesting","mercatorum","plates","episcopacy","lenglet","unsettled","midwifes"
"29","pomp","single","readings","collegii","45th","extensive","w-s","cupids","spectacles","cocoa-tree","head-lands","accomplice","publick","motions","elegant","midwifes","time","160","interspersed","malt","propagation","description","juncture","scissorum","engraved","arcana","ouvrage","above-mentiond","memis"
"30","immortalities","litanies","midwifes","dramma","galleys","surveying","m.dcc.lxiv","bastile","compound","voyages","antigua","get","times","venus","rules","memis","england","122","considerations","within","architecture","illustrated","new-england","catcott","good","readings","vie","apostles","marishal-college"
"31","urging","churchs","memis","human","willington","algebra","elephant","linnen","quadrant","wilkes","rivers","cox","principal","invented","course","marishal-college","english","1002","thro","allowing","philobiblian","jemmat","practices","liturgy","henry","midwifes","françois","whitfield","recollections"
"32","putrefying","counting-house","marishal-college","minister","pomp","belongs","leuisdors","hyde","benj","libels","shoals","agent","time","eclipses","prefixd","recollections","present","market-town","rebellion","passed","neutralities","honouring","thompson","creditor","eminent","memis","spectacles","desideratum","admit"
"33","forsters","days","recollections","elegies","immortalities","rhetoric","episode","tortures","comet","poem","flowing","gahagan","king","mechanics","method","admit","jemmat","chapmen","militia","hundred","britannick","p.b","port","sunday","companion","marishal-college","lhistoire","christ","vicious"
"34","alarms","pious","admit","john","urging","gunnery","chiefs","damien","vision","maps","navigators","diligence","william","cut","orthographical","vicious","honouring","chippingham","scots","meal","drawing-book","paraguay","seen","piers","kingdom","recollections","labbé","revival","vowels"
"35","barnstaple","honoured","vicious","1760","putrefying","botany","bagpiper","stepping","vulgarly","illustrated","newfoundland","watchfulness","english","distance","hill","vowels","p.b","sh","comet","regis","clerc","muratori","ports","olaves","world","admit","roi","7th","consonants"
"36","baller","justified","vowels","physician","forsters","dictionary","pe","coach","eyes","legality","new-england","convicting","present","solar","kalendar","consonants","paraguay","dulness","prussian","gracious","orbis","expounded","actual","justice","curious","vicious","1763","real","diphthongs"
"37","jesuitis","missions","consonants","cennick","alarms","fenning","e-soup-makers","tulagee","suns","masters","harbours","fory-three","jemmat","precepts","plants","diphthongs","muratori","prayer-book","representation","almanack","sculpsit","dispensing","harbours","hyde-park-corner","poem","vowels","jemmat","glass","grates"
"38","patroits","finding","diphthongs","pieces","barnstaple","theological","b-d-d","angria","optics","collection","recipes","thirdly","honouring","solids","navy","grates","expounded","thanksgivings","appeared","importation","dury","episcopacy","commanded","garland","variety","consonants","honouring","electricity","spittlefields"
"39","limehouse","weston","grates","capital","baller","poetical","stick","geriah","calculation","fellow-craft","enjoy","falsly","p.b","vegetable","verbs","spittlefields","dispensing","commemorated","lieutenant","acts","feuilles","arcana","critical","abridgments","james","diphthongs","p.b","gross","lime-street"
"40","trinity-sunday","rate","spittlefields","moses","jesuitis","perswasive","pin","summons","microscopes","lloyd","islands","verdict","paraguay","generation","pocket","lime-street","episcopacy","suffrage","curious","applying","incorporated","readings","cape","eyre","several","grates","paraguay","james","waston-favell"
"41","grammatices","reflections","lime-street","diseases","patroits","cosmogony","compassionate","imposing","single","stairs","courses","villains","muratori","schemes","polite","waston-favell","arcana","oh","nicholas","lands","copper-plates","midwifes","climate","exemptions","jemmat","spittlefields","muratori","cleared","45th"
"42","rudimenta","founded","waston-favell","christian","limehouse","gentoos","craike","charitably","opake","drury-lane","enlarged","eagan","expounded","lodge","grace","45th","readings","tabernacles","edinburgh","bissextile","drawing","memis","desirous","harvest","honouring","lime-street","expounded","heaven","galleys"
"43","novo","easter","45th","discourses","trinity-sunday","shastah","self-denial","inclind","aquatic","amusement","carolina","rewards","dispensing","rendered","courtship","galleys","midwifes","dorsetshire","establishing","leap-year","elsewhere","marishal-college","soil","disquisitors","p.b","waston-favell","dispensing","hope","willington"
"44","facillimo","reference","galleys","medical","grammatices","metempsychosis","jephson","paralytic","armillary","heraldry","new-jersey","black-heath","episcopacy","planets","old-bailey","willington","memis","covenants","prussia","com","bowen","recollections","charlotte","trinity-college","paraguay","45th","episcopacy","methodist","pomp"
"45","digesta","prayers","willington","philosophical","rudimenta","pythagorean","antidote","ld","spherical","polite","amplitudes","narrative","arcana","thence","affection","pomp","marishal-college","catherine","whether","purposes","cabinet-makers","admit","survey","marys","muratori","galleys","arcana","huntingdon","immortalities"
"46","escaping","feasts","pomp","essay","novo","j.z","allegorical","stabbing","globular","receipts","mountaine","jones","readings","analysis","messages","immortalities","recollections","hampshire","life","service","sackvilles","vicious","productions","sinners","expounded","willington","readings","times","urging"
"47","remnant","exceeding","immortalities","letter","facillimo","terræ-filius","airs","knox","dark","farce","logarithmic","accused","midwifes","isaac","terminer","urging","admit","oxfordshire","candid","securing","whitsunday","vowels","greater","references","dispensing","pomp","midwifes","animadversions","putrefying"
"48","rainbow","moral","urging","rector","digesta","cunning","political","trusty","shadow","queens","altitude","prosecution","memis","elements","discontents","putrefying","vicious","gloucestershire","scotland","money","oxford","consonants","artificial","preached","episcopacy","immortalities","memis","called","forsters"
"49","seaforces","obligation","putrefying","observed","escaping","ratification","met","imposter","optical","satire","halleys","worst","marishal-college","creation","nerves","forsters","vowels","garter","expedition","making","ornamental","diphthongs","tracts","strictures","arcana","urging","marishal-college","church","alarms"
"50","metropolises","licence","forsters","india","remnant","convey","bute","counterfeit","microscops","apprentice","logarithm","diabolical","recollections","easy","volatile","alarms","consonants","geometry","taking","ephemeris","dead","grates","ministry","epsom","readings","putrefying","recollections","refuted","barnstaple"
"51","philippians","synopsis","alarms","newcastle","rainbow","unite","mens","factor","improvments","tommy","sines","gang","admit","astronomical","defeated","barnstaple","diphthongs","cornwall","north","punishing","plato","spittlefields","references","bate","midwifes","forsters","admit","considered","baller"
