"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"1","act","account","act","new","act","act","new","state","new","act","act","containing","new","new","several","act","parliament","history","act","several","act","act","new","new","new","new","act"
"2","majestys","history","john","containing","law","history","containing","life","containing","preached","sermon","several","containing","church","act","duties","public","containing","court","act","history","miss","containing","containing","containing","containing","parliament"
"3","performed","present","account","several","letters","present","several","city","several","sermon","parliament","act","several","containing","account","certain","act","letter","lord","new","sermon","certain","several","several","several","several","england"
"4","theatre","added","history","act","session","young","act","majestys","act","majesty","preached","john","act","right","history","seven","thomas","letters","parliament","poem","use","di","act","act","act","act","english"
"5","majesty","parliament","present","john","reign","persons","john","parts","john","duties","majesty","account","account","collection","present","making","great","added","letter","young","court","curious","john","john","john","john","letters"
"6","duties","great","parliament","account","parliament","god","account","rev","account","reign","king","history","history","majesty","parliament","granting","register","lists","majestys","present","parliament","plates","account","account","account","account","added"
"7","therein","london","great","history","faith","concerning","history","together","history","sermons","register","present","present","life","great","almanack","french","poem","register","certain","majesty","letter","history","history","history","history","letter"
"8","collection","letter","london","present","majestys","different","present","complete","added","granting","lists","added","added","city","london","reign","lists","french","lists","persons","city","sixty","present","present","present","present","king"
"9","county","england","letter","added","king","ireland","added","thomas","parliament","thomas","edition","parliament","parliament","observations","letter","better","letters","complete","remarks","god","king","anecdotes","added","added","added","added","together"
"10","certain","royal","royal","parliament","scotland","parliament","parliament","register","great","christian","use","great","great","majestys","england","limited","britain","every","letters","different","register","signor","parliament","parliament","parliament","parliament","register"
"11","granting","lord","sermon","great","opera","corrected","great","lists","london","certain","offices","london","london","parts","english","session","john","royal","reverend","ireland","lists","hay-market","great","great","great","great","lists"
"12","reign","general","lord","london","revenue","subjects","london","remarks","letter","within","city","letter","letter","king","royal","therein","british","sermon","poem","best","preached","secret","england","london","london","london","several"
"13","within","public","preached","letter","universities","james","england","offices","england","therein","court","england","england","rev","sermon","intituled","houses","observations","parts","view","offices","poetry","english","letter","letter","letter","remarks"
"14","music","use","general","england","kingdom","particularly","english","george","royal","church","majestys","english","english","complete","lord","hundred","essay","description","history","variety","nature","papers","royal","england","england","england","offices"
"15","intituled","letters","public","english","third","four","royal","society","sermon","better","honourable","royal","royal","register","preached","majestys","proper","register","thomas","parliament","honourable","expunged","sermon","english","english","english","new"
"16","history","whole","letters","royal","life","list","sermon","britain","lord","preventing","church","sermon","sermon","french","general","behaviour","reverend","edition","variety","corrected","law","translators","lord","royal","royal","royal","useful"
"17","theatre-royal","court","whole","sermon","granting","notes","lord","honourable","preached","almanack","right","lord","lord","every","public","duty","book","illustrated","subjects","subjects","public","vain","preached","sermon","sermon","sermon","houses"
"18","time","church","court","lord","certain","manner","preached","law","general","majestys","army","preached","preached","lists","use","allowing","young","rev","four","description","easy","interpolations","general","lord","lord","lord","essay"
"19","present","william","church","preached","god","country","general","original","public","john","treatise","general","general","remarks","letters","exportation","persons","life","answer","james","houses","genuine","public","preached","preached","preached","various"
"20","covent-garden","time","right","general","baronets","america","public","useful","use","rev","lord","public","use","offices","court","importation","ireland","state","french","particularly","essay","administration","use","general","general","general","whole"
"21","drury-lane","collection","time","public","colonies","tables","use","illustrated","letters","importation","list","letters","letters","george","church","amend","view","remarks","state","four","book","politicks","letters","public","public","public","court"
"22","acts","state","collection","use","address","religion","whole","easy","whole","limited","notes","whole","court","method","william","sixty","letter","death","great","list","persons","original","whole","use","use","use","present"
"23","colonies","majesty","state","letters","occasioned","address","court","british","court","faith","law","court","church","society","right","annuities","four","method","america","country","right","political","court","letters","letters","letters","book"
"24","miss","life","majesty","whole","theatre","christ","church","houses","church","thursday","england","church","william","britain","time","signor","true","new","religion","great","corrected","opera","church","whole","whole","whole","god"
"25","better","city","life","court","good","house","william","essay","right","mentioned","principal","william","right","edition","collection","companion","english","variety","practice","america","subjects","conjectures","william","court","court","court","concerning"
"26","seven","observations","city","church","kings","westminster","right","various","collection","intituled","correct","right","time","honourable","state","little","kingdom","young","acts","tables","james","narrative","right","church","church","church","ireland"
"27","hundred","majestys","majestys","william","gospel","order","time","christian","state","allowing","theatre","time","collection","law","majesty","liberties","particular","account","particular","address","particularly","editors","time","william","william","william","corrected"
"28","commerce","parts","parts","right","thousand","practice","collection","death","majesty","gracious","reign","collection","state","illustrated","life","land","army","particular","army","house","list","honourable","collection","right","right","right","subjects"
"29","poem","king","king","time","lady","necessary","state","book","life","session","bishop","state","majesty","easy","city","parliament","years","music","curious","westminster","country","twenty","state","time","time","time","four"
"30","opera","rev","rev","collection","friend","kingdom","majesty","poem","city","sixty","1763","majesty","life","british","observations","granted","principles","curious","historical","order","america","copper","majesty","collection","collection","collection","answer"
"31","hay-market","together","together","state","state","army","life","young","observations","amend","common","life","city","houses","majestys","variety","duties","correct","considered","practice","tables","relating","city","state","state","state","notes"
"32","exportation","complete","thomas","majesty","seven","man","city","certain","majestys","seven","critical","city","observations","essay","parts","promoting","plan","considered","peace","necessary","christ","prints","observations","majesty","majesty","majesty","country"
"33","limited","thomas","register","life","protestant","curious","observations","persons","parts","hebrew","essay","observations","majestys","various","king","gracious","navy","corrected","treatise","acts","observations","defence","majestys","life","life","life","america"
"34","royal","register","french","city","diseases","historical","majestys","god","rev","request","earl","majestys","parts","christian","rev","world","samuel","member","duties","army","lord","teatro","king","city","city","city","religion"
"35","middlesex","every","every","observations","pamphlet","considered","parts","ireland","together","county","third","parts","king","proper","together","goods","correct","including","britain","old","majestys","sopra","rev","observations","observations","observations","address"
"36","execution","lists","lists","majestys","company","principles","king","best","complete","david","1761","king","rev","reverend","complete","time","offices","modern","edition","curious","necessary","gill","together","majestys","majestys","majestys","christ"
"37","di","remarks","remarks","parts","entertaining","duties","rev","view","thomas","ephemeris","officers","rev","together","death","thomas","knowledge","request","different","navy","historical","particular","cumberland","complete","parts","parts","parts","john"
"38","importation","offices","offices","king","particularly","plan","together","variety","register","1763","practical","together","complete","book","register","kings","relative","essay","sermon","considered","army","pieces","thomas","king","king","king","order"
"39","manufactures","george","nature","rev","genuine","laws","thomas","subjects","french","prayer","colonies","complete","thomas","poem","every","fifth","addressed","historical","correct","principles","man","duties","register","rev","rev","rev","containing"
"40","performd","nature","method","together","nations","county","register","particularly","every","promoting","session","thomas","register","young","lists","christian","earl","view","college","treatise","considered","addressed","french","together","together","together","practice"
"41","session","society","society","complete","speech","directions","french","four","lists","charge","almanack","register","french","certain","offices","ladies","last","nature","bishop","books","peace","ephemeris","every","complete","complete","complete","majesty"
"42","comedy","britain","britain","thomas","office","navy","every","list","remarks","reverend","sermons","french","every","persons","george","expunged","trade","celebrated","addressed","prefixed","performed","rappresentarsi","lists","thomas","thomas","thomas","short"
"43","cases","edition","edition","register","public","gentlemen","lists","answer","offices","longitude","christian","every","lists","god","method","translators","work","lady","modern","performed","parts","fashion","remarks","register","register","register","necessary"
"44","comic","law","honourable","french","among","samuel","remarks","manner","george","1764","chaplain","lists","remarks","concerning","society","vain","colonies","plan","rules","duties","rev","vindication","offices","every","french","french","acts"
"45","passed","original","law","every","wilkes","world","offices","country","nature","1761","john","remarks","offices","ireland","britain","interpolations","account","miss","john","royal","duties","passed","george","lists","every","every","kingdom"
"46","affairs","useful","original","lists","effectual","principal","george","true","method","securing","1764","offices","george","best","edition","imported","scotland","addressed","observations","directions","complete","inscribed","nature","remarks","lists","lists","army"
"47","political","illustrated","illustrated","remarks","form","sermon","nature","america","society","imported","sir","george","nature","variety","honourable","acts","music","notes","british","navy","laws","confessional","method","offices","remarks","remarks","old"
"48","foreign","easy","easy","offices","majesty","correct","method","tables","britain","appointed","collected","nature","method","corrected","law","selected","1769","john","officers","gentlemen","county","payment","society","george","offices","offices","considered"
"49","town","british","houses","george","preventing","college","society","religion","edition","service","nature","society","society","subjects","original","opera","words","authors","work","gentleman","thomas","colonies","britain","nature","george","george","peace"
"50","allowing","houses","essay","nature","performed","shewing","britain","act","honourable","duty","america","britain","britain","description","useful","sung","arts","various","session","principal","navy","session","edition","method","nature","nature","books"
"51","granted","essay","various","method","peers","reign","edition","christ","law","churches","annual","edition","edition","particularly","easy","hymns","thousand","engraved","almanack","correct","samuel","literature","honourable","society","method","method","prefixed"
"52","charles","various","christian","society","behaviour","holy","honourable","westminster","original","plantations","fellow","honourable","honourable","four","british","plain","annual","embellished","language","college","world","encouragement","law","britain","society","society","performed"
"53","papers","christian","proper","britain","drury-lane","bishop","law","order","useful","schools","revenue","law","law","list","houses","psalms","members","opera","chaplain","shewing","correct","speech","original","edition","britain","britain","adventures"
"54","raising","proper","reverend","edition","rev","request","original","practice","illustrated","thousand","public","original","original","answer","essay","editors","fellow","reflections","doctrine","theatre","theatre","gracious","useful","honourable","edition","edition","fifth"
"55","favourite","reverend","death","honourable","essay","subject","useful","short","easy","payment","appendix","useful","useful","notes","various","ships","revenue","eminent","companion","holy","request","cause","illustrated","law","honourable","honourable","index"
"56","york","death","book","law","psalms","common","illustrated","necessary","british","continuing","certain","illustrated","illustrated","country","christian","complete","commerce","writers","christian","bishop","french","coast","easy","original","law","law","hay-market"
"57","sixty","book","poem","original","writing","critical","easy","acts","houses","continue","god","easy","easy","true","reverend","within","1768","preached","king","subject","common","queen","british","useful","original","original","reason"
"58","india","poem","young","useful","power","plain","british","kingdom","essay","applied","adapted","british","british","america","death","cyder","1765","commerce","words","1763","natural","granting","houses","illustrated","useful","useful","behaviour"
"59","society","young","certain","illustrated","constitution","natural","houses","man","various","departed","explained","houses","houses","religion","book","devotions","jamess","series","discourse","common","relative","years","essay","easy","illustrated","illustrated","since"
"60","amend","certain","persons","easy","government","relative","essay","old","christian","wheat","britain","essay","essay","address","poem","favourite","extensive","occasioned","annual","critical","addressed","comic","various","british","easy","easy","contains"
"61","securing","persons","god","british","great","set","various","curious","proper","knowledge","concerning","various","various","christ","young","embellished","arithmetic","appendix","eminent","lord","person","proprietors","christian","houses","british","british","dialogue"
"62","astronomical","god","concerning","houses","dictionary","modern","christian","historical","reverend","parish-church","kalendar","christian","christian","house","certain","leap-year","countries","moral","complete","addressed","chiefly","taking","proper","essay","houses","houses","nation"
"63","signor","concerning","different","essay","westminster","rules","proper","considered","death","amending","lords","proper","proper","westminster","persons","wilkes","enquiry","manners","fellow","set","extracted","writers","reverend","various","essay","essay","real"
"64","thousand","different","ireland","various","prints","testament","reverend","books","book","exportation","psalms","reverend","reverend","order","god","regis","meditations","remarkable","revenue","earl","virtues","majesty","death","christian","various","various","substance"
"65","french","ireland","best","christian","intituled","hundred","book","prefixed","poem","version","rector","death","death","practice","concerning","mentioned","agriculture","theatre","political","testament","testament","command","book","proper","christian","christian","approved"
"66","abstract","best","view","proper","churches","third","poem","performed","young","georgii","thomas","book","book","short","ireland","evening","drawn","conduct","appendix","hundred","sixty","university","poem","reverend","proper","proper","journal"
"67","ephemeris","view","variety","reverend","making","1761","young","duties","certain","tate","works","poem","poem","necessary","best","charity-schools","languages","memoirs","lady","authors","june","copies","young","death","reverend","reverend","cuts"
"68","plantations","variety","corrected","death","doctrine","last","certain","plan","persons","brady","1762","young","young","acts","view","perry","women","system","adapted","third","general","britain","certain","book","death","death","father"
"69","regulating","subjects","subjects","book","request","trade","persons","laws","god","confession","duty","certain","certain","kingdom","variety","crown","lady","universal","explained","1761","authors","poem","persons","poem","book","book","importance"
"70","horses","description","description","poem","acts","containing","god","directions","concerning","substance","corrected","persons","persons","particular","corrected","salvation","relation","never","kalendar","trade","offered","memoirs","god","young","poem","poem","continued"
"71","commissioners","james","james","young","charles","preached","concerning","navy","different","effectual","short","god","god","army","subjects","new","provisions","critical","oxford","officers","experiments","epistle","concerning","certain","young","young","directions"
"72","britain","particularly","particularly","certain","theatre-royal","officers","different","gentlemen","ireland","regis","ladies","concerning","concerning","old","description","every","giving","language","called","work","husbandry","atlas","different","persons","certain","certain","navy"
"73","editors","four","four","persons","sung","work","ireland","samuel","best","charity-schools","publick","different","different","curious","james","collection","catalogue","considerations","knowledge","practical","militia","selected","ireland","god","persons","persons","articles"
"74","payment","list","list","god","ode","colonies","best","world","view","encouraging","gentlemans","ireland","ireland","years","four","anthems","twelfth","nations","psalms","colonies","1761","chaplain","best","concerning","god","god","improvement"
"75","adventures","answer","answer","concerning","man","session","view","gentleman","variety","exchequer","parish","best","best","historical","list","bissextile","necessity","pieces","songs","session","signor","sung","view","different","concerning","concerning","experience"
"76","fund","notes","notes","different","thoughts","war","variety","principal","corrected","gibbons","kingdom","view","view","considered","answer","paid","false","principles","rector","war","body","open","variety","ireland","different","different","mentioned"
"77","advantages","manner","manner","ireland","performd","table","corrected","correct","subjects","malt","academy","variety","variety","principles","notes","money","improved","whole","january","table","wednesday","kings-theatre","corrected","best","ireland","ireland","shewn"
"78","theatres","country","country","best","encouragement","almanack","subjects","college","description","prevent","considered","corrected","corrected","peace","manner","entertaining","spain","public","faith","almanack","theory","stamp","subjects","view","best","best","selected"
"79","cuts","true","true","view","promoting","member","description","shewing","james","use","pieces","subjects","subjects","treatise","country","sixth","adapted","friend","certain","member","philosophy","pietas","description","variety","view","view","evening"
"80","voyages","america","america","variety","common","others","james","theatre","particularly","com","four","particularly","description","books","america","america","explained","true","god","sermons","former","forth","james","corrected","variety","variety","learned"
"81","wheat","tables","tables","corrected","comedy","sermons","particularly","reign","four","politicks","answer","four","james","prefixed","tables","regulating","customs","inscribed","1767","master","occasion","importation","particularly","subjects","corrected","corrected","samuel"
"82","river","religion","religion","subjects","spiritual","occasioned","four","holy","list","saint","moral","list","particularly","performed","christ","conjectures","kalendar","charles","university","chaplain","accounts","limited","list","description","subjects","subjects","writing"
"83","hill","address","address","description","composed","master","list","bishop","answer","omitted","cases","answer","four","duties","house","vauxhall","allowing","interesting","ladies","doctrine","july","bottarelli","answer","james","description","description","care"
"84","mentioned","christ","christ","james","considered","language","answer","request","notes","ordination","within","notes","list","plan","westminster","1770","granted","sacred","richard","charles","families","boston","notes","particularly","james","james","interspersed"
