"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"1","rev","cartes","housekeepers","jemmat","plates","races","stored","war","baronagium","opera","maid","ferguson","ayliffe","snelling","synonymous","politicks","awards","act","pilot","simony","caledonian","sacrament","frowde","sewed","amusemens","lallegro","macbeth"
"2","sermon","géographie","isabella","yeo","run","true-born","overlove","cardinal","genealogicum","di","midnight","parallax","addenda","struck","muscles","history","elliot","duties","sea-coasts","gwennap","anti-ministerial","meditations","neville","lovemore","poétiques","pensieroso","society"
"3","john","topographiques","lyddel","catherine","designs","print","despair","campaigns","pedigrees","signor","tricks","projecting","indisputably","silver","carnest","literature","tenants","certain","capes","giffard","boot","christian","cork","cupids","légier","traduits","sculptures"
"4","gill","villes","chartres","miscellanies","horses","caledonian","cleverest","moulin","lineal","interpolations","rearing","7800","creditors","gold","promulgd","essay","magazines","granting","hudsons-bay","preparative","antidote","receiving","surprizing","1s","dixmerie","françois","encouragement"
"5","ryland","siéges","disney","plymouth","stallions","uproar","cupids","sartoris","sr","vain","managing","paradox","orphan","coins","mistook","martin","pursuit","majesty","amazones","powders","satiric","duty","escapes","eglington","moraux","milton","commerce"
"6","christ","batailles","mile-stones","admiral","rooms","none","messenger","scrope","segar","translators","spy","calculating","authenticated","tin","boeswillibald","fellow","hilary","reign","sands","repellent","poison","accompt-book","capt","prayer","philosophiques","crises","widows"
"7","preached","astronomiques","trial","memoirs","plans","scot","distress","castle-combe","edmondson","expunged","cheats","sun","concerns","russian","tubingen","mary-le-bow","endowments","majestys","delineating","pills","quartus","behaviour","manuscript","harry","contes","chalmers","manufactures"
"8","death","ancienne","compounding","daughter","jefferys","antidote","surprizing","kington","mowbray","editors","brewing","a.d","fairly","coinage","reckoned","bengal","dunstans","session","straits","inoculation","quintus","devotions","extraordinary","timothy","crises","poisons","laudable-society"
"9","faith","avee","sloper","prose","engraved","scotch","trusty","confluent","attested","hay-market","mihill","motions","opinion","tokens","girard","royal","law","limited","navigation","potts","gisbal","prayers","voyages","golden","chalmers","muir","banco"
"10","occasioned","hauteur","syren","verse","winners","satirical","witty","ogle","collateral","conjectures","shot","pneumatics","queries","legend","bones","bishop","pleas","intituled","headlands","reasoning","hyperborean","occasions","adventures","man","poisons","paisley","associated"
"11","lists","ueur","songster","crises","weights","shilling","knox","seat","herald","performd","sexes","james","originals","rarity","knowing","french","landlords","sixty","describing","punch","letter-press","desk","lady","heart","muir","sinai","moreings"
"12","priestley","chacune","collegiate","chalmers","architect","boot","love","re-published","garter","letter","breeding","mechanical","stated","fineness","jerom","und","arbitrators","therein","rocks","receipt","scourge","weeks","bishop","publishd","paisley","promulgated","maiden-lane"
"13","departed","pieds","summers","poisons","gothic","réponse","writer","michaels","descents","teatro","came","hydrostatics","case","billon","awaken","annual","submissions","better","havens","martins-le-grand","prints","closet","four","happy","sinai","heathens","promoting"
"14","ordination","pouces","receipts","muir","appellants","russe","uncommon","preparatory","evidences","rappresentarsi","receipts","analogy","interesting","appellations","antique","rousseau","precedents","importation","anchorage","layton","scotch","supper","parts","commonly","promulgated","axel","educated"
"15","doctrine","alas","travel","paisley","horse-matches","nest","amorous","germany","records","wilkes","branches","lunar","answer","parting","examen","ancient","barrister","allowing","cuba","articulation","tissot","arabian","life","ever","heathens","fredric","models"
"16","god","analyses","chearful","sinai","winner","libre","melancholy","inoculation","knt","bottarelli","cooke","transit","whole","assays","express","drury-lane","term","amend","hispaniola","vowel","medico-physical","stowe","letter","adventures","axel","cronstedt","charity-schools"
"17","confession","méthodes","theophilus","promulgated","match","lest","delightful","content","earliest","selected","curing","mechanics","public","leaden","believing","commons","reports","within","bermudas","consonant","fifty-three","devout","london","explanation","fredric","engestrom","artists"
"18","substance","traités","coloured","heathens","stakes","peu","pleasant","langton","originally","comic","turning","venus","john","farthings","classed","theory","inner","mentioned","porto-rico","analogous","triple","new","crises","price","cronstedt","pocket-laboratory","engravings"
"19","ministers","sphéres","moore","axel","loosing","trop","sundry","pox","deduced","sopra","martyrs","determining","crises","halfpence","truth","chaplain","raymond","seven","bahama","ealso","conciliad","seamen","chalmers","love","engestrom","som","yearly"
"20","gospel","sols","rape","fredric","winning","imprimées","histories","communion-office","extraordinary","poem","betty","machine","chalmers","jettons","justly","medical","cases","gracious","dellawar-bay","conveniency","tertius","gibbons","poisons","age","pocket-laboratory","costa","christ-church"
"21","whitefield","broché","saxon","cronstedt","1751","manifeste","newly","scropes","accounts","embellished","farrier","precepts","poisons","counters","statues","langhorne","romaine","parliament","ebbing","joining","masturbation","use","muir","jesus","som","repute","parish-church"
