"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28"
"1","act","new","act","act","act","act","new","court","act","new","act","new","new","act","act","parliament","act","new","act","containing","parliament","act","new","new","new","parliament","lord","john"
"2","john","act","parliament","certain","county","london","act","america","majesty","act","present","act","act","parliament","majesty","london","parliament","act","certain","rev","london","britain","act","act","act","complete","act","parliament"
"3","parliament","majestys","complete","majesty","certain","great","containing","english","certain","containing","public","containing","containing","complete","duties","present","london","containing","within","new","present","law","containing","containing","containing","state","preached","london"
"4","present","offices","law","majestys","duties","several","john","rev","preached","john","state","john","parliament","britain","reign","public","present","john","granting","english","public","certain","john","john","john","general","sermon","present"
"5","public","correct","britain","commissioners","british","history","parliament","sermon","sermon","parliament","history","parliament","london","observations","certain","great","public","parliament","reign","life","added","majesty","parliament","parliament","parliament","history","county","public"
"6","great","whole","royal","within","time","court","london","britain","church","london","lord","london","present","new","within","added","state","london","duties","death","account","parliament","london","london","present","law","letter","great"
"7","complete","list","present","granting","lords","america","present","society","county","present","law","present","public","correct","granting","account","general","present","intituled","history","complete","lord","present","present","public","letters","session","added"
"8","royal","certain","majesty","intituled","therein","rev","public","preached","reign","public","letter","public","added","certain","commissioners","complete","history","public","time","sermon","royal","great","public","public","great","william","within","account"
"9","state","right","court","parliament","granting","sermon","great","ireland","duties","great","letters","great","account","every","therein","royal","lord","great","cuts","account","state","revenue","complete","great","added","america","earl","complete"
"10","england","every","america","county","better","britain","added","majesty","better","added","court","added","complete","revenue","goods","state","law","added","majesty","description","several","session","royal","added","account","sermon","god","royal"
"11","history","collection","offices","acts","commissioners","parliament","account","majestys","granting","account","william","account","royal","register","lists","several","letter","account","almanack","letters","england","list","state","account","complete","britain","majestys","state"
"12","observations","revenue","correct","therein","thousand","society","complete","offices","intituled","complete","parliament","complete","state","majestys","prize","general","letters","complete","thousand","various","history","observations","general","complete","royal","society","town","several"
"13","law","sir","list","duties","within","preached","royal","correct","lords","royal","rev","royal","several","america","almanack","england","court","royal","theatre","useful","law","majestys","england","royal","state","preached","commissioners","general"
"14","letter","city","certain","reign","country","ireland","state","list","history","state","sermon","state","general","english","states","lord","rev","state","better","variety","letter","america","lord","state","several","theatre-royal","observations","england"
"15","letters","george","ireland","better","majestys","majestys","several","life","kings","several","society","several","england","state","duty","observations","sermon","several","limited","complete","court","baronets","observations","several","general","case","lady","history"
"16","particularly","register","revenue","mentioned","number","public","general","certain","parish","general","preached","general","history","list","court","law","society","general","county","curious","america","offices","law","general","england","physicians","answer","lord"
"17","death","house","city","performed","great","offices","england","right","present","england","majesty","england","lord","history","better","letter","laws","england","therein","preached","english","commissioners","letter","england","lord","hundred","royal","observations"
"18","court","british","register","almanack","parliament","correct","history","remarks","reverend","history","offices","history","observations","king","intituled","court","variety","history","plays","london","sermon","within","letters","history","observations","historical","sunday","law"
"19","member","use","new","limited","order","list","lord","revenue","christ","lord","list","lord","law","court","limited","william","government","lord","allowing","every","society","theatre-royal","court","lord","law","ireland","parish","letter"
"20","years","county","london","session","intituled","life","observations","sir","seven","observations","certain","law","letter","annual","table","america","within","observations","seven","consisting","preached","royal","william","observations","letter","directions","celebrated","letters"
"21","1783","scotland","county","making","making","certain","law","edition","observations","law","revenue","letter","letters","theatre","thousand","english","theatre-royal","law","appeals","john","ireland","county","english","law","letters","commons","reign","court"
"22","lady","together","houses","right","passed","right","letter","time","mentioned","letter","royal","letters","court","added","importation","rev","preached","letter","bells","society","majesty","ships","rev","letter","court","1777","principles","america"
"23","modern","honourable","majestys","britain","saint","remarks","letters","city","saint","letters","sir","court","william","session","mentioned","sermon","case","letters","mentioned","poem","majestys","letter","sermon","letters","william","proper","theatre-royal","english"
"24","officers","various","performed","opera","captain","revenue","court","church","preventing","court","city","william","america","containing","parliament","britain","physicians","court","goods","entertaining","thomas","public","preached","court","america","samuel","trade","sermon"
"25","civil","notes","baronets","hundred","lady","sir","william","register","society","william","church","america","english","present","embellished","society","hundred","william","gracious","whole","offices","kalendar","majesty","william","english","ships","february","britain"
"26","old","different","james","hay-market","britain","time","america","house","honourable","america","george","english","sermon","reign","entertaining","preached","historical","america","payment","ladies","correct","right","majestys","america","rev","god","therein","preached"
"27","1776","king","lists","importation","goods","city","english","british","french","english","register","rev","britain","army","hundred","ireland","authors","english","money","literature","whole","duties","thomas","english","sermon","four","granting","ireland"
"28","america","houses","annual","ships","session","register","rev","parts","view","rev","house","sermon","society","principles","god","majesty","directions","rev","continuing","modern","list","high","offices","rev","britain","town","view","majesty"
"29","henry","addressed","theatre","preventing","royal","house","sermon","county","william","sermon","county","britain","preached","war","county","majestys","commons","sermon","preventing","best","certain","therein","correct","sermon","society","answer","honourable","majestys"
"30","taken","plan","including","goods","parish","royal","britain","scotland","therein","britain","poem","society","ireland","collection","town","thomas","proper","britain","esteemed","christ","right","f.r.s","whole","britain","preached","majesty","intituled","thomas"
