"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28"
"1","lie","tyler","wesley","worship","almanack","dalrymple","polite","builders","bells","principj","surveys","incas","cayley","charity-schools","literature","paper-makers","longitude","privée","earls","act","ludlow","comédie","bampsylde-moore","rupert","lowellin","garrick","lowellin","leyden"
"2","shopkeepers","withers","swedenborg","sermon","bissextile","turc","drawing","pain","esteemed","salvatore","bowless","marmontel","cornelius","promoting","read","cents","nautical","principaux","reay","certain","burgess","acte","careu","aged","iscariot","commonable","rolliad","erroneousness"
"3","carriers","masonry","superintendent","preached","leap-year","memoir","artists","circular","plays","bertezen","pilot","prʹecis","echo","educated","politics","chronicles","almanac","particularités","dukes","majesty","attack","assisted","gipsies","eleven","perdition","alleyn","criticisms","incongruity"
"4","coasting","reaches","extract","testament","diary","hindoostan","branches","squaring","consisting","musica","gulf","decadence","loving","yearly","view","confucius","astronomical","événemens","b-l","duties","freeholder","actes","gentlewomen","plot","rambler","lorateur","wild","endued"
"5","write","masonic","conference","life","wing","actuellement","arts","golden","theatre","della","sailing","atheronome","kindness","parish-church","topographica","exactly","hudsons","regne","s-","granting","peacocke","embellished","ruined","secret","judas","morceaux","jenkins","self-determination"
"6","potatoes","embelished","madeley","young","atlas","rennell","repository","measuring","adultery","di","jefferys","lempire","beloved","christ-church","bibliotheca","cawte","amazones","louis","s-h","within","cashiered","whole","typo","green","tedious","inclosing","misses","endeavoured"
"7","stage-coaches","aquaintas","fletcher","ladies","ouranios","prof","fitzgerald","carpenters","cibber","masonry","actual","perou","well-pleased","markham","history","chinese","dellawar","vie","gurney","reign","hight","new","p.t.m","months","betsey","choisies","uninhabited","drax"
"8","goods","lodges","baltimore","rev","merlinus","moguls","magazine","rule","comedies","reaches","channel","historiographe","forgiveness","preached","society","excursions","ephemeris","ʹevʹenements","honorable","county","anglesea","work","excessive","eight","undone","tirés","honours","remarker"
"9","assistant","janitor","methodist","departed","liberatus","suivie","exhibiting","carpentry","tragedies","masonic","biscay","quarante","-love","sermon","amendment","paine","logarithmic","règne","list","intituled","salop","universal","shapes","tragedy","astonishing","curiosity","admirable","fisher"
"10","standard","arch-chapter","emanuel","death","olympia","chambres","miscellanies","104","wife","embelished","labradore","destruction","-obey","trustees","antiquities","academic","headlands","corrigée","cu-d","therein","valetudinarians","représentée","tiverton","december","blockade","auteurs","states","resembles"
"11","stairs","fuller","calvinists","watts","dōmata","rigaud","principles","kings-arms","vanbrugh","aquaintas","laurence","londre","seal","parishioners","signor","stationers","bay","augmentée","gr-n","better","sentenced","complete","attachment","1776","september","northampton","cuts","evidently"
