"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1","act","act","act","containing","present","act","new","new","act","new","new","act","royal","new","act","new","royal","act","new","act","act","act","new","new","act","act","act","act","act","act"
"2","parliament","list","majesty","letter","royal","observations","containing","containing","royal","act","containing","parliament","parliament","act","john","containing","parliament","certain","containing","john","parliament","parliament","containing","containing","rev","house","john","certain","john","royal"
"3","law","certain","certain","history","parliament","present","act","act","letter","john","act","revenue","added","john","edition","act","added","within","act","london","public","list","act","act","general","letter","royal","majesty","present","new"
"4","revenue","law","commissioners","whole","great","majesty","john","john","george","london","john","offices","account","london","honourable","john","account","duties","john","royal","state","acts","john","john","society","church","parliament","present","parliament","history"
"5","court","offices","duties","observations","several","certain","london","london","society","present","london","complete","great","present","every","london","several","granting","london","parliament","complete","correct","london","london","great","county","great","duties","rev","majesty"
"6","observations","correct","granting","account","state","william","present","present","county","royal","present","law","rev","royal","together","present","public","reign","present","rev","royal","offices","present","present","sermon","commons","rev","reign","public","observations"
"7","certain","parliament","within","rev","history","reign","royal","royal","sermon","parliament","royal","britain","state","parliament","present","royal","state","church","royal","several","england","duties","royal","royal","letter","lords","public","time","state","house"
"8","britain","scotland","intituled","every","england","society","parliament","parliament","certain","added","parliament","baronets","history","great","acts","parliament","history","intituled","parliament","state","court","plan","parliament","parliament","letters","death","state","house","england","county"
"9","college","1784","therein","various","complete","better","added","added","letters","account","added","ireland","england","several","sir","added","england","county","added","complete","right","houses","added","added","william","great","england","commons","general","society"
"10","public","whole","goods","new","william","french","account","account","preached","great","account","register","complete","public","different","account","complete","therein","account","observations","general","last","rev","account","preached","time","new","commissioners","law","certain"
"11","baronets","ireland","limited","added","lord","essay","great","great","right","rev","great","present","observations","state","including","great","observations","limited","great","william","list","within","public","great","lord","reign","complete","majestys","society","letters"
"12","state","majesty","prize","life","law","member","rev","rev","acts","several","rev","certain","lord","history","houses","rev","lord","sermon","several","lord","new","certain","state","rev","right","lord","william","within","sermon","acts"
