"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1","harrisons","d-","topographica","act","lock","shakspere","clean","vinson","almanack","artists","bertezen","huntington","rose","seventieth","dunn","privée","-love","commons","theocritus","hieroglyphick","teachwell","politics","bampsylde-moore","verture","stations","deg","williams","dalrymple","lowellin","catholics"
"2","pigeons","b-","britannica","certain","alfreds","steevens","nothing","define","bissextile","likenesses","principj","gospel","stay-makers","underscribed","linear","principaux","-obey","fox","polwhele","familiarize","childs","literature","careu","sixpence","steels","fieldings","finds","sermon","vermin","catholic"
"3","classicks","dixon","read","majesty","well-doing","commentators","blessing","indisposed","diary","drawing","salvatore","chapel","bromhead","reserences","formula","particularités","cayley","pindar","orator","tender","girls","bankes","gipsies","piano-forte","destroyed","south","writes","preached","silks","challoner"
"4","lie","royalty","bibliotheca","duties","augustustus","bells","meditation","399","leap-year","branches","musica","s.s","acre","catalogue","longtitude","vie","faith","major","thirty","emblematical","little","annual","shapes","oratorio","pilot","anglers","sends","worship","colours","complin"
"5","universal","goodmans-fields","antiquities","within","mildred","sam","wish","theobalds","atlas","repository","experiemnts","christ","winlaw","monthly","sines","événemens","moreau","burke","translator","evangelists","boys","view","tiverton","shillings","ships","dhe","falls","dissenters","uninhabited","mass"
"6","carriers","well-street","history","reign","bread-street","geo","briefly","chimney-sweeper","womans","exhibiting","worms","providence","margaret-street","characterized","secants","regne","waring","sir","fourth","ideas","primrose","throughout","twice","nouveau","amazones","finsbury","robbing","protestant","jenkins","chant"
"7","shopkeepers","delpini","holcroft","granting","charity-school","annotations","fight","oxford-street","wing","polite","possibility","swedenborg","purling","ayscough","sights","louis","motto","novel","book","diverting","prettyface","persecutions","leaving","messiah","headlands","contemplations","ann","watts","admirable","vespers"
"8","magazine","m-s","royal","intituled","lady-day","trial","duty","widow","ouranios","fitzgerald","della","titchfield-street","annixed","reviews","formulas","ʹevʹenements","varmouth","house","richard","represented","show","dixton","electing","harpsichord","dellawar","constable","lowellin","memoir","wild","pilling"
"9","assisted","personages","cuts","county","todd","thaley","neighbour","commentaries","coelestial","arts","di","minister","brigade","booksellers","versed","manuscrits","impossibilities","bengal","subjects","testaments","amusement","history","cant","sentimental","lost","swedish","plowing","barth","handmaid","carroll"
"10","wesley","p-","herschel","commissioners","peter-street","arrangement","forth","deceased","olympia","miscellanies","climate","assistants","stationed","index","sea","ornée","ivth","letter","various","figures","amuse","register","mendicants","voyage","list","225","weeding","christian","pismires","barnard"
"11","new","harpsichord","embellished","better","crispin-street","adultery","sight","medical","dōmata","magazine","food","chiefs","cawnpore","compiler","tangents","augmentée","discouragement","hastings","english","early","cottager","apostrophes","beggars","price","navy","holland","enriching","rev","bird-lime","devotion"
"12","prologues","l-","preceptor","therein","steven","johnson","heart","road","tycho","biography","silk","rev","frisky","inserted","longitude","règne","vth","bill","letters","pleasing","juvenile","navigators","entering","songs","hieroglyphical","hot-walls","weasels","college","rosin","venerable"
"13","epilogues","braham","pocket","limited","russel-street","bailey","christians","bath","fair-sex","lectures","perfection","god","dallas","pamphlets","shortening","lauteur","vith","signor","rev","topography","children","decorated","motives","haime","emblems","methodism","pole-cats","woolnoth","ironmoulds","prayers"
"14","gentlemen","l-d","english","preventing","concordance","doctors","serious","subjoined","merlinus","principles","metropolis","divine","engine","review","cotemporary","édition","ladyship","regency","haime","matchless","story","elegies","fifteen","freemans","commanders","lettsom","badgers","thinking","faded","blessed"
"15","publishing","bannister","daily","appeals","benefactors","waggons","secure","health","liberatus","frontispieces","kinds","preach","holiday","size","latitude","corrigée","viith","greenwood","freemans","comprehends","renowned","monmouthshire","great","methodists","curiously","philological","otters","denman","3000","litanies"
"16","whole","w-","french","prize","easter-day","astrology","set","character","brady","authenticity","brought","monkwell-street","implements","names","logarithms","anecdotes","believe","parliamentary","methodists","bible","delightful","discoverer","related","midst","sea-coast","universalist","wasps","discourses","driven","proses"
"17","cyclopædia","leoni","classed","regulating","scots","hodgson","die","mary","tate","surveys","founded","jerusalem","resolutions","article","teacher","nouvelle","cornelius","pitt","midst","subjoined","pretty","circumnavigators","appeared","beelzebubs","aenigmatical","fish","snails","testament","traffick","debra"
"18","towle","wreck","naughty","saint","discharged","wife","soul","cases","partridge","popular","given","nova-scotia","muses","manuscripts","moon","roi","laborious","committee","beelzebubs","lives","truelove","votes","king","new-birth","suppress","tombs","pisinires","christ","fowls","laitys"
"19","coasting","independance","experiments","amend","co-pastor","barges","god","adapted","diversion","illustrious","near","emanuel","cavendish-square","museum","accuracy","portrait","suffer","speech","new-birth","amusement","jennet","hemispheres","life","canzonets","prophaneness","mightinesses","spiders","death","valleys","obituary"
