"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1","act","containing","history","present","history","new","containing","present","new","act","new","king","act","act","new","act","act","new","act","act","new","new","act","act","act","act","england","new","act","new","act","act","act","containing"
"2","present","act","general","rev","general","containing","letter","london","containing","addressed","containing","complete","certain","certain","act","state","rev","containing","parliament","john","britain","containing","john","present","county","parliament","parliament","containing","new","act","present","county","preached","act"
"3","royal","present","william","royal","william","act","french","added","act","1794","act","britain","majesty","within","john","royal","account","act","certain","rev","majesty","act","present","rev","certain","majesty","observations","act","general","john","rev","majesty","church","john"
"4","history","rev","sermon","history","sermon","john","rev","great","john","city","john","majesty","county","songs","present","parliament","william","john","present","london","english","john","rev","london","majesty","revenue","lord","john","containing","present","history","revenue","majesty","present"
"5","england","london","england","general","england","present","history","history","present","parts","present","collection","within","making","london","complete","sermon","rev","majesty","added","france","present","london","added","duties","law","state","present","parliament","added","general","within","sunday","rev"
"6","parliament","added","parliament","letter","parliament","rev","john","general","rev","death","rev","france","making","canal","added","general","preached","london","house","royal","house","rev","added","royal","chapel","britain","church","rev","present","royal","account","list","sermon","london"
"7","lord","together","preached","william","preached","london","addressed","account","london","honourable","london","house","canal","sung","great","public","several","added","history","great","remarks","london","royal","great","1792","duties","society","added","french","great","letter","complete","county","royal"
"8","french","1795","observations","sermon","observations","added","added","letter","added","ireland","added","court","granting","duties","history","court","french","royal","reign","history","list","added","great","general","improvement","county","law","royal","state","general","william","offices","present","great"
"9","county","ireland","several","preached","thomas","royal","people","william","royal","songs","royal","list","intituled","intituled","general","list","county","great","acts","general","act","royal","history","account","particular","offices","right","great","law","account","sermon","certain","william","history"
"10","church","songs","lord","houses","public","great","thomas","sermon","great","college","great","british","town","granting","account","county","present","general","commons","account","british","great","general","letter","death","majestys","complete","history","royal","letter","royal","reign","general","general"
"11","law","college","french","trade","state","history","observations","england","history","persons","general","whole","regulating","town","letter","acts","letters","account","complete","letter","use","account","letter","william","reign","observations","britain","general","life","william","parliament","law","english","account"
"12","right","notes","public","charles","county","general","letters","parliament","general","performed","account","use","therein","sermon","william","remarks","king","letter","within","william","address","letter","william","sermon","natural","present","majesty","account","king","england","preached","baronets","rector","letter"
"13","britain","persons","state","answer","church","account","young","preached","account","parish","letter","act","better","duets","england","certain","english","william","session","sermon","james","england","sermon","england","peace","1794","collection","letter","britain","parliament","observations","annual","duties","sermon"
"14","majesty","performed","church","1791","society","letter","new","observations","letter","scotland","william","address","reign","majesty","parliament","london","john","sermon","law","england","1793","parliament","england","parliament","parish","within","france","william","english","observations","french","duties","college","parliament"
"15","france","great","law","called","law","william","whole","several","william","people","sermon","james","navigable","reign","observations","performed","george","parliament","revenue","preached","acts","observations","parliament","preached","near","french","house","sermon","history","several","state","granting","reign","preached"
"16","house","parish","right","india","right","sermon","man","lord","sermon","america","england","1793","maintaining","therein","lord","english","british","preached","offices","observations","various","several","preached","observations","annual","session","court","england","france","lord","county","register","certain","observations"
"17","list","scotland","letters","lord","letters","england","france","french","england","young","parliament","acts","limited","county","french","british","general","observations","making","several","every","lord","observations","lord","persons","reign","remarks","parliament","court","french","society","kalendar","bishop","lord"
"18","great","people","life","political","life","parliament","original","public","parliament","different","preached","various","spirits","church","thomas","offices","time","several","performed","lord","edition","french","lord","french","within","members","list","observations","remarks","thomas","right","session","chapel","french"
"19","george","america","king","historical","king","preached","account","state","preached","commons","observations","original","amend","navigable","public","correct","use","lord","register","french","certain","thomas","french","thomas","register","baronets","george","lord","british","public","letters","psalms","right","thomas"
"20","use","young","complete","christ","complete","observations","death","county","observations","man","several","view","gospel","age","state","chapel","address","french","correct","thomas","short","public","thomas","public","minister","state","whole","french","whole","state","life","therein","practice","public"
"21","elegant","different","britain","subject","britain","several","english","church","several","country","lord","john","continue","repository","county","april","letter","thomas","intituled","public","1794","state","public","state","canal","1795","time","thomas","majestys","church","king","making","states","state"
"22","family","commons","majesty","intended","majesty","lord","friend","society","lord","sunday","french","certain","june","limited","church","reign","james","public","commissioners","state","city","county","state","county","lords","college","use","public","acts","society","britain","india","john","county"
"23","lists","man","english","register","france","french","authentic","law","french","1790","thomas","short","building","approved","society","appendix","majestys","state","county","county","parts","church","county","church","embellished","national","address","state","original","law","collection","lists","charles","church"
"24","constitution","country","france","relative","house","thomas","every","right","thomas","offices","public","addressed","duets","rev","law","laws","acts","county","houses","church","death","law","church","society","agriculture","universities","james","county","observations","right","france","college","james","right"
"25","states","sunday","house","principal","remarks","public","life","letters","public","1788","county","1794","passed","mentioned","right","westminster","every","church","granting","society","including","right","law","law","third","company","1793","society","view","letters","house","parish","chaplain","letters"
"26","conduct","offices","court","friend","list","state","remarks","king","state","correct","church","city","almanack","spirits","letters","revenue","certain","society","scotland","right","together","letters","right","right","therein","list","acts","law","certain","life","court","canal","use","life"
"27","duty","1788","remarks","christian","george","county","novel","complete","county","chapel","society","parts","river","miss","king","duties","short","law","regulating","letters","1795","life","letters","letters","kalendar","intituled","various","right","short","king","remarks","time","united","king"
"28","eminent","chapel","list","minister","british","church","occasioned","britain","church","royal","law","death","majestys","maintaining","complete","majestys","addressed","right","speech","life","ireland","king","life","life","ladies","canal","edition","letters","addressed","complete","list","city","rights","complete"
"29","high","subjects","british","richard","whole","society","trial","majesty","society","great","right","honourable","company","preached","britain","houses","1794","letters","public","king","songs","complete","king","king","francis","granting","certain","life","city","britain","george","town","illustrated","britain"
"30","majestys","sir","whole","order","use","law","sermon","collection","law","1792","letters","1795","cleansing","passages","majesty","answer","together","life","kalendar","complete","college","britain","complete","complete","respecting","agriculture","short","king","parts","majesty","british","intituled","intituled","majesty"
"31","dedicated","april","time","war","address","right","curious","france","letters","subjects","life","ireland","enable","life","english","political","1795","king","ireland","britain","notes","majesty","britain","britain","peter","india","addressed","complete","including","english","time","ireland","select","english"
"32","october","reign","address","making","james","letters","`","house","life","sir","king","songs","parliament","streets","collection","right","good","complete","canal","majesty","persons","english","english","majesty","collected","lord","city","majesty","public","collection","address","regulating","rev","collection"
"33","essays","appendix","james","march","majestys","life","embellished","court","king","april","complete","college","peace","regulating","france","view","canal","britain","better","english","performed","collection","collection","english","april","kalendar","parts","english","county","france","james","use","granting","house"
"34","large","member","majestys","state","1793","king","true","remarks","complete","reign","britain","notes","removing","pindar","house","register","covent-garden","majesty","town","collection","parish","france","france","collection","captain","commissioners","honourable","collection","notes","house","majestys","universities","psalms","court"
"35","duke","delivered","1793","theatre","acts","complete","description","list","britain","member","english","persons","importation","parish","court","town","strictures","english","therein","france","scotland","house","house","france","magazine","war","including","france","persons","court","acts","commissioners","commissioners","remarks"
"36","edward","poem","acts","principles","various","britain","repository","george","majesty","delivered","collection","performed","house","lady","remarks","order","others","collection","america","house","america","court","court","house","david","court","together","house","performed","remarks","original","britain","parish","list"
"37","1793","illustrated","various","anecdotes","every","majesty","paris","british","collection","poem","france","parish","1795","new","list","observations","benefit","france","theatre-royal","court","young","remarks","list","remarks","regulating","certain","1795","court","parish","list","view","preventing","literature","george"
"38","west","prefixed","original","god","view","english","christ","whole","france","illustrated","house","scotland","allowing","common","george","useful","military","house","navigable","remarks","different","list","george","list","discourse","time","ireland","list","scotland","george","public","1784","letter","whole"
"39","appointed","westminster","every","national","edition","collection","sung","time","house","prefixed","court","people","lighting","amusement","british","making","inhabitants","court","baronets","list","commons","british","whole","george","1795","right","songs","george","people","british","edition","better","honourable","time"
"40","natural","nature","view","chaplain","certain","france","lady","address","court","westminster","remarks","america","thousand","entertainment","whole","theatre","miss","remarks","royal","george","man","whole","time","british","hundred","regulating","college","british","young","whole","certain","church","navigation","use"
"41","service","revenue","1794","four","short","house","short","james","remarks","nature","list","young","repairing","adventures","time","national","remarkable","list","cases","british","henry","time","use","time","pindar","service","notes","whole","man","time","short","limited","improvement","address"
"42","gentlemen","last","city","robert","addressed","court","various","majestys","list","revenue","george","different","paving","chapel","address","french","mary","george","thousand","whole","country","use","address","use","considerations","catalogue","persons","time","country","use","addressed","correct","government","james"
"43","language","june","parts","reverend","1794","remarks","subject","1793","george","last","british","commons","huntington","entertaining","james","companion","lately","british","elections","time","sunday","address","james","address","tuesday","better","performed","use","offices","address","parts","amend","view","majestys"
"44","knowledge","duties","honourable","respecting","parts","list","address","acts","british","june","whole","man","jury","knowledge","majestys","places","thursday","whole","opera","use","1790","james","majestys","james","meeting","political","parish","address","letters","james","death","majestys","natural","1793"
"45","youth","essay","including","works","honourable","george","view","various","whole","duties","time","henry","enlarging","near","1793","1787","granting","use","officers","address","offices","majestys","1793","majestys","gospel","parish","scotland","james","subjects","majestys","including","anniversary","service","acts"
"46","acts","history","together","rights","including","british","gospel","original","time","essay","use","country","omitted","theatres","acts","paris","entertainment","address","europe","james","1788","1793","acts","1793","1794","report","people","majestys","years","1793","added","improvement","language","every"
"47","embellished","general","1795","1787","together","whole","reading","every","use","houses","address","sunday","gracious","vauxhall","various","names","plain","james","majestys","majestys","correct","acts","various","acts","christian","army","america","1793","sir","acts","college","maintaining","hints","view"
"48","practical","houses","ireland","moral","1795","time","jesus","view","address","trade","james","1790","amending","peter","original","revolution","consideration","majestys","almanack","1793","chapel","various","original","various","june","highness","young","acts","reign","various","law","importation","speech","edition"
"49","schools","trade","college","interesting","ireland","use","political","edition","majestys","charles","majestys","offices","charge","amend","every","majesty","seven","1793","parliaments","various","1792","original","every","original","whole","scotland","different","original","appendix","every","notes","scotland","revolution","certain"
"50","catalogue","charles","notes","religion","songs","address","memoirs","certain","1793","modern","1793","1788","report","saint","view","common","papers","acts","gentlemans","original","years","every","view","every","elegant","ireland","commons","every","laws","view","persons","sunday","within","short"
"51","holy","modern","parish","speech","college","james","review","short","various","description","acts","correct","exportation","better","edition","within","master","various","limited","every","sir","edition","edition","view","states","reform","man","view","poem","edition","performed","navigation","order","addressed"
"52","united","answer","scotland","paris","notes","majestys","modern","addressed","original","1791","various","chapel","payment","thousand","certain","trial","times","original","duties","view","april","certain","certain","edition","making","physicians","henry","edition","illustrated","certain","parish","publick","foreign","1794"
"53","tables","called","people","kingdom","persons","1793","gentleman","1794","every","called","original","1792","foreign","polite","short","wales","songs","every","court","edition","reign","short","short","certain","lady","lists","country","certain","prefixed","short","scotland","near","f.r.s","city"
"54","various","india","america","best","performed","acts","assembly","city","view","india","every","subjects","india","cleansing","addressed","select","divine","view","money","certain","appendix","addressed","addressed","short","preventing","clergy","sunday","short","complete","1794","america","chaplain","oxford","parts"
"55","agriculture","political","young","shewing","parish","various","including","parts","edition","political","view","years","trial","otherwise","1794","number","report","certain","foreign","short","member","1794","1794","addressed","1784","passed","1790","addressed","nature","city","young","exportation","better","death"
"56","november","historical","different","revolution","scotland","original","considered","death","certain","historical","edition","sir","sold","clergy","city","members","thousand","short","amend","addressed","delivered","city","city","1794","almanack","review","offices","1794","revenue","parts","different","trade","near","honourable"
