"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1","novel","moncrieffe","sabellianism","cheap","sion","bellman","ireland","année","witches","kollmann","ample","scales","opuscules","⁰","kotzebue","humes","downs","wragg","derriana","papacy","covent-garden","thefr","jennys","act","depositions","society","roachs","indian","philoctetes","almanack","pilot","mornings","mayor","catholic"
"2","gospel","coghlan","fossett","repository","learnoult","greenwood","list","bertrand-de-molleville","macleods","organist","publicans","protractor","poëtiques","wishers","pizarro","towers","channel","oboe","m.dc.lxxxviii","touch","theatre-royal","ench","jemmy","majesty","lodgings","promoting","history","bacon","lemnos","leap-year","surveys","bears","sheriffs","sundays"
"3","huntington","untimely","triebner","sunday","garrett","beadle","revenue","règne","augens","lodoiska","securely","meredith","lépitre","bnonaparte","jockey","kippis","nichelson","flute","derry","add-ing-tones","performed","davids","robin","certain","wilmot","almanac","rebuses","cantos","deference","bissextile","florida","toulmin","aldermen","rev"
"4","agrarian","lamentable","mansell","reading","p.r","mistresses","honourable","dernière","magicians","divested","landlords","dials","pere","committeed","drury-lane","proposal","weather","playing","patterson","lovett","comedy","arian","gray","reign","manuels","clergy","diseases","virtues","drovers","suns","sailing","meaning","lordship","rum"
"5","s.s","virtuous","munn","infants","cerevisia","lyceum","right","secrets","superintendency","storace","partiality","sector","lauteur","obadia","sheridan","superb","mens","preceptor","londonderry","productive","reynolds","unitarianism","jenny","granting","amour","anniversary","surgeon","satire","blakey","brady","perspective","mystery","jewry","vespers"
"6","monkwell-street","gallant","censure","shopkeeper","anglicana","theatre","intercepted","servir","pf","piano","bull-baiting","gunters","weed","requisitions","theatre","l.l.d","philippine","favorite","columbs","medley","crazy","publicola","woodman","intituled","drawing-room","sons","physician","play","wholesale","merlinus","laurie","earnest","liveries","indulgences"
"7","providence","tragical","sixtus","church","drink","auction","companys","mémoires","spritis","hoyle","salopian","marquois","tobacco-consumers","legislators","addressers","publishing","mollucca","tunes","london-derry","vegetation","frederick","golding","surrender","thousand","washborns","educated","inchbald","american","protected","liberatus","whittles","exeter","townley","sermon"
"8","wesley","ballad","vth","wealthy","recipe","pantheon","house","lhistoire","agency","science","codicils","proportional","freindly","decreed","brinsley","prospectus","banda","rendered","l:derry","millbank-row","grow","painswick","dibdins","making","belmore","charity-schools","diary","pitt","stable-keepers","tate","jefferys","lecture","lawrence","abstaining"
"9","manoah","major","consistory","story","slee","wilks","egypt","louis","tremendous","musical","legally","halstead","eyrre","forced","club","continuation","managing","airs","donegal","v.d.m","acts","brooksbank","barringtons","duties","ancram","bettering","charades","founded","adjudications","ouranios","labradore","joshua","recorder","laitys"
"10","jerusalem","daughter","cardinals","bragwell","davis","opera","india","weed","darkness","technical","warranted","optical","feareth","sovereigns","agriculture","andrew","ship","easy","tyrone","enlargement","operatic","goldings","paramata","county","enniskillen","rennell","new","six","denunciations","coelestial","gascoigne","applied","hutchins","complin"
"11","red-cross-street","end","1589","onesimus","myddelton","signor","correct","tobacco-consumers","malcolm","phrases","summed","compasses","obeyeth","prim","drama","history","foul","perfectly","catholicks","regicism","farce","cornelius","resolves","hundred","strangling","bishop","enigmas","age","offensive","olympia","blamey","word","revd","dominical"
"12","minister","american","king-killing","library","landlord","federici","commons","freindly","revelations","harmony","rent","parallel","walketh","contains","german","critical","westward","elucidated","siege","earth","bowles","tenets","finds","canal","kotzwarra","panopticon","medical","nature","subsidiary","dōmata","assistant-","assembly","honourable","septuagesima"
