"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"1","act","1799","john","act","act","act","act","act","act","act","act","act","act","act","act","london","act","act","act","john","act","act","act","history","french","majesty","act","act","containing","act","act","act"
"2","majesty","1798","containing","rev","right","new","new","thousand","new","parliament","thousand","new","french","new","majesty","great","new","new","majesty","containing","majesty","new","john","royal","containing","church","rev","john","present","rev","john","containing"
"3","certain","letters","present","royal","honourable","john","containing","majesty","john","1797","court","john","added","john","sermon","william","john","john","commissioners","rev","law","parliament","containing","account","history","act","french","present","london","london","present","present"
"4","july","law","rev","majesty","law","containing","present","church","containing","majesty","hundred","containing","honourable","containing","certain","french","containing","containing","noble","performed","certain","england","present","parliament","theatre","preached","parliament","rev","great","william","rev","great"
"5","session","history","london","1798","certain","present","london","sermon","present","containing","majesty","present","society","present","reign","added","present","present","german","king","county","containing","london","right","royal","history","right","london","general","account","great","william"
"6","parliament","act","french","containing","lords","rev","great","preached","rev","present","prize","rev","house","rev","church","history","rev","rev","duties","master","list","present","great","1797","letter","rev","sermon","great","history","parliament","william","french"
"7","right","certain","added","law","rev","london","william","certain","london","society","seven","london","george","london","duties","royal","london","london","certain","including","general","observations","william","england","account","thousand","1799","william","notes","right","french","added"
"8","granting","james","general","german","britain","great","french","hundred","great","acts","new","great","letters","great","july","account","great","great","reign","appendix","william","acts","french","majesty","society","hundred","historical","french","correct","sermon","added","general"
"9","appeal","june","history","acts","master","william","added","sunday","william","court","reign","william","british","william","commissioners","parliament","william","william","lords","address","state","court","added","1798","new","letters","december","added","reign","1799","history","history"
"10","duties","march","account","george","hundred","general","general","called","french","history","appeals","french","time","french","preached","right","french","french","causes","french","hundred","british","general","lord","novel","june","april","history","sunday","1796","royal","royal"
"11","honourable","july","right","parliament","ireland","history","history","intituled","added","law","duties","added","german","added","1796","sermon","added","added","thousand","whole","use","time","history","britain","songs","1796","register","royal","war","majesty","subjects","account"
"12","intituled","years","sermon","view","french","royal","royal","chapel","general","german","certain","general","majestys","general","thousand","1799","general","history","appeals","france","preached","ireland","royal","observations","plan","law","useful","account","subjects","1798","college","parliament"
"13","thousand","thousand","1799","march","list","account","parliament","reign","history","sermon","causes","history","history","history","master","1797","history","royal","offices","city","observations","remarks","account","public","including","reign","novel","parliament","college","lord","noble","short"
