"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"1","novel","curates","salut","cheap","songs","spence","myddelton","ireland","dernière","catholic","church","kollmann","baronets","opuscules","pizarro","hengler","⁰","ogle","agrarian","bark","spectacle","bowen","medley","maidenhead","act","hired","barclay","chemical","worked","pilot","carriers","red-cross-street"
"2","rebuses","malham","virtuosos","infants","musick","imprescriptable","cerevisia","intercepted","année","pius","bettering","organist","offices","poëtiques","kotzebue","haymarket","wishers","128th","missionary","travers","illigible","canon","lucock","wooburn","majesty","cutters","small-pox","phials","russell","surveys","coaches","manoah"
"3","history","iliff","navarre","reading","chorusses","suckle","anglicana","egypt","règne","sundays","preached","musical","revenue","lépitre","brinsley","fratelli","legislators","barracks","age","elected","circus","preached","hymn","berks","certain","pensions","labours","tellurian","superfine","florida","shopkeepers","cripplegate"
"4","youth","westmeath","monarchie","repository","overture","aristocracy","drink","copies","bertrand-de-molleville","vespers","society","harmony","gardnor","pere","drury-lane","rivali","bnonaparte","commandant","gospel","£","sanderson","constables","tottenham","bucks","thousand","steels","impede","lunarum","harmonist","sailing","cartage","jerusalem"
"5","containing","woodward","quatrième","library","theatre-royal","rights","recipe","union","secrets","laitys","comforts","frederic","universities","lauteur","german","fire-works","decreed","chatham","artillery-company","peruvian","richardson","sermon","tabernacle","cooke","reign","packets","philadelphia","footney","cosmopolite","charts","barges","sibly"
"6","charades","excursions","roi","sunday","drury-lane","commonwealth","slee","speech","servir","roman","clergy","christopher","successfully","weinidogaeth","drama","bowling-green","committeed","17th","meeting","heath","marchbank","hoadly","grays-inn","homage","hundred","half-pay","assist","sellers","curran","cape","loading","="
"7","ladies","eccentric","logogriphs","shopkeeper","colman","felicity","davis","army","mémoires","complin","sermon","jamess","complete","lwyddiannus","tragedy","signior","sovereigns","martial","armory-house","sole","blackmore","goode","ramble","edwardss","duties","appeals","piety","astronomy","finerty","jefferys","housing","standen"
"8","politics","measure","vivant","song","giant","pigs","landlord","kalendar","lhistoire","dominical","rector","greatest","summoned","neu","augustus","coades","obadia","colonel","haweis","claiming","greenwood","gods","farewell","renouncing","session","commanders","remove","portable","anti-aristocratical","ivory","weighing","elijah"
"9","enigmas","habits","rex","sailor","duets","conformable","climates","commons","louis","epact","transactions","science","correct","ymddiddan","theatre","westminster-bridge-road","requisitions","regiment","sermon","swithins","auction","cathedral","burnham","antipædobaptism","granting","armed-vessels","woodville","yates","splendid","pilots","inns","isa"
"10","literature","characteristic","collectors","turned","majesties","share","specific","french","weinidogaeth","septuagesima","bishop","according","peers","ynghylch","sheridan","vases","prim","10th","sterling","partners","cross","pattinson","wanderer","paice","intituled","gun-boats","friends","pimlico","agrarian","drawing","coasting","temple"
"11","inchbald","didactic","françoise","going","prints","oppression","warm","appellants","lwyddiannus","wedn","englishmen","augustus","law","effeithioldeb","adventures","pedestals","forced","lieutenant","short-hand","housekeeping","superintended","gottlieb","sung","newman","continue","stations","penington","preparations","age","augustin","passengers","near"
"12","four","kratter","transpositions","savior","performed","meat","yellow","state","neu","pentec","condition","authors","deans","llwyddiant","five","stoves","contains","proceedings","wilks","postmaster-general","bononcini","burkhardt","wilkinson","lawless","limited","prize","caton","maker","sterling","laurie","write","swedenborg"
"13","cuts","prints","portion","element","leigh","sufficient","rotherhithe","fructidor","ymddiddan","holiness","rennell","chapel","public","pregethu","monk","medallions","acknowledged","held","assistants","solemnly","glees","misrepresenting","revd","legalization","amend","hearing","coale","row","comfortable","whittles","goods","sifted"
"14","comedy","gods","catholics","dream","auction","constitution","webster","changes","ynghylch","apostolic","parish","essay","meet","ym","plumptre","pannels","europe","march","chapel","wasted","duets","uncharitable","incidents","enduring","july","admirals","gwin","planetarium","suscribers","along","keys","triune"
"15","françoise","5l","moderate","onesimus","covent-garden","mothers","vegetable","chancellor","effeithioldeb","corpus","reverend","nature","distortions","mhlith","castle","bass-relief","contributions","court","minister","waggoners","scenery","saltzburghers","result","high-wycombe","passed","pay","grubb","terrestrial","grenvilles","channel","carmen","defined"
"16","covent-garden","3l","masquerade","childs","represented","bring","diet","translation","llwyddiant","indulgences","anniversary","principles","dividends","cristnogion","spectre","chimney-pieces","conduct","general","rev","turnpike-roads","overture","eben-ezer","1791","domestics","seven","master","coar","murder","calling","sheets","charges","thirst"
"17","pocket","hundered","modest","poacher","younger","perfect","bull","bonaparte","pregethu","advent","college","majestys","materia","wahanol","rolla","fonts","revolution","weinidogaeth","meliorating","allows","sale","church","foot","death","eight","noble","hasbro","celestial","burkes","perspective","lie","removes"
"18","medical","g.m","engagement","giles","duetts","amended","co","revenue","ym","apr","rev","german","hand-writing","farnau","acts","hungerford-stairs","morality","lwyddiannus","opposed","diem","elhanan","observed","joshua","deist","parliament","excise","gatt","chest","pounds","coast","rates","fed"
"19","cookes","poorer","louis","story","dramatick","man","fever","right","mhlith","dom","visitation","weinidogaeth","cadogan","rhwng","lewis","ines","dates","neu","panorama","moule","messrs","courage","occurrences","impropriety","importation","appeal","sunk","ready","work","painting","stairs","ravens"
"20","diary","erom","regina","folly","killed","mother","faithfully","list","cristnogion","challoner","diocese","lwyddiannus","kalendar","dau","stage","svizzeri","social","ymddiddan","burder","fermenting","chorusses","glasse","1793","dignity","june","rigging","sand","instrument","paine","gulf","send","babes"
"21","new","paralytic","coin","accusers","pantomime","paines","wife","fleet","wahanol","ash","ashley","neu","scotland","gymmydog","pasquin","swiss","crimes","ynghylch","missionaries","rejected","delaram","rev","italy","forsaking","making","commissioners","lightning","variety","lord","experienced","tradesmen","arcana"
"22","embellished","gutta","jesus-christ","accused","choruses","rendered","prepared","correct","farnau","vi","herschel","ymddiddan","giless","sef","m.g","ferrari","legislative","effeithioldeb","plain","nauseated","elstrack","jean","germany","wotton","28th","lords","lyon","problems","patriots","artists","quarter","cœlestia"
"23","bees","deafness","protestants","silence","tricks","agrarian","discovered","parliaments","rhwng","christi","promoting","ynghylch","battersea","calfin","peru","serafino","order","llwyddiant","humour","ferment","faithorne","frauds","god","eternity","therein","montserrat","londiniensis","globes","aristocrat","north","put","angels"
"24","romance","indurations","limitation","bragwell","sold","infants","13th","moira","dau","ascension","christian","effeithioldeb","exempted","anticalfin","rowena","buonaiuti","beginning","pregethu","restoration","ballot","loggan","university","friend","gospel","better","bermuda","m.dcc.xcvi","stafford","interruption","journals","go","emanue"
"25","virtue","chlorosis","rebusses","brethren","king-street","dialogue","originally","honourable","gymmydog","whitsunday","vicar","llwyddiant","houses","columbus-zorinski-children","comi-tragedy","gallery","bodies","ym","taxing","maiden-lane","passes","`","chapel","bliss","december","navy","mildred","recreations","compleated","commencing","watermen","relations"
"26","diseases","inefficacy","titchfield-street","scribes","sotheby","entirely","surrey","france","sef","gaining","polwhele","pregethu","extensive","discarded","translator","coal","loans","mhlith","bailey","favor","cave","paul","subject","believer","12th","causes","chemists","greater","vindicating","seas","settled","prerogatives"
"27","lettre","hobby","field","pharisees","entertainment","1793","borough","house","calfin","moveable","durham","ym","offered","literati","agriculture","manufactory","france","cristnogion","evening","insurances","azemia","chaplain","anecdotes","blackwell","council","superannuation","druggists","striking","thorne","copper-plates","distance","upheld"
"28","metropolis","allegory","monkwell-street","book","woodfall","preface","brief","inhabitants","anticalfin","coombes","africa","mhlith","america","matthisson","virgin","castro","since","wahanol","providence","insurers","jenks","wardrobe","richard","loudwater","commissioners","ships","rawes","astronomical","letterpress","hollands","guildball","golden"
"29","illustrated","jenkin","s.s","true","linley","end","august","britain","columbus-zorinski-children","obituary","urgency","cristnogion","state","lad","performed","bustos","summary","farnau","satire","coach","steffani","mayor","young","sincere","within","brig","punishments","adams","fort-night","neptunes","assistant","genesis"
"30","labbé","newport","manual","shewing","reeve","real","celebrated","west-india","discarded","joannes","charity-schools","wahanol","due","wicklow","visitor","whitehall","merchants","rhwng","ministers","perform","pergolesi","bridewell","people","downshire","continuing","ira","grammer","amusing","demy","antiques","vessels","preached"
"31","amusement","peeper","lettre","parable","music","elements","occasioned","companys","literati","diocesses","eyles","farnau","list","convocation","royal","requested","proprietors","dau","directors","mail","bryans","berkeley","france","much-lamented","allowing","appellant","frnacis","messrs","accomodate","groups","usually","jan"
