"","estc_ids","title_1","title_2","pub_year","work_id"
"1","R206709","['The troubles of Amsterdam: or, the disturbed or disquieted Amsterdammer:']","['with his faithfull warning, counsel, and answer upon Bickers commotions. The first part. Printed in Dutch at Brussells. Translated into English by L.W.']",1650,NA
"2","R177679","['Onomastikon brachy sive, nomenclatura brevis Anglo-Latino-Græca.']","['In usum scholæ Westmonasteriensis. Per F.G.']",1652,"874-onomastikon braxy sive nomenclatura brevis anglo-latino-graeca"
"3","R3173","['Phraseologia puerilis Anglo-Latina. In usum tirocinii scholastici. Or, selected Latine and English phrases,']","['wherein the puritie and proprietie of both languages are expressed. Very usefull for young Latinists, to prevent barbarisms, and bald Latine-making, and to initiate them in speaking and writing elegantly in both languages. The second edition with som useful additions.Recognized by W. Du-gard late master of Merchant-Tailors School.']",1650,"52295-phraseologia puerilis anglo-latina in usum tirocinii scholastici or selected latine and english phrases wherein purity and propriety of both languages is expressed"
"4","R220736","['The right teaching of useful knowledg, to fit scholars for som honest profession;']","['shewing so much skil as anie man needeth (that is not a teacher) in all knowledges, in one schole, in a shorter time in a more plain waie, and for much less expens than ever hath been used, since of old the arts were so taught in the Greek and Romane empire.']",1649,"49167-right teaching of useful knowledg to fit scholars for som sic honest profession shewing so much skill as anie man needeth that is not teacher in all knowledges in one schole in shorter time in more plain waie and for so much less expens than ever hath been used since of old arts were so taught in greeks and romane empire"
"5","R171854","['Rhetorices elementa quæstionibus et responsionibus explicata:']","['quæ ità formantur, ut, quæstionibus prorsus omissis, vel neglectis, responsiones solummodo integram rhetorices institutionem tironibus exhibeant. Per Guil. Dugard. In usum scholæ Merctiorum-Scissorum.']",1648,"1455-rhetorices elementa quaestionibus et responsionibus explicata quae ita formantur ut quaestionibus prorsus omissis vel neglectis responsiones solummodò integram rhetorices institutionem tyronibus exhibeant"
"6","R5899","['A brief concordance, or Table to the Bible of the last translation,']","['serving for the more easie finding out of the most useful places therein contained. Carefully perused and enlarged by Mr John Downame, B. in Divinitie. Published for the good of the Common-wealth.']",1654,"445-brief concordance to bible of last translation"
"7","R211950","['The advocate.']","NA",1652,"56135-advocate "
"8","R21538","['Articles of peace, union and confederation, concluded and agreed between his Highness Oliver Lord Protector of the common-wealth of England, Scotland &amp; Ireland, and the dominions thereto belonging. And the Lords the States General of the United Provinces of the Netherlands. I a treaty at Westminster bearing date the fift of April old style, in the year of our Lord God 1654. Printed and published by his Highness special command.']","NA",1654,NA
"9","R1054","['The advocate.']","NA",1652,NA
"10","R210216","['An ordinance for bringing the publique revenues of this Common-Wealth into one treasurie.']","['Wednesday June 21. 1654. Ordered by his Highness the Lord Protector, and his council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1654,"11362-orders in council 1654-06-21"
"11","R247","['A true relation of the progress of the Parlaments forces in Scotland:']","['together with the kings wholly abandoning Scotland, and, in despair, with what forces were left them, marching into England: with part of our forces in his van: and my Lord General following in his reer. By an express messenger to the Council of State.']",1651,"138291-a true relation of progress of parlaments forces in scotland together with kings wholly abandoning scotland and in despair with what forces were left them marching into england with part of our forces in his van and my lord general following in his reer"
"12","R207093","['An apologie for our publick ministerie, and infant-baptism.']","['Written som years ago for private satisfaction of som dissenting brethren; and upon request enlarged and published for the same ends. By William Lyford, B.D. and Minister of the Gospel at Sherborn in Dorcetshire']",1653,"23552-an apologie for our publick ministerie and infant-baptism written som years ago for private satisfaction of som dissenting brethren and upon request enlarged and published for same ends"
"13","R20050","['An easie entrance to the Latine tongue:']","['wherein are contained I. The grounds of grammar, and their examination· II. A vocabularie of common-words English and Latine. III. Sundrie and short examples appliable to the rules of concordance and construction. IV. Collections out of the lowest school-autors. V. More elegant expressions for children. VI. The first principles of Christianitie. A work tending to the school-masterss eas, and the weaker scholars encouragement in the first and most wearisome steps to learning. By Charles Hoole M.A. somtimes master of the free-school at Rotherham in York-shire; and now teacher of a private grammar-school in Goldsmiths-Allie neer Cripple-gate, London.']",1649,"23718-an easie entrance to latin tongue"
"14","R30751","['Clavis apocalyptica: or, A prophetical key:']","['by which the great mysteries in the revelation of St. John and the prophet Daniel are opened; it beeing made apparent that the prophetical numbers com to an end with the year of our Lord, 1655. Written by a Germane D. and now translated out of High-Dutch. In two treatises. 1. Shewing what in these our times hath been fulfilled. 2. At this present is effectually brought to pass. 3. And henceforth is to bee expected in the years neer at hand. With an introductorie preface.']",1651,"91915-clavis apocalyptica or prophetical key by which great mysteries in revelation of st"
"15","R204071","['A discours of husbandrie used in Brabant and Flanders;']","['shewing the wonderfull improvement of land there; and serving as a pattern for our practice in this common-wealth.']",1650,"12866-a discours of husbandrie used in brabant and flanders shewing wonderfull improvement of land there and serving as pattern for our practice in this common-wealth"
"16","R206313","['Anabaptistarum scrupuli: or, an answer to a Kentish Anabaptist: made in the year 1649. By John Couch, master in arts, and minister of Gods word.']","NA",1650,"71675-anabaptistarum scrupuli or answer to kentish anabaptist made in year 1649 by john couch master in arts and minister of gods word "
"17","R210374","['An ordinance touching fines.']","['Saturday 2 September, 1654. Ordered by His Highness the Lord Protector and the council, that this ordinance bee forthwith printed and published. hen. Scobel, Clerk of the Council.']",1654,"1271-orders in council 1654-09-02"
"18","R7272","['The reformed librarie-keeper']","['with a supplement to the reformed-school, as subordinate to colleges in universities. By John Durie. Whereunto is added, I. An idea of mathematicks. II. The description of one of the chiefest libraries which is in Germanie, erected and ordere by one of the most learned princes in Europe.']",1650,"152850-reformed librarie-keeper with supplement to reformed-school as subordinate to colleges in universities"
"19","R234984","['An ordinance for relief of debtors in Scotland in som sic cases of extremity.']","['Tuesday 16th May, 1654. Ordered by His Highness the Lord Protector and the council, that this ordinance bee forthwith printed and published. Hen. Scobel, clerk of the council.']",1654,"8386-orders in council 1654-05-16"
"20","R201957","['Pneumatologia: or, A treatise of the Holy Ghost.']","['In which, the God-head of the third person of the Trinitie is strongly asserted by Scripture-arguments. And defended against the sophisticall subtleties of John Bidle. By Mr. Nicolas Estwick, B.D. somtime fellow of Christ-Colledg in Cambridg, and now pastor of Warkton in the countie of Northampton.']",1648,"63032-pneumatologia or treatise of holy ghost in which god-head of third person of trinitie is strongly asserted by scripture-arguments"
"21","R29505","['Paraphrastical meditations upon Isaiah 55. &amp; Psalm 51.']","['Likewise, short meditations; first of God and the birth of Jesus: against som sic sects and errors: and against sundrie sins. Also, meditations upon the sixtieth Psalm and the fourth vers. By John Barford.']",1649,"108565-paraphrastical meditations upon isaiah 55 and psalm 51 likewise short meditations first of god and birth of jesus against som sic sects and errors and against sundrie sins"
"22","R210194","['An ordinance of explanation touching the jurisdiction of the Court of Admiralty.']","['Friday 2 June, 1654. Ordered by His Highness the Lord Protector and the council, that this ordinance bee forthwith printed and published. Hen. Scobel, Clerk of the Council.']",1654,"30096-orders in council 1654-06-02"
"23","R186534","['Free ports, and the nature of them stated.']","NA",1651,"56136-free ports and nature of them stated"
"24","R210240","['An ordinance for giving further time for approbation of publique preachers.']","['Fryday June 23. 1654. Ordered by his Highness the Lord protector, and his council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1654,"8387-orders in council 1654-06-23"
"25","R210379","['An ordinance for taking an accompt of the moneys received upon the Act for the better propagation and preaching of the gospel in Wales &amp;c.']","NA",1654,"11365-orders in council 1654-08-30"
"26","R209581","['An ordinance touching surveyors of the high-waies for this present year, 1654.']","['Wednesday April 12. 1654. Ordered by his Highness the Lord Protector, and His Council, that this ordinance be forthwith printed and published. Henry Scobell Clerk of the Council.']",1654,"3123-orders in council 1654-04-12"
"27","R210336","['An additionall ordinance for the relief of creditors and poor prisoners.']","NA",1654,"11364-orders in council 1654-08-11"
"28","R210341","['An ordinance for the ejecting of scandalous, ignorant and insufficient ministers and school-masters.']","['Tuesday August 29. 1654. Ordered by his Highness the Lord Protector, and his council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1654,"37923-orders in council 1654-08-29"
"29","R231351","['By the Lord Protector. Whereas the enemies of the peace of this nation (notwithstanding the many signal providences of God in frustrating of their former counsels and malicious designs) do appear still restless in their attempts, to involve this commonwealth in blood and confusion. ...']","NA",1654,"129-proclamations"
"30","R17302","['A declaration of the Irish armie in Ulster:']","['sent to the Parlament in a letter from William Basill, Esquire, Atturney General of Ireland: which letter and declaration are ordered by the Parlament to bee printed: and were referred to the Council of State to see it done accordingly. With som remarques thereupon, by a private pen. To which is added a perfect relation of the victorie over this Irish armie, comn to hand since their declaration was put to press.']",1650,"149991-a declaration of irish armie in ulster sent to parlament in letter from william basilluire atturney general of ireland which letter and declaration are ordered by parlament to bee printed and were referred to council of state to see it done accordingly"
"31","R172281","['Mans monitor, or the free-school of virtue;']","['holding forth the duties required, and sins forbidden in the two tables of the law. In easie English vers. Fit to bee implanted in the memories of all Christian children. By W. Barton preacher of Gods Word at North-winfield in Darby-shire.']",1655,"62004-mans monitor or free-school of virtue holding forth duties required and sins forbidden in two tables of law"
"32","R210212","['An ordinance for the relief of creditors and poor prisoners.']","['Thursday June 8. 1654. Ordered by his Highness the Lord Protector, and his council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1654,"11361-orders in council 1654-06-08"
"33","R205097","['A declaration of the Parlament of England, upon the marching of the armie into Scotland. Die Mercurii Junii 26. 1650. Ordered by the Parlament, that it bee referred to the Council of State, to see this declaration forthwith printed &amp; published. Henrie Scobell Cler. Parl.']","NA",1650,NA
"34","R504549","['An ordinance for continuation of an act, intituled, An act for laying an imposition upon coles, towards the building and maintaining ships for guarding the seas.']","['Monday 20th March, 1653. Ordered by His Highness the Lord Protector and the Council, that this ordinance bee forthwith printed and published. Hen. Scobel, Clerk of the Council.']",1654,"1904-orders in council 1654-03-20"
"35","R210257","['An ordinance against challenges, duells, and all provocations thereunto.']","['Thursday June 29. 1654. Ordered by his Highness the Lord Protector and his Council, that this ordinance be forthwith printed and published, Henry Scobell, Clerk of the Council.']",1654,"17389-ordinances 1654-06-29"
"36","R13161","['An answer to certain seditious and Jesuitical queres,']","['heretofore purposely and maliciously cast out, to retard and hinder the English forces in their going over into Ireland. Whereby is fully proved that the British were the first, and most ancient proprietors, and inhabitants of that land (which was at the first called Britain the Less) before the accession of the Irish thither, and that the Irish came in but by the sufferance of the British; of what countrie the Irish at the first were; their often rebellions and defections; the subduing and reducing all o them to obedience, aswel long before the conquest of England, by William the Norman, as since; together also with the names of the new kings, which the Irish have lately elected and made amongst themselvs, with manie other necessarie discoveries of great concernment, fully manifesting the English interest to that land, and the miserable sufferings of the English there, in all ages, by the barbarous and bloudie actions of the Irish.']",1651,"128880-an answer to certain seditious and jesuitical queres heretofore purposely and maliciously cast out to retard and hinder english forces in their going over into ireland"
"37","R209542","['An ordinance declaring that the offences herein mentioned, and no other, shall be adjudged high treason within the Common-wealth of England, Scotland, and Ireland, and the dominions thereunto belonging.']","['Thursday January 19. 1653. Ordered by His Highness the Lord Protecto and His Council, that this ordinance be forthwith printed and published. Henry Scobell Clerk of the Council.']",1654,"71906-ordinances 1654-01-19"
"38","R209532","['The government of the Common-wealth of England, Scotland, &amp; Ireland, and the dominions thereto belonging;']","['as it was publickly declared at Westminster the 16. day of December 1653. in the presence of the Lords Commissioners of the Great Seal of England, the Lord Maior and aldermen of the City of London, divers of the judges of the land, the officers of state and army, and many other persons of quality, at which time and place His Highness, Oliver Lord Protector of the said Commonwealth, took a solemn oath for observing the same. Published by His Highness the Lord Protectors special commandment.']",1653,"225-miscellaneous documents"
"39","R210354","['An ordinance to enable such soldiers as served the Common-vvealth in the late wars, to exercise any trade.']","['Saturday September 2. 1654. Ordered by his Highness the Lord Protector, and his council, that this ordinance be forthwith printed and published. Henry Scobell, Cler of the Council.']",1654,"1271-orders in council 1654-09-02"
"40","R25361","['An ordinance of explanation of a former ordinance, entituled, An ordinance for better amending and keeping in repair the common high-waies within this nation.']","NA",1654,"17388-ordinances 1654-05-16"
"41","R210156","['An ordinance for further doubling upon and finishing the sale of Deans, Deans &amp; Chapters lands,']","['and of mannors of rectories, gleablands, &amp;c. Thursday May. 4. 1654. Ordered by his Highness the Lord Protector, and his council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council']",1654,"11360-orders in council 1654-05-04"
"42","R211905","['An ordinance for adjourning part of Easter term. 1654.']","NA",1654,"1175-orders in council 1654"
"43","R209563","['An ordinance for settling and confirming of the mannors of Framlingham &amp; Saxtead in the county of Suffolk, and the lands, tenements and hereditaments thereunto belonging, devised by Sir Robert Hitcham, Kght. and late Serjeant at law, to certain charitable uses.']","['Monday March 20. 1653. Ordered by His Highness the Lord Protector, and his Council, that this ordinance be forthwith printed and published. Henry Scobell Clerk of the Council']",1654,"1904-orders in council 1654-03-20"
"44","R235438","['Eikōn basilikē']","['the pourtraicture of His Sacred Majestie in his solitude and sufferings.']",1649,"43-eikon basilike"
"45","R209545","['An ordinance for reviving the jurisdiction of the County Palatine of Lancaster, and for holding there an assises.']","['Tuesday, 28. February, 1653. Ordered by His Highness the Lord Protector, and His Council, that this ordinance be forthwith printed and published. Henry Scobell Clerk of the Council.']",1654,"1175-orders in council 1654"
"46","R209543","['An ordinance appointing a committee for the army, and treasurers at war.']","['Saturday, January 28. 1653. Ordered by His Highness the Lord Protector and His Council, that this ordinance be forthwith printed and published. Henry Scobell Clerk of the Council.']",1654,"1175-orders in council 1654"
"47","R209584","['An ordinance for uniting Scotland into one common-wealth with England.']","['Wednesday April 12. 1654. Ordered by his Highness the Lord Protector, and his Council, that this ordinance be forthwith printed and published. Henry Scobell, Clerk of the Council.']",1654,"3123-orders in council 1654-04-12"
"48","R202579","['The process, and pleadings in the court of Spain upon the death of Anthonie Ascham resident for the Parliament of England, and of John Baptista Riva his interpreter, who were killd by John Guillim, William Spark, Valentine Progers, Jo. Halsal, William Arnet, Henrie Progers Who are all in close prison in Madrid for the said fact, except Henry Progers, who fled to the Venetian ambassadors hous, and so escaped. Sent from Madrid from a person of qualitie and made English.']","NA",1651,"33958-process and pleadings in court of spain upon death of anthonie ascham resident for parliament of england and of john baptista riva his interpreter who were killd by john guillim william spark valentine progers jo halsal william arnet henrie progers who are all in close prison in madrid for said fact except henry progers who fled to venetian ambassadors hous and so escaped sent from madrid from person of qualitie and made english "
